x_mm,y_mm,z_mm,local_ood_pct_vs_holdout_P1,local_ood_pct_vs_holdout_P2,local_ood_pct_vs_holdout_P3,local_ood_percentile_median_pair,local_ood_percentile_mean_pair,local_ood_percentile_max_pair,local_robust_OOD95,local_robust_OOD99
-21.609682720884937,177.84178399631455,-239.2833522556361,0.7327554633133927,0.9397058823529412,0.9950046831095848,0.9397058823529412,0.8891553429253062,0.9950046831095848,0,0
-21.13202155330008,176.608153916,-238.568877284,0.7323892076669515,0.9398529411764706,0.9984389634717452,0.9398529411764706,0.890227037438389,0.9984389634717452,0,0
-21.22410305611573,178.14527707655492,-238.20609415284304,0.7327554633133927,0.9405882352941176,0.9968779269434904,0.9405882352941176,0.890073875183667,0.9968779269434904,0,0
-21.75598619573492,176.9006196658584,-240.0143550775405,0.7328775485288731,0.9395588235294118,0.9946924758039338,0.9395588235294118,0.8890429492874062,0.9946924758039338,0,0
-20.74426481453768,181.90762238929457,-237.6265963407071,0.7322671224514711,0.9444117647058824,0.9962535123321886,0.9444117647058824,0.8909774664965141,0.9962535123321886,0,0
-20.770843410919767,180.8637167134351,-237.1505469768421,0.7322671224514711,0.9427941176470588,0.9981267561660943,0.9427941176470588,0.8910626654215413,0.9981267561660943,0,0
-20.29767425170012,182.000761816,-236.51353586099992,0.7320229520205103,0.9460294117647059,0.9993755853886981,0.9460294117647059,0.8924759830579715,0.9993755853886981,0,0
-20.31017800359561,182.8913173147529,-237.23992031190585,0.7323892076669515,0.9454411764705882,0.9968779269434904,0.9454411764705882,0.8915694370270101,0.9968779269434904,0,0
-21.30785220942792,181.0713601339272,-238.63301423743107,0.7327554633133927,0.9460294117647059,0.993131439275679,0.9460294117647059,0.8906387714512592,0.993131439275679,0,0
-21.104002250452016,179.55060677776245,-237.73558707809576,0.7323892076669515,0.9422058823529412,0.9968779269434904,0.9422058823529412,0.8904910056544612,0.9968779269434904,0,0
-21.661958404803656,179.28898005050252,-239.1781732875956,0.7323892076669515,0.9410294117647059,0.9928192319700281,0.9410294117647059,0.8887459504672285,0.9928192319700281,0,0
-22.06972291632373,178.2755365973593,-240.3562271326072,0.7333658893907947,0.9397058823529412,0.9884483296909148,0.9397058823529412,0.8871733671448835,0.9884483296909148,0,0
-22.3274931920822,177.2072000308211,-241.3460604903924,0.7327554633133927,0.9389705882352941,0.986575085857009,0.9389705882352941,0.8861003791352319,0.986575085857009,0,0
-20.155092088005446,183.9454309401001,-237.93636387770297,0.7325112928824319,0.9469117647058823,0.9956290977208867,0.9469117647058823,0.8916840517697336,0.9956290977208867,0,0
-19.757067781000057,185.16280016600004,-238.537725732,0.7333658893907947,0.9480882352941177,0.993131439275679,0.9480882352941177,0.8915285213201972,0.993131439275679,0,0
-20.58043976622162,183.84788914829625,-239.04428442455549,0.7340984006836772,0.9494117647058824,0.9890727443022167,0.9494117647058824,0.8908609698972588,0.9890727443022167,0,0
-20.511343466272667,184.53325231944748,-239.8414143454662,0.7339763154681967,0.9488235294117647,0.9828285981891977,0.9488235294117647,0.8885428143563864,0.9828285981891977,0,0
-20.885652405906686,182.63488828893293,-238.56707706513657,0.7333658893907947,0.9479411764705883,0.9928192319700281,0.9479411764705883,0.8913754326104703,0.9928192319700281,0,0
-21.55446162318146,182.03218181140096,-239.8853441502285,0.7333658893907947,0.9483823529411765,0.9828285981891977,0.9483823529411765,0.888192280173723,0.9828285981891977,0,0
-21.145696554149765,183.29394397050024,-239.9862018672321,0.7339763154681967,0.9486764705882353,0.980643147049641,0.9486764705882353,0.8877653110353577,0.980643147049641,0,0
-21.937202219569475,180.6604530355423,-240.133495131136,0.7331217189598339,0.9477941176470588,0.9825163908835467,0.9477941176470588,0.8878107424968132,0.9825163908835467,0,0
-22.26154728641355,179.46920695052594,-240.7565722215684,0.7333658893907947,0.9469117647058823,0.98033093974399,0.9469117647058823,0.8868695312802224,0.98033093974399,0,0
-22.413901211114933,180.4427800181964,-241.3522000654086,0.7332438041753143,0.9488235294117647,0.9765844520761786,0.9488235294117647,0.8862172618877526,0.9765844520761786,0,0
-23.3688677615354,178.76005697972684,-243.7741110580844,0.7333658893907947,0.9475,0.9781454886044333,0.9475,0.8863371259984093,0.9781454886044333,0,0
-23.24907332324713,177.8664116637359,-243.5728747607424,0.7323892076669515,0.9395588235294118,0.9784576959100842,0.9395588235294118,0.8834685757021492,0.9784576959100842,0,0
-22.98682818616664,178.58666116261745,-242.73901735617056,0.7326333780979123,0.9427941176470588,0.9775210739931315,0.9427941176470588,0.8843161899127008,0.9775210739931315,0,0
-22.824825829605206,177.53245286430558,-242.5299739234703,0.7323892076669515,0.9395588235294118,0.98033093974399,0.9395588235294118,0.8840929903134511,0.98033093974399,0,0
-22.58412637911783,178.39888169526452,-241.684545309596,0.7328775485288731,0.94,0.9790821105213862,0.94,0.8839865530167531,0.9790821105213862,0,0
-22.74215771849702,179.57196926122333,-242.06230647230225,0.7331217189598339,0.9488235294117647,0.9768966593818296,0.9488235294117647,0.8862806359178094,0.9768966593818296,0,0
-21.19318273960406,183.96826417691736,-241.03057038967904,0.734342571114638,0.9492647058823529,0.9762722447705277,0.9492647058823529,0.8866265072558396,0.9762722447705277,0,0
-22.11302416561033,181.5550893446648,-241.0887110208712,0.7334879746062751,0.9488235294117647,0.9762722447705277,0.9488235294117647,0.8861945829295225,0.9762722447705277,0,0
-21.714098277937293,182.7584529056529,-241.01807085329744,0.734342571114638,0.9491176470588235,0.9759600374648767,0.9491176470588235,0.8864734185461126,0.9759600374648767,0,0
-22.71193296552345,180.5273746199306,-242.21539163065,0.7328775485288731,0.9488235294117647,0.974086793630971,0.9488235294117647,0.8852626238572029,0.974086793630971,0,0
-23.607769070111228,178.1910736875228,-244.4938323422992,0.734342571114638,0.9410294117647059,0.98033093974399,0.9410294117647059,0.8852343075411113,0.98033093974399,0,0
-22.485690741614707,181.31948888430955,-241.9917320955585,0.7329996337443535,0.9486764705882353,0.97377458632532,0.9486764705882353,0.885150230219303,0.97377458632532,0,0
-23.67922776301333,179.03114212447215,-244.64680700505247,0.73495299719204,0.9494117647058824,0.9775210739931315,0.9494117647058824,0.8872952786303513,0.9775210739931315,0,0
-23.118743445903004,179.46921090082725,-243.0952164742719,0.7329996337443535,0.9488235294117647,0.9772088666874805,0.9488235294117647,0.8863440099478662,0.9772088666874805,0,0
-23.446047295665405,179.6649433793786,-244.0559138304248,0.7338542302527163,0.9494117647058824,0.9762722447705277,0.9494117647058824,0.8865127465763755,0.9762722447705277,0,0
-22.95129291099792,180.20972121030053,-242.78005908862127,0.7328775485288731,0.9488235294117647,0.9743990009366219,0.9488235294117647,0.8853666929590865,0.9743990009366219,0,0
-22.18408060178698,182.33432002124133,-241.952970457664,0.7332438041753143,0.9486764705882353,0.97377458632532,0.9486764705882353,0.8852316203629566,0.97377458632532,0,0
-21.78187824198337,183.4529967418221,-242.08198021002457,0.7332438041753143,0.9488235294117647,0.974086793630971,0.9488235294117647,0.8853847090726834,0.974086793630971,0,0
-22.28128220197741,182.96538542299464,-243.0061535810012,0.7323892076669515,0.9485294117647058,0.974086793630971,0.9485294117647058,0.8850018043542094,0.974086793630971,0,0
