x_mm,y_mm,z_mm,TAWSS_vector_Pa,OSI,RRT_1_per_Pa,peak_WSS_magnitude_Pa,VM_cycle_max_Pa,VM_stress_amplitude_Pa,VM_temporal_mean_Pa,anchor_5pct,anchor_10pct,TAWSS_vector_Pa_zero_shot_pred,TAWSS_vector_Pa_personalized_5pct,TAWSS_vector_Pa_personalized_10pct,TAWSS_vector_Pa_abs_error_5pct,TAWSS_vector_Pa_uncertainty_width_norm_5pct,OSI_zero_shot_pred,OSI_personalized_5pct,OSI_personalized_10pct,OSI_abs_error_5pct,OSI_uncertainty_width_norm_5pct,RRT_1_per_Pa_zero_shot_pred,RRT_1_per_Pa_personalized_5pct,RRT_1_per_Pa_personalized_10pct,RRT_1_per_Pa_abs_error_5pct,RRT_1_per_Pa_uncertainty_width_norm_5pct,peak_WSS_magnitude_Pa_zero_shot_pred,peak_WSS_magnitude_Pa_personalized_5pct,peak_WSS_magnitude_Pa_personalized_10pct,peak_WSS_magnitude_Pa_abs_error_5pct,peak_WSS_magnitude_Pa_uncertainty_width_norm_5pct,VM_cycle_max_Pa_zero_shot_pred,VM_cycle_max_Pa_personalized_5pct,VM_cycle_max_Pa_personalized_10pct,VM_cycle_max_Pa_abs_error_5pct,VM_cycle_max_Pa_uncertainty_width_norm_5pct,VM_stress_amplitude_Pa_zero_shot_pred,VM_stress_amplitude_Pa_personalized_5pct,VM_stress_amplitude_Pa_personalized_10pct,VM_stress_amplitude_Pa_abs_error_5pct,VM_stress_amplitude_Pa_uncertainty_width_norm_5pct,VM_temporal_mean_Pa_zero_shot_pred,VM_temporal_mean_Pa_personalized_5pct,VM_temporal_mean_Pa_personalized_10pct,VM_temporal_mean_Pa_abs_error_5pct,VM_temporal_mean_Pa_uncertainty_width_norm_5pct,mechanical_pct_ref,mechanical_pct_pred,peakWSS_pct_ref,peakWSS_pct_pred,RRT_pct_ref,RRT_pct_pred,high_shear_co_burden_ref,high_shear_co_burden_pred,high_shear_co_burden_abs_error,high_shear_joint_topdecile_ref,high_shear_joint_topdecile_pred,high_shear_pareto_front_ref,high_shear_pareto_front_pred,residence_oscillation_co_burden_ref,residence_oscillation_co_burden_pred,residence_oscillation_co_burden_abs_error,residence_oscillation_joint_topdecile_ref,residence_oscillation_joint_topdecile_pred,residence_oscillation_pareto_front_ref,residence_oscillation_pareto_front_pred,local_ood_pct_vs_holdout_P1,local_ood_pct_vs_holdout_P2,local_ood_pct_vs_holdout_P3,local_ood_percentile_median_pair,local_ood_percentile_mean_pair,local_ood_percentile_max_pair,local_robust_OOD95,local_robust_OOD99,high_shear_dominance_score_ref,high_shear_dominance_score_pred,high_shear_dominance_abs_error,residence_oscillation_dominance_score_ref,residence_oscillation_dominance_score_pred,residence_oscillation_dominance_abs_error
-21.609682720884937,177.84178399631455,-239.2833522556361,0.6331053375715197,0.2672912161391984,3.393760986156076,2.7072242746421336,1523.6503794180203,761.8251893373824,252.46525548871443,0,0,1.0438836505379383,0.6434159619114395,0.6427710769778332,0.0103106243399198,1.7675165714530388,0.2005293395180009,0.2072263295758176,0.2296518763760809,0.0600648865633807,1.2474189012879326,1.6318581873739193,2.781369105493697,2.9542803490211864,0.6123918806623787,1.1616240387672765,2.373759603863302,2.4811642643760843,2.396066054774386,0.2260600102660492,1.4344744398250238,1861.250791597208,1653.6636812320355,1533.842226153484,130.01330181401522,1.1892809838603389,930.6253816835984,826.8015204437054,766.9043743516704,64.97633110632296,1.1892373524752256,303.385353718101,283.3864850361335,257.4943435687833,30.92122954741905,0.8115728279319178,0.1368759438201226,0.1751069747551237,0.570698712160204,0.5116965785982518,0.6214182179150701,0.5286835725755658,0.1368759438201226,0.1751069747551237,0.038231030935001,0,0,0,0,0.1368759438201226,0.1751069747551237,0.038231030935001,0,0,0,0,0.7327554633133927,0.9397058823529412,0.9950046831095848,0.9397058823529412,0.8891553429253062,0.9950046831095848,0,0,0.0799584631360332,0.0205088265835929,0.0594496365524402,0.1879543094496365,0.1157840083073727,0.0721703011422637
-21.13202155330008,176.608153916,-238.568877284,0.6691072181612442,0.2768283586224556,3.3483841832971017,2.8247785869626023,1486.7823016254335,743.391150408865,272.4950434874281,0,0,0.9703399070051796,0.6495061083015934,0.6536187683364856,0.0196011098596508,1.7740666080333416,0.1894527064285619,0.2340836730415998,0.2518541444177501,0.0427446855808557,1.2474189012879329,2.17892854358781,3.1830722593943293,3.241450281829195,0.1653119239027725,1.2850259143846738,2.000965408809014,2.293908213919272,2.285266344986263,0.5308703730433302,1.3573123188554104,1864.7166154205831,1720.7985093255368,1599.6366024780614,234.0162077001032,1.2375629745168963,932.3582798497638,860.3043732550038,799.8049726887563,116.91322284613886,1.2374264800862802,302.6016385952667,295.22780002238386,283.4070574313542,22.73275653495574,0.8454844292159326,0.125636999304982,0.1982183099059919,0.601627098431521,0.4638369646523261,0.6147440780739023,0.5908113425370561,0.125636999304982,0.1982183099059919,0.0725813106010098,0,0,0,0,0.125636999304982,0.1982183099059919,0.0725813106010098,0,0,0,0,0.7323892076669515,0.9398529411764706,0.9984389634717452,0.9398529411764706,0.890227037438389,0.9984389634717452,0,0,0.0768431983385254,0.023104880581516,0.0537383177570093,0.1703011422637591,0.1588785046728972,0.0114226375908619
-21.22410305611573,178.14527707655492,-238.20609415284304,0.6398421940494309,0.2916815414288988,3.7511927031668617,2.6445993888325345,1522.8381137743602,761.4190564455847,251.74900442076725,0,0,0.9261084172002748,0.6421120776665475,0.6464661389095914,0.0022698836171166,1.766114225934001,0.194511873621032,0.2231040872026985,0.2494248463314853,0.0685774542262002,1.2474189012879329,1.653473158045233,2.96917633907403,3.16457752660426,0.7820163640928319,1.2193177975871554,2.0345610474596194,2.2365841304205665,2.186106830555309,0.408015258411968,1.3336909306299898,2108.3273405856594,1764.6347008748933,1661.565696479454,241.7965871005331,1.2690890638941918,1054.1636446805576,882.3295252232806,830.777469418305,120.91046877769588,1.2691065541632622,317.3751708380878,289.1198114912883,269.8176705778974,37.37080707052107,0.8279921429323264,0.1367455340686259,0.2129066678871077,0.5537012522491153,0.4489157109559725,0.6651720451761141,0.5592889117204103,0.1367455340686259,0.2129066678871077,0.0761611338184818,0,0,0,0,0.1367455340686259,0.2129066678871077,0.0761611338184818,0,0,0,0,0.7327554633133927,0.9405882352941176,0.9968779269434904,0.9405882352941176,0.890073875183667,0.9968779269434904,0,0,0.0745067497403946,0.0269989615784008,0.0475077881619937,0.1895119418483904,0.1874350986500519,0.0020768431983385
-21.75598619573492,176.9006196658584,-240.0143550775405,0.6539036789673125,0.2397651573847867,2.9382637700315883,2.879588610940822,1490.7429593374889,745.3714793449194,255.8774469961197,0,0,1.053034743947536,0.6463393971124637,0.6474613761992372,0.0075642818548488,1.7706607664001115,0.2035598233890419,0.2045626834311837,0.2236579007121704,0.035202473953603,1.2474189012879329,1.5477138182993917,2.724513128954577,2.85474635160358,0.2137506410770111,1.1441580714805926,2.4537118056820493,2.553286594098618,2.4695249565270947,0.3263020168422041,1.4641937034594128,1682.983940708118,1562.9587197222966,1452.217099613041,72.21576038480771,1.124047836945638,841.4919589087237,781.4189979042421,726.0848519873465,36.047518559322725,1.1239609957934973,313.54472098258617,283.5915550684202,263.2014362230742,27.71410807230049,0.8121601151697188,0.1267770230360735,0.1489541044648031,0.6171175471884492,0.5314218788516091,0.554976209485079,0.5184901740821961,0.1267770230360735,0.1489541044648031,0.0221770814287296,0,0,0,0,0.1267770230360735,0.1489541044648031,0.0221770814287296,0,0,0,0,0.7328775485288731,0.9395588235294118,0.9946924758039338,0.9395588235294118,0.8890429492874062,0.9946924758039338,0,0,0.0796988577362409,0.0184319833852544,0.0612668743509865,0.1695223260643821,0.0713914849428868,0.0981308411214953
-20.74426481453768,181.90762238929457,-237.6265963407071,0.5963793860885265,0.2922131592767235,4.034868087016134,2.45251330905058,1816.312469868877,908.15623426871,264.8015740452932,0,0,1.042609489442418,0.6379556288767503,0.6269520708158701,0.0415762427882238,1.7616439078376511,0.1999910294434551,0.209012074182526,0.2470203796371545,0.0832010850941974,1.2474189012879329,1.6850003857999951,2.839877935426116,3.2454956692209573,1.194990151590018,1.179597757130528,2.386904854999369,2.474302173955897,2.4930809626924013,0.021788864905317,1.4316467958059642,2497.900502445131,1953.8695583483527,1753.1533825871347,137.55708847947562,1.405182890003401,1248.9502075678788,977.0197347187514,876.5839835056917,68.86350045004133,1.4053050628274528,398.7344611311328,324.9635604273816,291.0255343810335,60.1619863820884,0.9306428133905092,0.2307072584204989,0.2814698085297954,0.5036151262034924,0.5098351021934223,0.6944026583997562,0.538122586139446,0.2307072584204989,0.2814698085297954,0.0507625501092964,0,0,0,0,0.2307072584204989,0.2814698085297954,0.0507625501092964,0,0,0,0,0.7322671224514711,0.9444117647058824,0.9962535123321886,0.9444117647058824,0.8909774664965141,0.9962535123321886,0,0,0.0960539979231568,0.0786604361370716,0.0173935617860851,0.3071131879543095,0.3403426791277258,0.0332294911734163
-20.770843410919767,180.8637167134351,-237.1505469768421,0.6079100624090452,0.313590386260813,4.412272898945224,2.4222345106279977,1762.1954823670412,881.0977405049248,258.6220066338132,0,0,1.0007165206253763,0.6396709316526012,0.6376707478272691,0.031760869243556,1.76348873967064,0.1883630417905068,0.227124013505553,0.2655750393934922,0.0864663727552599,1.2474189012879329,1.5042069920830166,2.94605058716344,3.390665443245071,1.4662223117817836,1.2122136433550597,2.136236893778111,2.327415989831751,2.3487244704107697,0.0948185207962466,1.3711197822301529,2524.7699134623067,1923.9482016659344,1785.9760529182154,161.75271929889325,1.3836640643089355,1262.3848734403048,962.0607872035408,892.9950857371524,80.96304669861604,1.3837887270456106,350.19790090602964,301.31429582931145,267.66840492187947,42.69228919549823,0.86291516383122,0.2118850676801136,0.2695770335856567,0.4953665230201108,0.4726168248742796,0.7280930060422373,0.5561079086801541,0.2118850676801136,0.2695770335856567,0.0576919659055431,0,0,0,0,0.2118850676801136,0.2695770335856567,0.0576919659055431,0,0,0,0,0.7322671224514711,0.9427941176470588,0.9981267561660943,0.9427941176470588,0.8910626654215413,0.9981267561660943,0,0,0.0851505711318795,0.062564901349948,0.0225856697819314,0.2912772585669781,0.3078920041536864,0.0166147455867082
-20.29767425170012,182.000761816,-236.51353586099992,0.6195041683633286,0.3020839795620992,4.0779774654136,2.524253185381272,1771.9404724866815,885.9702355182402,256.33135815024497,0,1,0.9664179580274084,0.6389283526882978,0.6195041683633286,0.0194241843249692,1.7626900857355203,0.1904333021906012,0.238202272000823,0.3020839795620992,0.0638817075612762,1.2474189012879329,1.373782670930664,3.047091127035007,4.0779774654136,1.030886338378593,1.2432529618480137,2.050690764266712,2.299212947095886,2.5242531853812715,0.225040238285386,1.3594982266649946,2791.21727373874,1995.2402940729703,1771.9404724866815,223.2998215862888,1.4349358741464298,1395.6085733204684,997.750125332728,885.9702355182402,111.77988981448776,1.4351228053448013,432.2714171680458,321.3725008770634,256.33135815024497,65.0411427268184,0.9203586025744852,0.2156494960798634,0.2961291653231654,0.5246838520020797,0.4652138354316124,0.6988664957799503,0.5715633493298351,0.2156494960798634,0.2961291653231654,0.080479669243302,0,0,0,0,0.2156494960798634,0.2961291653231654,0.080479669243302,0,0,0,0,0.7320229520205103,0.9460294117647059,0.9993755853886981,0.9460294117647059,0.8924759830579715,0.9993755853886981,0,0,0.0947559709241952,0.0739875389408099,0.0207684319833852,0.2917964693665628,0.3909657320872274,0.0991692627206645
-20.31017800359561,182.8913173147529,-237.23992031190585,0.6097186552790164,0.2811795665832051,3.7475949693916175,2.556563140910237,1877.710569453971,938.8552840824942,277.9490565889209,0,0,1.0448590905730692,0.6385657209078636,0.6318468575598295,0.0288470656288472,1.7623000702457672,0.2003910292358472,0.2127923851434547,0.2538557554256129,0.0683871814397504,1.2474189012879329,1.7250462970777325,2.90329651404503,3.3393510988864143,0.8442984553465873,1.199079733994716,2.209310742439784,2.343089434605204,2.3563425421025075,0.2134737063050331,1.3775782984632434,2623.2027144818057,1986.1401556298745,1845.7862655034885,108.42958617590352,1.42839124132677,1311.6013412630853,993.1780199109324,922.90696966192,54.32273582843823,1.4285464766702538,432.1022033737627,332.4250020911359,305.8124880556126,54.47594550221504,0.9520111694387168,0.2533598156171324,0.2922911095958373,0.5322913915021266,0.4767741437500651,0.6647988320352206,0.5495918862816602,0.2533598156171324,0.2922911095958373,0.0389312939787048,0,0,0,0,0.2533598156171324,0.2922911095958373,0.0389312939787048,0,0,0,0,0.7323892076669515,0.9454411764705882,0.9968779269434904,0.9454411764705882,0.8915694370270101,0.9968779269434904,0,0,0.1129283489096573,0.0755451713395638,0.0373831775700934,0.3291796469366563,0.3800623052959501,0.0508826583592938
-21.30785220942792,181.0713601339272,-238.63301423743107,0.6087306353443718,0.2894046256536456,3.900282080076507,2.571890553092816,1866.8593987513489,933.4296987763972,272.82754276785766,0,0,1.1529651069306035,0.6325071442489603,0.6154581108235261,0.0237765089045884,1.755783987347573,0.2086958956393452,0.1976960641643905,0.2411785026327845,0.0917085614892551,1.2474189012879326,1.7134987594069562,2.74803733646623,3.22957155226602,1.152244743610277,1.1513846299508528,2.4930977039254,2.483698791382458,2.4448927365553152,0.0881917617103575,1.435518835875189,2424.717653100887,2010.3207105102128,1749.6988161006852,143.461311758864,1.445781400175123,1212.358832653597,1005.2285034552784,874.8486015426439,71.7988046788812,1.4458793973192547,368.1933923086401,329.7481294808036,274.2611114800476,56.92058671294592,0.9443450414153428,0.248565828362686,0.3012797166464726,0.5362802660927214,0.5125818127125472,0.6801272543830837,0.5221961854765038,0.248565828362686,0.3012797166464726,0.0527138882837865,0,0,0,0,0.248565828362686,0.3012797166464726,0.0527138882837865,0,0,0,0,0.7327554633133927,0.9460294117647059,0.993131439275679,0.9460294117647059,0.8906387714512592,0.993131439275679,0,0,0.1124091381100726,0.0908618899273105,0.0215472481827622,0.3271028037383177,0.3862928348909657,0.0591900311526479
-21.104002250452016,179.55060677776245,-237.73558707809576,0.6152402961897863,0.301859696839503,4.10159153978791,2.5273715521849494,1679.5547922566568,839.7773956452068,255.27952085963992,0,0,1.0187086851146552,0.6405795865335397,0.6422140742004384,0.0253392903437534,1.7644660105485026,0.1972777521805231,0.2201850350375608,0.253772701825811,0.0816746618019421,1.2474189012879329,1.657389640298502,2.950772509865207,3.2707860748787017,1.1508190299227032,1.213664202336886,2.2087144838603514,2.377650382796776,2.3668617083889782,0.1497211693881732,1.3918197398408492,2484.920365673629,1909.8042966781145,1789.3688768358252,230.2495044214577,1.3734920580960326,1242.4601314876757,954.9837002720724,894.6943165032702,115.20630462686564,1.3736093358404518,326.65946339145216,293.8531687285734,267.2075415389256,38.57364786893348,0.8415477086403581,0.1834058644028951,0.2634595169194456,0.525234199852494,0.4845660677974037,0.7008916065353464,0.5564954762432613,0.1834058644028951,0.2634595169194456,0.0800536525165505,0,0,0,0,0.1834058644028951,0.2634595169194456,0.0800536525165505,0,0,0,0,0.7323892076669515,0.9422058823529412,0.9968779269434904,0.9422058823529412,0.8904910056544612,0.9968779269434904,0,0,0.0828141225337487,0.0607476635514018,0.0220664589823468,0.2525960539979232,0.2964693665628245,0.0438733125649013
