target,calibration_fraction,n_calibration,n_evaluation,R2,MAE,RMSE,Spearman,Top10_overlap,q90_transformed_residual,P4_nonanchor_coverage,median_width_over_trainIQR,p95_width_over_trainIQR
TAWSS_vector_Pa,0.05,203,3852,0.2339721614783497,0.407687685112686,1.17883722567096,0.6708494679050235,0.587012987012987,0.2959124991154845,0.8836967808930426,2.0524300040138748,3.6185139539101576
OSI,0.05,203,3852,0.6029487801277216,0.0438467402243458,0.0644499671140704,0.8073753934588513,0.6675324675324675,0.1130946092531132,0.9140706126687436,1.2474189012879329,1.2474189012879329
RRT_1_per_Pa,0.05,203,3852,-0.0004717401662539,5.959429218038227,287.69652736128114,0.7105876992831753,0.5792207792207792,0.5762181541911542,0.9003115264797508,0.8676243105708626,1.544177953279143
peak_WSS_magnitude_Pa,0.05,203,3852,0.302210666843721,2.034979351237952,5.8348239012177805,0.7319930834830494,0.6051948051948052,0.5869928123646204,0.8935617860851506,1.7695271356100308,5.146574641781008
VM_cycle_max_Pa,0.05,203,3852,0.3167489879811023,728.6733740564075,1028.9401257217037,0.5689549763840062,0.5064935064935064,0.6635208661226167,0.9031671858774662,1.5264606043373128,2.4283088926896923
VM_stress_amplitude_Pa,0.05,203,3852,0.3167811264978311,364.3241654410945,514.4579620421353,0.5689974639775767,0.5064935064935064,0.6635208693846723,0.902907580477674,1.5264933386149395,2.4283669873525464
VM_temporal_mean_Pa,0.05,203,3852,0.4101902535136491,170.05934002524782,238.5473972999337,0.6727585386110507,0.5064935064935064,0.6192575585664294,0.9010903426791276,1.626004236584088,2.6082956324479114
