x_mm,y_mm,z_mm,is_calibration_anchor,TAWSS_vector_Pa_pred,TAWSS_vector_Pa_lo90,TAWSS_vector_Pa_hi90,TAWSS_vector_Pa_interval_width,TAWSS_vector_Pa_width_over_trainIQR,OSI_pred,OSI_lo90,OSI_hi90,OSI_interval_width,OSI_width_over_trainIQR,RRT_1_per_Pa_pred,RRT_1_per_Pa_lo90,RRT_1_per_Pa_hi90,RRT_1_per_Pa_interval_width,RRT_1_per_Pa_width_over_trainIQR,peak_WSS_magnitude_Pa_pred,peak_WSS_magnitude_Pa_lo90,peak_WSS_magnitude_Pa_hi90,peak_WSS_magnitude_Pa_interval_width,peak_WSS_magnitude_Pa_width_over_trainIQR,VM_cycle_max_Pa_pred,VM_cycle_max_Pa_lo90,VM_cycle_max_Pa_hi90,VM_cycle_max_Pa_interval_width,VM_cycle_max_Pa_width_over_trainIQR,VM_stress_amplitude_Pa_pred,VM_stress_amplitude_Pa_lo90,VM_stress_amplitude_Pa_hi90,VM_stress_amplitude_Pa_interval_width,VM_stress_amplitude_Pa_width_over_trainIQR,VM_temporal_mean_Pa_pred,VM_temporal_mean_Pa_lo90,VM_temporal_mean_Pa_hi90,VM_temporal_mean_Pa_interval_width,VM_temporal_mean_Pa_width_over_trainIQR
-21.609682720884937,177.84178399631455,-239.2833522556361,0,0.6427710769778332,0.2687468788008945,1.1270569066585416,0.8583100278576472,1.537259421319012,0.2296518763760809,0.13123447580552597,0.3280692769466358,0.19683480114110982,1.0855311893122475,2.9542803490211864,1.360315121298862,5.6246802969472025,4.26436517564834,1.076171652362017,2.396066054774386,1.0517760202787354,4.6211128965353945,3.569336876256659,1.183677164667338,1533.842226153484,837.6864981565807,2808.535149974106,1970.8486518175253,0.9935595627272675,766.9043743516704,418.83410660957605,1404.2369284600186,985.4028218504425,0.9935378587725141,257.4943435687833,147.36436015928004,449.9278991084009,302.5635389491208,0.6568298080858415
-21.13202155330008,176.608153916,-238.568877284,0,0.6536187683364856,0.2771247804734787,1.141102477066422,0.8639776965929433,1.5474103887753705,0.2518541444177501,0.1534367438471952,0.35027154498830504,0.19683480114110985,1.0855311893122477,3.241450281829195,1.5317272304470921,6.105781490548656,4.574054260101564,1.1543259848375034,2.285266344986263,0.984834982050839,4.437719032111937,3.4528840500610976,1.1450586324560488,1599.6366024780614,873.6191773865344,2929.0076571377654,2055.388479751231,1.0361784388126485,799.8049726887563,436.80230860748895,1464.4794263495673,1027.6771177420783,1.0361611519983438,283.4070574313542,162.1942412565641,495.20599239307643,333.0117511365123,0.722929290650938
-21.22410305611573,178.14527707655492,-238.20609415284304,0,0.6464661389095914,0.2716006533520746,1.131841265911406,0.8602406125593315,1.5407171573642569,0.2494248463314853,0.15100744576093036,0.34784224690204024,0.19683480114110988,1.0855311893122477,3.16457752660426,1.4858417821332834,5.976995116806408,4.4911533346731245,1.1334047873729594,2.186106830555309,0.924926514250017,4.273591828343794,3.348665314093777,1.1104972161000821,1661.565696479454,907.4408866884957,3042.402655882285,2134.9617691937897,1.076293544856133,830.777469418305,453.7175048575497,1521.1914821531448,1067.473977295595,1.0762865562999286,269.8176705778974,154.41701682956753,471.46083282022596,317.04381599065846,0.6882647841019779
-21.75598619573492,176.9006196658584,-240.0143550775405,0,0.6474613761992372,0.2723692961791856,1.1331298972857786,0.860760601106593,1.5416484727017357,0.2236579007121704,0.12524050014161547,0.3220753012827253,0.19683480114110985,1.0855311893122477,2.85474635160358,1.3009031478290876,5.457929117625273,4.1570259697961855,1.0490831161398402,2.4695249565270947,1.0961571396860939,4.742700867248439,3.646543727562346,1.209280796382328,1452.217099613041,793.1080759125125,2659.0758163470637,1865.9677404345512,0.9406861813258056,726.0848519873465,396.54109492067494,1329.4945190761357,932.9534241554608,0.9406554627368255,263.2014362230742,150.63053698364453,459.90008013720933,309.26954315356477,0.6713877534018118
-20.74426481453768,181.90762238929457,-237.6265963407071,0,0.6269520708158701,0.25652952546725427,1.1065744871754941,0.8500449617082398,1.5224564359248944,0.2470203796371545,0.14860297906659958,0.34543778020770943,0.19683480114110985,1.0855311893122477,3.2454956692209573,1.5341419274815733,6.112558804189141,4.578416876707568,1.1554269515999924,2.4930809626924013,1.1103887970814401,4.781690382738139,3.671301585656699,1.2174910921006448,1753.1533825871347,957.4602216250539,3210.1038909586478,2252.6436693335936,1.1356202603479542,876.5839835056917,478.7340923830917,1605.0653011020981,1126.3312087190066,1.135629686221034,291.0255343810335,166.55430589145118,508.5179948272555,341.9636889358043,0.7423628932823976
-20.770843410919767,180.8637167134351,-237.1505469768421,0,0.6376707478272691,0.26480778662833193,1.1204530100487367,0.8556452234204047,1.5324866753482482,0.2655750393934922,0.16715763882293727,0.3639924399640471,0.19683480114110985,1.0855311893122477,3.390665443245071,1.6207939558005746,6.355764459025395,4.734970503224821,1.1949354289448586,2.3487244704107697,1.0231740066569115,4.542753881688016,3.5195798750311047,1.167176557362717,1785.9760529182154,975.3858643678163,3270.203698989117,2294.817834621301,1.1568814288212406,892.9950857371524,487.69678652263553,1635.114778665232,1147.4179921425966,1.1568905525251627,267.66840492187947,153.18698919547782,467.70535389266786,314.51836469719,0.6827823267834906
-20.29767425170012,182.000761816,-236.51353586099992,1,0.6195041683633286,0.2507773527374667,1.096930957061157,0.8461536043236902,1.515486896239975,0.3020839795620992,0.20366657899154428,0.40050138013265413,0.19683480114110985,1.0855311893122477,4.0779774654136,2.031051402361349,7.507231226484576,5.476179824123227,1.3819898735717993,2.5242531853812715,1.1292218874808146,4.833286135042116,3.704064247561302,1.2283559715151275,1771.9404724866815,967.7205282460097,3244.5039103667173,2276.7833821207078,1.1477897602529867,885.9702355182402,483.8602627474367,1622.2519571398805,1138.3916943924437,1.1477897377715682,256.33135815024497,146.69878203549618,447.895778407012,301.19699637151587,0.6538632050969059
-20.31017800359561,182.8913173147529,-237.23992031190585,0,0.6318468575598295,0.26030987288804,1.1129122478630715,0.8526023749750316,1.527036841036081,0.2538557554256129,0.15543835485505797,0.3522731559961678,0.19683480114110985,1.0855311893122477,3.3393510988864143,1.5901643564199297,6.269796572072791,4.679632215652862,1.1809700451369052,2.3563425421025075,1.027776560484125,4.555363189146259,3.5275866286621342,1.1698317876659174,1845.7862655034885,1008.0503761932619,3379.718929114455,2371.668552921193,1.1956240111087755,922.90696966192,504.0327439113654,1689.8848039926759,1185.8520600813104,1.1956419146250192,305.8124880556126,175.01689942557744,534.355700265004,359.33880083942654,0.7800822148396634
-21.30785220942792,181.0713601339272,-238.63301423743107,0,0.6154581108235261,0.2476524968479188,1.0916921293538862,0.8440396325059674,1.5117007082802365,0.2411785026327845,0.14276110206222958,0.33959590320333943,0.19683480114110985,1.0855311893122477,3.22957155226602,1.5246368012071114,6.085880831327717,4.561244030120606,1.151093145763479,2.4448927365553152,1.0812752741837206,4.701930020297742,3.6206547461140213,1.2006953932054174,1749.6988161006852,955.5735584120193,3203.7784219894916,2248.204863577472,1.1333825350401199,874.8486015426439,477.7863377758319,1601.8877374853105,1124.1013997094785,1.1333814689238297,274.2611114800476,156.96000405163838,479.22499572263445,322.2649916709961,0.6995993415705013
-21.104002250452016,179.55060677776245,-237.73558707809576,0,0.6422140742004384,0.2683166937646427,1.1263357005079773,0.8580190067433346,1.5367381936329083,0.253772701825811,0.1553553012552561,0.35219010239636594,0.19683480114110985,1.0855311893122477,3.2707860748787017,1.549237803754618,6.1549282968084835,4.605690493053865,1.162309826672909,2.3668617083889782,1.0341318470986367,4.572774340849437,3.5386424937507996,1.173498175988115,1789.3688768358252,977.2388077396597,3276.416114495617,2299.177306755957,1.1590791598463177,894.6943165032702,488.6247976589029,1638.226147789675,1149.601350130772,1.159091935322537,267.2075415389256,152.92323645975335,466.90007292690154,313.9768364671482,0.6816067327755448
