x_mm,y_mm,z_mm,is_calibration_anchor,mechanical_pct_ref,mechanical_pct_pred,peakWSS_pct_ref,peakWSS_pct_pred,RRT_pct_ref,RRT_pct_pred,high_shear_co_burden_ref,high_shear_co_burden_pred,high_shear_co_burden_abs_error,high_shear_joint_topdecile_ref,high_shear_joint_topdecile_pred,high_shear_pareto_front_ref,high_shear_pareto_front_pred,residence_oscillation_co_burden_ref,residence_oscillation_co_burden_pred,residence_oscillation_co_burden_abs_error,residence_oscillation_joint_topdecile_ref,residence_oscillation_joint_topdecile_pred,residence_oscillation_pareto_front_ref,residence_oscillation_pareto_front_pred
-21.609682720884937,177.84178399631455,-239.2833522556361,0,0.13687594382012264,0.13903002374045606,0.570698712160204,0.4893153572036854,0.6214182179150701,0.5568196697763117,0.13687594382012264,0.13903002374045606,0.0021540799203334238,0,0,0,0,0.13687594382012264,0.13903002374045606,0.0021540799203334238,0,0,0,0
-21.13202155330008,176.608153916,-238.568877284,0,0.12563699930498204,0.15922598528868556,0.601627098431521,0.46136635566666334,0.6147440780739023,0.5992804112365593,0.12563699930498204,0.15922598528868556,0.03358898598370352,0,0,0,0,0.12563699930498204,0.15922598528868556,0.03358898598370352,0,0,0,0
-21.22410305611573,178.14527707655492,-238.20609415284304,0,0.1367455340686259,0.17764632758874535,0.5537012522491153,0.4355989229428288,0.6651720451761141,0.5883014055211307,0.1367455340686259,0.17764632758874535,0.04090079352011944,0,0,0,0,0.1367455340686259,0.17764632758874535,0.04090079352011944,0,0,0,0
-21.75598619573492,176.9006196658584,-240.0143550775405,0,0.12677702303607355,0.1150057467841153,0.6171175471884492,0.508539255669476,0.554976209485079,0.5409016671943813,0.12677702303607355,0.1150057467841153,0.011771276251958243,0,0,0,0,0.12677702303607355,0.1150057467841153,0.011771276251958243,0,0,0,0
-20.74426481453768,181.90762238929457,-237.6265963407071,0,0.23070725842049897,0.20873565465740382,0.5036151262034924,0.5156971470729275,0.6944026583997562,0.6000088214047494,0.23070725842049897,0.20873565465740382,0.02197160376309515,0,0,0,0,0.23070725842049897,0.20873565465740382,0.02197160376309515,0,0,0,0
-20.770843410919767,180.8637167134351,-237.1505469768421,0,0.21188506768011364,0.2197542541063916,0.4953665230201108,0.47796921697519723,0.7280930060422373,0.6209982798161525,0.21188506768011364,0.2197542541063916,0.007869186426277958,0,0,0,0,0.21188506768011364,0.2197542541063916,0.007869186426277958,0,0,0,0
-20.29767425170012,182.000761816,-236.51353586099992,1,0.2156494960798634,0.2156494960798634,0.5246838520020797,0.5246838520020797,0.6988664957799503,0.6988664957799503,0.2156494960798634,0.2156494960798634,0.0,0,0,0,0,0.2156494960798634,0.2156494960798634,0.0,0,0,0,0
-20.31017800359561,182.8913173147529,-237.23992031190585,0,0.25335981561713244,0.24188553818535197,0.5322913915021266,0.4797026518233442,0.6647988320352206,0.6131244774502147,0.25335981561713244,0.24188553818535197,0.011474277431780477,0,0,0,0,0.25335981561713244,0.24188553818535197,0.011474277431780477,0,0,0,0
-21.30785220942792,181.0713601339272,-238.63301423743107,0,0.24856582836268604,0.20793188423175743,0.5362802660927214,0.5015001536784355,0.6801272543830837,0.597848564508228,0.24856582836268604,0.20793188423175743,0.040633944130928606,0,0,0,0,0.24856582836268604,0.20793188423175743,0.040633944130928606,0,0,0,0
-21.104002250452016,179.55060677776245,-237.73558707809576,0,0.1834058644028951,0.22106997196044456,0.525234199852494,0.4816251340634161,0.7008916065353464,0.603177764672611,0.1834058644028951,0.22106997196044456,0.03766410755754945,0,0,0,0,0.1834058644028951,0.22106997196044456,0.03766410755754945,0,0,0,0
-21.661958404803656,179.28898005050252,-239.1781732875956,0,0.1798281887452513,0.1981776148341651,0.5678349451585459,0.519491871993655,0.6484413142042474,0.5620847153923737,0.1798281887452513,0.1981776148341651,0.018349426088913795,0,0,0,0,0.1798281887452513,0.1981776148341651,0.018349426088913795,0,0,0,0
-22.06972291632373,178.2755365973593,-240.3562271326072,1,0.14980086461209532,0.14980086461209532,0.6031283490761065,0.6031283490761065,0.5762058355511049,0.5762058355511049,0.14980086461209532,0.14980086461209532,0.0,0,0,0,0,0.14980086461209532,0.14980086461209532,0.0,0,0,0,0
-22.3274931920822,177.2072000308211,-241.3460604903924,0,0.11087642977948842,0.1110151640670015,0.6435295352303148,0.565950716250491,0.497531424985058,0.5023153795769691,0.11087642977948842,0.1110151640670015,0.00013873428751308425,0,0,0,0,0.11087642977948842,0.1110151640670015,0.00013873428751308425,0,0,0,0
-20.155092088005446,183.9454309401001,-237.93636387770297,0,0.28360968111790585,0.2714679993531777,0.511001466574127,0.5028709945715244,0.6470284847427632,0.588892448443372,0.28360968111790585,0.2714679993531777,0.01214168176472813,0,0,0,0,0.28360968111790585,0.2714679993531777,0.01214168176472813,0,0,0,0
-19.757067781000057,185.16280016600004,-238.537725732,0,0.34488572029226705,0.27890311389331046,0.48879737988908145,0.5000682334051088,0.6109401745538989,0.6254723952972269,0.34488572029226705,0.27890311389331046,0.06598260639895659,0,0,0,0,0.34488572029226705,0.27890311389331046,0.06598260639895659,0,0,0,0
-20.58043976622162,183.84788914829625,-239.04428442455549,0,0.3104332515442433,0.2772595408148241,0.5013470649687087,0.5978109880491322,0.6476301468508396,0.5679634093439114,0.3104332515442433,0.2772595408148241,0.03317371072941916,0,0,0,0,0.3104332515442433,0.2772595408148241,0.03317371072941916,0,0,0,0
-20.511343466272667,184.53325231944748,-239.8414143454662,0,0.35517842485786977,0.334071889698982,0.4966226756254808,0.5610206304433053,0.6189300322491199,0.5360492362944709,0.35517842485786977,0.334071889698982,0.021106535158887774,0,0,0,0,0.35517842485786977,0.334071889698982,0.021106535158887774,0,0,0,0
-20.885652405906686,182.63488828893293,-238.56707706513657,1,0.2745096080376255,0.2745096080376255,0.5199261645147862,0.5199261645147862,0.6713012069847698,0.6713012069847698,0.2745096080376255,0.2745096080376255,0.0,0,0,0,0,0.2745096080376255,0.2745096080376255,0.0,0,0,0,0
-21.55446162318146,182.03218181140096,-239.8853441502285,0,0.28176163152703526,0.3116772708322231,0.5291260363806528,0.5524391433025434,0.6549692492851454,0.5366139385670988,0.28176163152703526,0.3116772708322231,0.029915639305187813,0,0,0,0,0.28176163152703526,0.3116772708322231,0.029915639305187813,0,0,0,0
-21.145696554149765,183.29394397050024,-239.9862018672321,0,0.3072265679226694,0.3398739768014683,0.48797788799965724,0.5626393034587381,0.6534643369491769,0.5363244102196779,0.3072265679226694,0.3398739768014683,0.03264740887879891,0,0,0,0,0.3072265679226694,0.3398739768014683,0.03264740887879891,0,0,0,0
-21.937202219569475,180.6604530355423,-240.133495131136,0,0.25562865737018015,0.2988383294835419,0.5444548025152153,0.5625088937072413,0.6355385327521783,0.5298559668424677,0.25562865737018015,0.2988383294835419,0.04320967211336174,0,0,0,0,0.25562865737018015,0.2988383294835419,0.04320967211336174,0,0,0,0
