x_mm,y_mm,z_mm,is_calibration_anchor,mechanical_pct_ref,mechanical_pct_pred,peakWSS_pct_ref,peakWSS_pct_pred,RRT_pct_ref,RRT_pct_pred,high_shear_co_burden_ref,high_shear_co_burden_pred,high_shear_co_burden_abs_error,high_shear_joint_topdecile_ref,high_shear_joint_topdecile_pred,high_shear_pareto_front_ref,high_shear_pareto_front_pred,residence_oscillation_co_burden_ref,residence_oscillation_co_burden_pred,residence_oscillation_co_burden_abs_error,residence_oscillation_joint_topdecile_ref,residence_oscillation_joint_topdecile_pred,residence_oscillation_pareto_front_ref,residence_oscillation_pareto_front_pred,high_shear_dominance_score_ref,high_shear_dominance_score_pred,high_shear_dominance_abs_error,residence_oscillation_dominance_score_ref,residence_oscillation_dominance_score_pred,residence_oscillation_dominance_abs_error
-21.609682720884937,177.84178399631455,-239.2833522556361,0,0.1368759438201226,0.1751069747551237,0.570698712160204,0.5116965785982518,0.6214182179150701,0.5286835725755658,0.1368759438201226,0.1751069747551237,0.038231030935001,0,0,0,0,0.1368759438201226,0.1751069747551237,0.038231030935001,0,0,0,0,0.07995846313603323,0.02050882658359294,0.059449636552440295,0.18795430944963656,0.11578400830737279,0.07217030114226378
-21.13202155330008,176.608153916,-238.568877284,0,0.125636999304982,0.1982183099059919,0.601627098431521,0.4638369646523261,0.6147440780739023,0.5908113425370561,0.125636999304982,0.1982183099059919,0.0725813106010098,0,0,0,0,0.125636999304982,0.1982183099059919,0.0725813106010098,0,0,0,0,0.07684319833852545,0.023104880581516097,0.05373831775700935,0.1703011422637591,0.1588785046728972,0.0114226375908619
-21.22410305611573,178.14527707655492,-238.20609415284304,0,0.1367455340686259,0.2129066678871077,0.5537012522491153,0.4489157109559725,0.6651720451761141,0.5592889117204103,0.1367455340686259,0.2129066678871077,0.0761611338184818,0,0,0,0,0.1367455340686259,0.2129066678871077,0.0761611338184818,0,0,0,0,0.0745067497403946,0.02699896157840083,0.047507788161993775,0.18951194184839046,0.18743509865005192,0.002076843198338535
-21.75598619573492,176.9006196658584,-240.0143550775405,0,0.1267770230360735,0.1489541044648031,0.6171175471884492,0.5314218788516091,0.554976209485079,0.5184901740821961,0.1267770230360735,0.1489541044648031,0.0221770814287296,0,0,0,0,0.1267770230360735,0.1489541044648031,0.0221770814287296,0,0,0,0,0.07969885773624091,0.018431983385254414,0.0612668743509865,0.16952232606438214,0.07139148494288682,0.09813084112149532
-20.74426481453768,181.90762238929457,-237.6265963407071,0,0.2307072584204989,0.2814698085297954,0.5036151262034924,0.5098351021934223,0.6944026583997562,0.538122586139446,0.2307072584204989,0.2814698085297954,0.0507625501092964,0,0,0,0,0.2307072584204989,0.2814698085297954,0.0507625501092964,0,0,0,0,0.0960539979231568,0.07866043613707165,0.017393561786085157,0.3071131879543095,0.34034267912772587,0.03322949117341639
-20.770843410919767,180.8637167134351,-237.1505469768421,0,0.2118850676801136,0.2695770335856567,0.4953665230201108,0.4726168248742796,0.7280930060422373,0.5561079086801541,0.2118850676801136,0.2695770335856567,0.0576919659055431,0,0,0,0,0.2118850676801136,0.2695770335856567,0.0576919659055431,0,0,0,0,0.08515057113187954,0.06256490134994808,0.022585669781931467,0.29127725856697817,0.3078920041536864,0.016614745586708224
-20.29767425170012,182.000761816,-236.51353586099992,0,0.2156494960798634,0.2961291653231654,0.5246838520020797,0.4652138354316124,0.6988664957799503,0.5715633493298351,0.2156494960798634,0.2961291653231654,0.080479669243302,0,0,0,0,0.2156494960798634,0.2961291653231654,0.080479669243302,0,0,0,0,0.09475597092419523,0.07398753894080996,0.020768431983385266,0.29179646936656284,0.3909657320872274,0.09916926272066456
-20.31017800359561,182.8913173147529,-237.23992031190585,0,0.2533598156171324,0.2922911095958373,0.5322913915021266,0.4767741437500651,0.6647988320352206,0.5495918862816602,0.2533598156171324,0.2922911095958373,0.0389312939787048,0,0,0,0,0.2533598156171324,0.2922911095958373,0.0389312939787048,0,0,0,0,0.11292834890965732,0.07554517133956386,0.03738317757009346,0.3291796469366563,0.38006230529595014,0.05088265835929384
-21.30785220942792,181.0713601339272,-238.63301423743107,0,0.248565828362686,0.3012797166464726,0.5362802660927214,0.5125818127125472,0.6801272543830837,0.5221961854765038,0.248565828362686,0.3012797166464726,0.0527138882837865,0,0,0,0,0.248565828362686,0.3012797166464726,0.0527138882837865,0,0,0,0,0.11240913811007269,0.0908618899273105,0.0215472481827622,0.32710280373831774,0.3862928348909657,0.05919003115264798
-21.104002250452016,179.55060677776245,-237.73558707809576,0,0.1834058644028951,0.2634595169194456,0.525234199852494,0.4845660677974037,0.7008916065353464,0.5564954762432613,0.1834058644028951,0.2634595169194456,0.0800536525165505,0,0,0,0,0.1834058644028951,0.2634595169194456,0.0800536525165505,0,0,0,0,0.0828141225337487,0.06074766355140187,0.022066458982346833,0.2525960539979232,0.2964693665628245,0.043873312564901346
