feature,P1,P2,P3,P4,development_min,development_max,P4_outside_development_range,outside_distance_in_dev_range_units
centerline_length_mm,128.09268384245755,96.20910243653454,93.6869632949034,85.39850290570003,93.6869632949034,128.09268384245755,1,0.24090355491167284
mean_radius_over_length,0.1090407467995675,0.1812100737065226,0.1536054146826104,0.1784208493394546,0.1090407467995675,0.1812100737065226,0,0.0
max_radius_over_length,0.1695375872884621,0.2987189371550761,0.1842472220767126,0.2396046830027316,0.1695375872884621,0.2987189371550761,0,0.0
global_expansion_ratio,1.5422400404754506,1.7271652139382874,1.3200257482111752,1.136874219072607,1.3200257482111752,1.7271652139382874,1,0.44984960819624065
end_radius_ratio,0.8001570568768019,0.4867959441559223,0.996092318501796,0.774615476212119,0.4867959441559223,0.996092318501796,0,0.0
tortuosity,1.2256684856250093,1.2561867405048917,1.13802715687092,1.3456160919402544,1.13802715687092,1.2561867405048917,1,0.7568522898014953
mean_curvature_times_length,21.347155711421177,7.892092326260631,5.0546165145373765,11.427558061474013,5.0546165145373765,21.347155711421177,0,0.0
max_curvature_times_length,170.204315538601,31.475679818783732,13.494611005122266,72.15425590762688,13.494611005122266,170.204315538601,0,0.0
bbox_ratio_2_1,0.6156182818758505,0.8133483020385803,0.5443917348468573,0.8251608822953064,0.5443917348468573,0.8133483020385803,1,0.043920029096391484
bbox_ratio_3_1,0.3930437124325632,0.7398179761705496,0.404286860905077,0.6679156324776606,0.3930437124325632,0.7398179761705496,0,0.0
