calibration_fraction,channel,co_burden_Spearman,co_burden_MAE_percentile,co_burden_top10_overlap,joint_topdecile_precision,joint_topdecile_recall,joint_topdecile_F1,joint_topdecile_Jaccard,joint_topdecile_reference_n,joint_topdecile_prediction_n,pareto_front_precision,pareto_front_recall,pareto_front_F1,pareto_front_Jaccard,pareto_front_reference_n,pareto_front_prediction_n,dominance_score_Spearman,dominance_score_MAE,dominance_score_top10_overlap
0.05,high_shear,0.5371790519325058,0.1387927344386422,0.5116883116883116,,,,,0,0,0.0,0.0,,0.0,16,13,0.600319252486708,0.1296375822353346,0.4805194805194805
0.05,residence_oscillation,0.5051970484138726,0.1204945824811535,0.3818181818181818,,0.0,,0.0,9,0,0.0625,0.0714285714285714,0.0666666666666666,0.0344827586206896,14,16,0.5688426148629095,0.15380218122451794,0.36623376623376624
0.1,high_shear,0.5676191851669732,0.1310868338661912,0.4904109589041096,,,,,0,0,0.0,0.0,,0.0,15,23,0.6199090211279267,0.12387030432360728,0.5287671232876713
0.1,residence_oscillation,0.5654005624497329,0.1103420364876959,0.4849315068493151,,0.0,,0.0,8,0,0.1428571428571428,0.0666666666666666,0.0909090909090909,0.0476190476190476,15,7,0.6232226468080639,0.13978331983122147,0.4438356164383562
