target,candidate,train_patient,val_patient,R2,MAE,RMSE,Spearman,Top10_overlap,NMAE
TAWSS_vector_Pa,LGB_smooth,3,1,-0.11924662474768288,0.5780774115029683,1.1664526363328562,-0.05802347787499011,0.0,0.8606499926573218
TAWSS_vector_Pa,LGB_smooth,1,3,-1.485955763122527,0.3127915430125268,0.5730880523873415,0.15875770533617858,0.00625,1.6731844088901737
TAWSS_vector_Pa,LGB_mid,3,1,-0.1266685898954787,0.5750480555424821,1.1703137451315173,-0.08450790060560368,0.002442002442002442,0.8561398437857887
TAWSS_vector_Pa,LGB_mid,1,3,-1.1363094038600186,0.30896316472327756,0.5312595284759861,0.16942655303411625,0.040625,1.6527056491282803
TAWSS_vector_Pa,LGB_local,3,1,-0.11083643198044868,0.574041457022762,1.1620619196176198,-0.029144902264812252,0.0231990231990232,0.8546412053830987
TAWSS_vector_Pa,LGB_local,1,3,-0.7100311953281975,0.28246024185589236,0.47530969513830346,0.17878440720998,0.028125,1.5109362236999468
OSI,LGB_smooth,3,1,-0.3602623027401244,0.12295530796686106,0.14248924821987116,-0.2761498314256821,0.03785103785103785,0.5882468107408505
OSI,LGB_smooth,1,3,-0.4818100478360192,0.09767960563063731,0.11933659123886306,-0.16004216600309998,0.0125,0.6085116369951056
OSI,LGB_mid,3,1,-0.39287319252530084,0.12421751105252765,0.14418714873033164,-0.21797921767491685,0.04151404151404151,0.5942854840761306
OSI,LGB_mid,1,3,-0.6862483574382121,0.10421358422311468,0.1273028511700785,-0.1531306228026399,0.01875,0.6492161626095324
OSI,LGB_local,3,1,-0.36412695316553134,0.1226158731851379,0.14269151823735413,-0.2245869124065847,0.03907203907203907,0.5866228757428025
OSI,LGB_local,1,3,-0.746206959404492,0.1059331331464647,0.1295463610244332,-0.1435588880454399,0.04375,0.6599283836866484
RRT_1_per_Pa,LGB_smooth,3,1,-0.025339515072384744,4.090742429134666,17.29335864891,-0.2995203092159303,0.045177045177045176,0.9209760382714968
RRT_1_per_Pa,LGB_smooth,1,3,-6.138658153931396,4.682958119282401,6.439949389048844,0.008514022175476754,0.13125,2.66097508640818
RRT_1_per_Pa,LGB_mid,3,1,-0.02795184810105389,4.154194345673565,17.315374417026423,-0.3645052010415389,0.05860805860805861,0.935261390069383
RRT_1_per_Pa,LGB_mid,1,3,-6.823673359365578,4.815718254210105,6.741856690561853,-0.00169291042438346,0.096875,2.736412748354416
RRT_1_per_Pa,LGB_local,3,1,-0.023745298254377323,4.031215935932135,17.27990940235782,-0.23858656031733694,0.06349206349206349,0.9075744431254882
RRT_1_per_Pa,LGB_local,1,3,-3.4191523462455145,3.545733594278642,5.066915344464313,0.004304791201650882,0.06875,2.014775387071323
peak_WSS_magnitude_Pa,LGB_smooth,3,1,-0.12731459257946343,3.0987225036999697,6.236787861956542,0.1530622692584338,0.0,0.8692128641384143
peak_WSS_magnitude_Pa,LGB_smooth,1,3,-1.1289635882045377,1.503067863655442,2.715093882243957,0.52798758070061,0.009375,1.1361650368669967
peak_WSS_magnitude_Pa,LGB_mid,3,1,-0.1415406428926449,3.074704046506766,6.276016794555491,0.13396149352593376,0.0,0.8624755225584042
peak_WSS_magnitude_Pa,LGB_mid,1,3,-0.7745993628390193,1.413967088396377,2.478853695025293,0.5514811152515485,0.009375,1.0688139956698974
peak_WSS_magnitude_Pa,LGB_local,3,1,-0.11091064346895663,3.0154510721177807,6.19124473503655,0.2575764142454515,0.030525030525030524,0.8458546578259626
peak_WSS_magnitude_Pa,LGB_local,1,3,-0.602599011457426,1.3638387242638839,2.3556630486181898,0.5657562721095957,0.015625,1.030922097333275
VM_cycle_max_Pa,LGB_smooth,3,1,-0.3731972637339933,2234.957677974061,3438.8228540600626,-0.2130334881493261,0.017094017094017096,0.8387904851092743
VM_cycle_max_Pa,LGB_smooth,1,3,-0.34824240475662327,1297.3786130666012,1721.662849638093,0.02427761551723934,0.13125,0.729398612000221
VM_cycle_max_Pa,LGB_mid,3,1,-0.4482296056333446,2323.0252421737982,3531.5230918115167,-0.24742999261634355,0.009768009768009768,0.8718426702246772
VM_cycle_max_Pa,LGB_mid,1,3,-0.38033267876158905,1320.9282117930175,1742.0314927743632,0.04063517429159637,0.13125,0.7426384206815195
