target,calibration_fraction,P123_R2,P13_R2,P123_Spearman,P13_Spearman,P123_Top10_overlap,P13_Top10_overlap,P123_MAE,P13_MAE,Delta_R2_P13_minus_P123,Delta_Spearman,Delta_Top10_overlap
TAWSS_vector_Pa,0.01,-0.071037106098583,-0.07233866047950999,0.3494436727561141,0.3567210644149914,0.3167082294264339,0.32418952618453867,0.4889645650324307,0.487068637083628,-0.0013015543809269808,0.007277391658877308,0.007481296758104772
TAWSS_vector_Pa,0.02,0.1900708016331544,0.18998886480394817,0.5785137962845072,0.5777770787985421,0.5239294710327456,0.5264483627204031,0.4250485517780495,0.4244440146666412,-8.193682920623613e-05,-0.0007367174859650438,0.0025188916876575096
TAWSS_vector_Pa,0.05,0.2339721614783497,0.23403955242803642,0.6708494679050235,0.67115479797423,0.587012987012987,0.587012987012987,0.407687685112686,0.4074854282902294,6.739094968671866e-05,0.00030533006920652195,0.0
TAWSS_vector_Pa,0.1,0.293844473387679,0.29386405222194956,0.6930041601434483,0.6933993341386521,0.6684931506849315,0.6684931506849315,0.4245965711402308,0.424511742680135,1.9578834270561618e-05,0.00039517399520372365,0.0
OSI,0.01,0.3217160622369657,0.2814821122623059,0.6202956030591166,0.5700032578703592,0.4463840399002494,0.42144638403990026,0.0619821598609326,0.06510372207908224,-0.04023394997465979,-0.05029234518875736,-0.02493765586034913
OSI,0.02,0.4611839349589417,0.43686118221831793,0.7025618513061296,0.6726116590618438,0.5390428211586902,0.5239294710327456,0.0525485487228471,0.05510693745720013,-0.024322752740623788,-0.029950192244285745,-0.015113350125944613
OSI,0.05,0.6029487801277216,0.599479692481198,0.8073753934588513,0.8011652849509406,0.6675324675324675,0.6649350649350649,0.0438467402243458,0.044453857138624965,-0.0034690876465235387,-0.0062101085079107055,-0.0025974025974025983
OSI,0.1,0.6984167472637621,0.6991662279542765,0.8540420437550034,0.8539618492422745,0.673972602739726,0.673972602739726,0.0366961539058112,0.03694124034093751,0.0007494806905143925,-8.019451272889278e-05,0.0
RRT_1_per_Pa,0.01,0.000290568127827,0.00024625447485082663,0.2723433539821444,0.3055882480433077,0.2743142144638404,0.27680798004987534,6.34118026378337,6.331326397738884,-4.4313652976173384e-05,0.03324489406116332,0.002493765586034924
RRT_1_per_Pa,0.02,0.001320427545011,0.0012624475767335497,0.4914397648841819,0.5240249120339161,0.3602015113350126,0.40302267002518893,6.101857644188722,6.092367674159604,-5.7979968277450293e-05,0.032585147149734206,0.04282115869017633
RRT_1_per_Pa,0.05,-0.0004717401662539,-0.00047390810947933737,0.7105876992831753,0.7124606909012793,0.5792207792207792,0.5792207792207792,5.959429218038227,5.962121417698376,-2.167943225437393e-06,0.0018729916181039474,0.0
