target,calibration_fraction,mean_R2,min_R2,mean_MAE,mean_Spearman,mean_Top10_overlap
OSI,0.01,0.3703495170890872,0.12384556929166801,0.06670334948644017,0.6010772897218546,0.3505661507583036
OSI,0.02,0.5124448455336273,0.3060897447518234,0.05684186736846439,0.7245653714126448,0.4398434215640393
OSI,0.05,0.625236928553522,0.47957326936514033,0.04703264408127667,0.8083457856876772,0.48534112434041404
OSI,0.1,0.7147097176284569,0.6081335133057482,0.03981101043273573,0.8588416265387613,0.5401849653248907
RRT_1_per_Pa,0.01,0.037072038814490005,0.01820350879141286,2.0178199919406663,0.5276673183509788,0.3347621622252389
RRT_1_per_Pa,0.02,0.07423404921812016,0.04671660266228306,1.9650576438304361,0.651994519604338,0.43790403820069645
RRT_1_per_Pa,0.05,0.10093021074963737,0.06332928293692086,1.7048626292516262,0.7432763311641627,0.4959283249898525
RRT_1_per_Pa,0.1,0.14910453052606365,0.07371935992229872,1.563316553759906,0.8030051056904542,0.5567074664556008
TAWSS_vector_Pa,0.01,0.2111366765164181,0.10376987366855672,0.2739078293590679,0.5023993537476837,0.504924403023101
TAWSS_vector_Pa,0.02,0.27311927412227516,0.1646551330380419,0.24819142919634968,0.5807205449297929,0.46226927683606855
TAWSS_vector_Pa,0.05,0.35299168848727386,0.29842983659830735,0.22270344284842114,0.7200122523600332,0.6099056284670545
TAWSS_vector_Pa,0.1,0.4019110162705802,0.3812439920254369,0.19867902892086237,0.7809357381525157,0.6690741368913011
VM_cycle_max_Pa,0.01,0.17520670745662864,-0.30737805946130803,1268.5527390572813,0.3652733353656777,0.4994204296599984
VM_cycle_max_Pa,0.02,0.3542945754901815,-0.0036024453499714504,1124.5475400356258,0.4613060950729949,0.5294873523649373
VM_cycle_max_Pa,0.05,0.5353635331167447,0.2898470538680584,965.5413464967525,0.6136408719614099,0.6404199364091463
VM_cycle_max_Pa,0.1,0.6126554785020917,0.41022829737790123,877.4003798331212,0.6968328020485461,0.6456401703603196
VM_stress_amplitude_Pa,0.01,0.17520670849498243,-0.30737805619870806,634.2763693120937,0.3652733353656777,0.4994204296599984
VM_stress_amplitude_Pa,0.02,0.35429457541604437,-0.0036024447876941146,562.2737700117552,0.4613060227530201,0.5294873523649373
VM_stress_amplitude_Pa,0.05,0.5353635330794159,0.28984705379972464,482.77067316822036,0.6136408719614099,0.6404199364091463
VM_stress_amplitude_Pa,0.1,0.6126554784294171,0.4102282973865331,438.70018991790704,0.6968328020485461,0.6456401703603196
VM_temporal_mean_Pa,0.01,0.25078358655220473,-0.17645809867424145,297.16422993055426,0.5384069767395203,0.45025224923858465
VM_temporal_mean_Pa,0.02,0.42303515259928376,0.096747188745405,260.4115929685448,0.5977065585343353,0.5160544455108629
VM_temporal_mean_Pa,0.05,0.5472216813424753,0.28545049422514446,227.56501201176007,0.6993026750659989,0.5834207143823569
VM_temporal_mean_Pa,0.1,0.6283375470328254,0.4175016453362035,202.5210778846859,0.7693390254247896,0.6127930423639378
peak_WSS_magnitude_Pa,0.01,0.2853405258931811,0.17649908768759026,1.362553299377161,0.7238627482583486,0.4992317775694609
peak_WSS_magnitude_Pa,0.02,0.3515976569302538,0.26601304729431774,1.2704358259981774,0.7277424981629708,0.5271474010676523
peak_WSS_magnitude_Pa,0.05,0.42060749572389344,0.36619311771701923,1.117074225539127,0.8186205371060105,0.5982613989987823
peak_WSS_magnitude_Pa,0.1,0.48004765588924864,0.46908603223396106,1.0041960120330915,0.8456246032587473,0.6564620081411126
