target,P123_R2,P123_MAE,P123_RMSE,P123_Spearman,P123_Top10_overlap,P13_R2,P13_MAE,P13_RMSE,P13_Spearman,P13_Top10_overlap,Delta_R2_P13_minus_P123,Delta_Spearman,Delta_Top10_overlap
TAWSS_vector_Pa,-0.1590862080534243,0.6039580361326079,1.4289616200250224,0.1352886333365087,0.0320197044334975,-0.11264665494352055,0.531279631857532,1.4000428519392085,0.17730100979774743,0.0,0.04643955310990375,0.04201237646123873,-0.0320197044334975
OSI,-0.3743097043436163,0.1024307502480618,0.1202814610734806,-0.1320605819338309,0.0147783251231527,-0.8580437678994168,0.11801914237855951,0.13985704834168564,-0.24282937383138975,0.014778325123152709,-0.4837340635558005,-0.11076879189755884,8.673617379884035e-18
RRT_1_per_Pa,-1.6250987295407526e-05,6.84722020323737,280.34190289312926,0.0256809642318875,0.2364532019704433,-0.00014513125969339846,6.911760768814847,280.35996728795243,-0.05932363140120543,0.18226600985221675,-0.00012888027239799094,-0.08500459563309293,-0.05418719211822656
peak_WSS_magnitude_Pa,-0.0266327751824833,2.8399771276862333,6.979434005275367,0.3059610880075498,0.3004926108374384,-0.08903034900745066,2.8412056239340453,7.188406595907128,0.25428084455287353,0.0812807881773399,-0.062397573824967356,-0.051680243454676256,-0.21921182266009848
VM_cycle_max_Pa,-0.0953222774925415,1035.1937707742811,1297.4715517377274,0.1890076952942367,0.2044334975369458,-0.18598020164632345,1103.2814398389828,1350.0989624003314,0.21467592255050302,0.17733990147783252,-0.09065792415378195,0.02566822725626633,-0.027093596059113295
VM_stress_amplitude_Pa,-0.0953784881017898,517.6216497811668,648.7524206453165,0.1891452809440729,0.2044334975369458,-0.18456553965373135,551.2208933218404,674.646753275203,0.21562970587135444,0.1748768472906404,-0.08918705155194155,0.026484424927281536,-0.02955665024630541
VM_temporal_mean_Pa,-0.0561477084523533,251.68663844951345,318.28707258007773,0.16608351972462,0.1280788177339901,-0.13894887022933178,266.777388109489,330.5284015676028,0.08556628661535567,0.07635467980295567,-0.08280116177697848,-0.08051723310926431,-0.05172413793103443
