target,method,R2,MAE,RMSE,Spearman,Top10
TAWSS_vector_Pa,KNN,0.22798927845171102,0.414186310284411,1.1834317894963222,0.6790573589476825,0.574025974025974
TAWSS_vector_Pa,IDW,0.1854147976602757,0.3986425423145015,1.2156255612544467,0.7467729038381367,0.612987012987013
TAWSS_vector_Pa,RBF,0.13272776414125909,0.41875096026968633,1.2543227146262514,0.7851515478262252,0.5636363636363636
OSI,KNN,0.664332996978356,0.03846049675996037,0.05925892356355931,0.8347151125701563,0.6883116883116883
OSI,IDW,0.8288276179006929,0.026079974577715045,0.04231713724754943,0.8989761557823798,0.7922077922077922
OSI,RBF,0.9166310238670504,0.01843712511430298,0.029532598878662122,0.9504811464641058,0.8753246753246753
RRT_1_per_Pa,KNN,-0.00047787391376452604,5.884207905338608,287.6974092728249,0.7308447703277208,0.5792207792207792
RRT_1_per_Pa,IDW,-0.0004639371584898022,5.7167176116366525,287.6954054392299,0.7833635042436409,0.7220779220779221
RRT_1_per_Pa,RBF,-0.0004110659597862387,5.571974667307755,287.6878034651119,0.8350182384367958,0.7480519480519481
peak_WSS_magnitude_Pa,KNN,0.29909178341163256,2.0337232553288924,5.8478492121277705,0.7466503807306805,0.6103896103896104
peak_WSS_magnitude_Pa,IDW,0.2770361412001481,1.9614176733890893,5.939144390292339,0.7836023378392155,0.6467532467532467
peak_WSS_magnitude_Pa,RBF,0.012503049578230119,2.2499405248729425,6.941182636482604,0.8153180098815146,0.5974025974025974
VM_cycle_max_Pa,KNN,0.35944527089226685,702.6039328422271,996.2723628381441,0.5733242492817393,0.5116883116883116
VM_cycle_max_Pa,IDW,0.6166349081125816,520.6593000260939,770.7370641100946,0.7544064927530948,0.625974025974026
VM_cycle_max_Pa,RBF,0.7139078802809271,420.67769393792327,665.8139800053938,0.822734853025708,0.6857142857142857
VM_temporal_mean_Pa,KNN,0.4391227595318856,164.62839067779518,232.62298203871887,0.6771359652501742,0.5298701298701298
VM_temporal_mean_Pa,IDW,0.6764219133593843,119.51441610842846,176.68849087023352,0.8316215716232739,0.6181818181818182
VM_temporal_mean_Pa,RBF,0.7775210495918922,92.90292506041804,146.50861861391272,0.8782985011231053,0.7220779220779221
