x_m,y_m,z_m,TAWSS_vector_Pa,OSI,RRT_1_per_Pa,mean_WSSx_Pa,mean_WSSy_Pa,mean_WSSz_Pa,mean_WSS_vector_magnitude_Pa,peak_WSS_magnitude_Pa,t_peak_WSS_s
-0.0264833769693591,-0.2127740419322029,-0.2084847696037651,0.5197157302038026,0.24228730713474367,3.733088910633894,0.22340989598426805,-0.12641934589340909,-0.07657030707747493,0.26787468071051,1.3433199385305934,0.2
-0.0259893147085965,-0.2139066427368378,-0.2084659611311828,0.5291518198744455,0.24628403372026042,3.7242764609893992,0.2256186561960001,-0.13507407474834973,-0.05429592341426903,0.2685085305762553,1.3487546162350552,0.2
-0.0254211953178299,-0.2125670095789422,-0.2089594171650402,0.5928519687236057,0.22203723179660345,3.0341504367466747,0.3012881462736785,-0.07732936584649885,-0.10894778268081659,0.32958154872249384,1.6681502888652928,0.2
-0.0263905138747257,-0.2111876865315699,-0.2086751793806291,0.5588389499150986,0.220347006158217,3.199365544432473,0.2719581587409011,-0.09544386637388878,-0.12093061597540686,0.3125619708383111,1.5361427075354899,0.2
-0.0248526480421999,-0.211318878641,-0.209354638055,0.6511933718668703,0.1781909110166887,2.385952135102415,0.384954061535086,-0.036805813961685335,-0.16160812486176282,0.41911989150489637,2.007448480083914,0.2
-0.0273945049820611,-0.2123211900933369,-0.2081363239168032,0.4742144757884115,0.2528294649204691,4.2657804500517456,0.17671357261090753,-0.1381937709772663,-0.06803868039150743,0.23442369144616187,1.1879720981737802,0.2
-0.0281261759763851,-0.2111322088253218,-0.2078419612735107,0.4604187146746474,0.23998794620702968,4.176606446798012,0.16820761956713381,-0.1474010168698093,-0.08547106037759061,0.23942883121454936,1.1488903555998677,0.2
-0.0272317365916908,-0.2137733885885889,-0.2079909392992949,0.48028663250490866,0.24601715620541192,4.098879239215446,0.16264496498518807,-0.1782472670576449,-0.03599254520472387,0.2439691295202459,1.1162530099665957,0.2
-0.0265646913827582,-0.2153461600505074,-0.207880384572832,0.48066862219058176,0.24230008217164745,4.036546424991917,0.16215699883813556,-0.18716051972821052,-0.0070310259248403985,0.24773652888236072,1.1015691935053662,0.2
-0.0282650077155287,-0.2150805207138251,-0.2072629254629558,0.4288107931927531,0.2318433571384949,4.348262322579786,0.0879275893506747,-0.2121753867927418,0.011820766053193495,0.22997692545069562,0.9134587724843815,0.2
-0.027146678427942,-0.2169017375016719,-0.2071947019126548,0.43296984319933934,0.22674091138401975,4.226080257345512,0.10277259653972652,-0.21082880109224142,0.0313180716674335,0.2366258895017107,0.8891961767205463,0.2
-0.0288586577200066,-0.2128584503621582,-0.2073837249454258,0.4309509187060891,0.23847774860533516,4.43642911835584,0.10642753943053088,-0.19657520186422084,-0.02897349069279957,0.2254065090012312,0.9550851602744295,0.2
-0.0297863616745499,-0.2147151144041859,-0.206643299905471,0.4072026981995223,0.2197637921855236,4.381624031385465,0.0354753014280952,-0.22389843357455924,0.02642057327865327,0.22822587991051368,0.7464404393975876,0.2
-0.0294984736674741,-0.2189570370314584,-0.2055685654459585,0.37496853633785837,0.20562033375297178,4.529678392936947,0.015350595697427822,-0.2094302002600437,0.06812544753916217,0.22076622516055083,0.5854524191509386,0.2
-0.0283315078442141,-0.2204735015084199,-0.2054351024680544,0.35736706412266606,0.20945284153572014,4.815471840916371,0.028067974462310963,-0.1931772437275316,0.07084536512377615,0.20766397001912545,0.5701412547092114,0.2
-0.0277385976134517,-0.2186072781451187,-0.2063872050895348,0.39627027427837586,0.22334475140964005,4.560784950751421,0.05901966112661539,-0.20362274331484925,0.05594305991575624,0.21926050247890838,0.7307220947288786,0.2
-0.0302202591576229,-0.2208145311431324,-0.2045438167805244,0.34396253820608613,0.19529128577277627,4.770610774037016,-0.0029298006120823217,-0.19324655024454235,0.08115648756123231,0.20961676551821765,0.4817528645583418,0.2
-0.0288678917269999,-0.2223529395389999,-0.2043926022929999,0.3242210644372177,0.2047553734762077,5.223321704972925,0.011560231390773616,-0.17325461639663553,0.08063460353287556,0.19144905416182548,0.4871048060558622,0.2
-0.0310149674020454,-0.2221527184936784,-0.2036167450262383,0.3093815198200997,0.19508454524302382,5.300248093063405,-0.01379519095409259,-0.16894933634331677,0.08283923847274541,0.18867041361870027,0.45842770936925864,0.55
-0.0311682402436757,-0.2193157283751163,-0.2046946558921545,0.365087562669622,0.19264888214270193,4.455928044263464,-0.0165002182806725,-0.20842208748848973,0.08156209862527597,0.22442014100460936,0.49614109140294843,0.2
-0.0295117676301649,-0.2166216762734951,-0.2063121375022835,0.4056249305004213,0.2157770337239634,4.336967792576167,0.02724126723312184,-0.2230527677187003,0.05167780019883757,0.23057584188468186,0.7009793712191899,0.2
-0.0300828499681729,-0.2111283316412703,-0.2068368910367707,0.4239227707278817,0.23197773866182947,4.400605044202364,0.06553824251364666,-0.21385243682589744,-0.04013183200585656,0.2272414792864593,0.8806336540765984,0.2
-0.0322536083984894,-0.220439608656126,-0.2037557434827602,0.3287509671415004,0.18906987056170144,4.8914785966679855,-0.028953607205890984,-0.18357617085313227,0.08518234054164353,0.20443716153254513,0.4548229294991233,0.55
