x_mm,y_mm,z_mm,TAWSS_vector_Pa,OSI,RRT_1_per_Pa,mean_WSSx_Pa,mean_WSSy_Pa,mean_WSSz_Pa,mean_WSS_vector_magnitude_Pa,peak_WSS_magnitude_Pa,t_peak_WSS_s
9.193898110331066,1.757732833549721,1665.4742932616457,0.6902245918951061,0.105122401189865,1.8344973069786807,-0.0600961114601947,-0.1939229009983443,0.5058908952543948,0.5451084589744897,2.781327531523089,0.2
9.203824995887032,3.926195718160781,1662.5828841702016,0.6574551682295823,0.1436170879029348,2.1339635076489123,-0.0485568603792818,-0.150013565823429,0.4412878532953869,0.4686115748538487,2.7361733638190238,0.2
8.83330246115959,4.914863187516724,1663.7816106000096,0.6523092220378492,0.1560488952449608,2.228536631586427,-0.0382778418451835,-0.1647824516049805,0.4156147685266215,0.4487249551236367,2.720446279486881,0.2
9.065619584767168,5.38808501604536,1661.7566087243613,0.6531022082726844,0.1567999366382352,2.230701671887366,-0.0412077295868968,-0.1478613463319789,0.4211916024487754,0.4482894385217875,2.7998077903513687,0.2
9.065079772803909,3.1442535764478614,1664.2329655250776,0.6903328794576978,0.125806854335139,1.9356000190558411,-0.0527277698261438,-0.1840116973158741,0.4798665296501792,0.5166356634403145,2.809424965076622,0.2
9.7784499034861,1.3814511299259244,1664.0054632813335,0.7038174833996708,0.1037340856575583,1.792764469074148,-0.0643088193774567,-0.1788610867575031,0.5244153175759403,0.5577977571791336,2.8439255719600585,0.2
9.727286409253333,2.472343405725032,1662.3170453997157,0.6791878126757318,0.1300631451413633,1.989997450708359,-0.0537995766034533,-0.1484971778660684,0.4770468703277127,0.5025132065591542,2.792176476272504,0.2
9.630823127561545,5.709171353931671,1657.5976885732675,0.6593952738904085,0.199075531158098,2.519803481373768,-0.0416775151859543,-0.06900128285368,0.3885830237443506,0.3968563451046633,2.8433585807989976,0.2
9.466444353275412,6.262318693441268,1657.9298686419595,0.658324906215931,0.1985514737017318,2.519512708773436,-0.0392644139713725,-0.0694571703106216,0.3887998462918136,0.396902145608476,2.9071961474264008,0.2
9.606626322219416,6.581638890929886,1656.40955033,0.680797032228521,0.1976683406709758,2.4292304863408267,-0.0382357233824748,-0.0627793704527527,0.4050369941338428,0.4116529928398477,3.040708511174198,0.2
9.688032691653282,3.5832529737141,1660.645260873115,0.6628640356378624,0.1462779200400182,2.132472197464375,-0.0506371274237396,-0.126375446129322,0.4487417814610414,0.4689392908329843,2.764207098767518,0.2
9.28515337874068,5.858650726313678,1659.7304163767328,0.6428620325341505,0.1740337652051258,2.386050390791856,-0.0401799861353685,-0.0942537321461849,0.4063850627650442,0.4191026324754739,2.833843736537669,0.2
9.656383822645491,4.713205263812066,1658.999575331579,0.6486329640474325,0.175923544417071,2.378611465237525,-0.0426523265226433,-0.0921447306317889,0.4079675322983522,0.4204133439254827,2.757980272354505,0.2
9.672836448761249,9.926375366128855,1652.9063860778456,0.7185312995204772,0.2388398296918175,2.664510096683859,-0.026305451274608,-0.0430483936700207,0.3718972788118632,0.3753035131090549,3.439430184903127,0.15
9.78797608810548,10.50363135660806,1652.5197227736194,0.8677730962298951,0.2163136846955712,2.031072548703228,-0.0431432788274164,-0.0660241276080636,0.4859924774815468,0.4923507043795488,4.102167187231912,0.15
9.68681189897,9.70332172804,1652.33902884,0.7516598313068337,0.1864498167707231,2.121493000679832,-0.0374371336168505,-0.0700841902435536,0.4646210499004197,0.4713661556646901,3.808788719650671,0.15
9.632704882904708,9.270648775230566,1652.9057720110231,0.7244423791671155,0.2512223064862863,2.774308286822511,-0.0247578720796141,-0.0364665894575478,0.3577451443692631,0.3604502083455644,3.425071277353844,0.15
10.170683619097108,11.750391157565751,1653.472288325951,0.7805305606186653,0.2532250162689559,2.5958462170348517,-0.0414973147503677,-0.0618231738379218,0.3779664834111695,0.3852308327965077,3.505842580930568,0.15
10.58421219236022,12.504754758008614,1652.8583939089615,0.8840894037609843,0.2036762301921998,1.908566641671628,-0.0789279801676292,-0.1093297634282605,0.5063048020335805,0.5239534099391704,4.183084849968546,0.15
10.091889322787182,11.511893732012826,1652.710617350882,0.9079672379188712,0.2621217596531606,2.314968622522721,-0.0431260258469992,-0.0698396784076699,0.4241011285636593,0.4319712976974422,4.001297093777784,0.15
10.596102889394778,12.54557046707643,1653.5403209554725,0.7486319586250046,0.2456134052029854,2.625472172183066,-0.0481838669047491,-0.0673047240881979,0.3717807298275958,0.3808838694216688,3.5064149075694373,0.15
11.1012175674,13.2468539961,1652.93781284,0.8684930588011608,0.2047595385671803,1.949969314145149,-0.0817471429827673,-0.1052356531445242,0.495213102939525,0.5128285828633113,4.0958477911585245,0.15
10.963491792390794,13.060509473640382,1653.79756434773,0.7464217515114226,0.2282312038823906,2.4648252089784704,-0.0580748972791641,-0.0832493395100444,0.3928053761634236,0.4057082816085134,3.528973454021851,0.15
9.759671810032025,10.57022512168589,1653.4065176287424,0.7369899293937943,0.2425961566640702,2.635684506988852,-0.0262221267346177,-0.0373814574720509,0.3766503927657156,0.3794080806516763,3.4118465151563258,0.15
