x_m,y_m,z_m,VM_cycle_max_Pa,VM_cycle_min_Pa,VM_stress_range_Pa,VM_stress_amplitude_Pa,VM_midrange_stress_Pa,VM_temporal_mean_Pa,t_VM_max_s
0.0054094228934778,-0.1891797907224235,-0.3051782942775476,2160.911708787143,1.222314436030892e-07,2160.9117086649117,1080.4558543324558,1080.4558544546874,404.2740071469398,0.05
0.005480602880201,-0.188925146706288,-0.3063428233770667,2321.2980292813827,1.238898435844267e-07,2321.2980291574927,1160.6490145787463,1160.6490147026364,403.06267799353407,0.05
0.005093975580264,-0.1880069756695298,-0.3056083683663853,2910.5150808075327,1.34440248422395e-07,2910.5150806730926,1455.2575403365463,1455.2575404709864,525.23298062188,0.05
0.0052907839520309,-0.1879944625373979,-0.306880346411966,2983.9147439731064,1.2833548167082298e-07,2983.914743844771,1491.9573719223854,1491.957372050721,511.31315815998124,0.05
0.0055521158660349,-0.188702396429675,-0.3073603736096788,2522.1841408389832,1.1474332915356402e-07,2522.18414072424,1261.09207036212,1261.0920704768632,398.73279804613725,0.05
0.0054267075968327,-0.1880720675495996,-0.307630294751697,2796.49279342701,1.165249353755812e-07,2796.492793310485,1398.2463966552425,1398.2463967717674,462.8636143911582,0.05
0.00562594791996,-0.188502535076,-0.308269503608,2579.0354196733647,1.0583283290635297e-07,2579.035419567532,1289.517709783766,1289.5177098895988,392.1164246166471,0.05
0.0053116546744114,-0.187487418961009,-0.3075287353895646,2991.0161802558778,1.219325886410176e-07,2991.016180133945,1495.5080900669725,1495.5080901889053,514.4285741696251,0.05
0.0054823320401933,-0.1877099354383651,-0.3083492813303796,2732.9404022822887,1.1167614425589401e-07,2732.9404021706127,1366.4702010853064,1366.4702011969823,459.489755690003,0.05
0.0048201328028706,-0.1860312987910001,-0.3051224612953043,3329.317421007096,1.324627304859601e-07,3329.317420874633,1664.6587104373166,1664.6587105697795,615.5700523425603,0.05
0.0049101375396059,-0.1868328856239464,-0.305564363801979,3400.5120639602524,1.4088045254092302e-07,3400.512063819372,1700.256031909686,1700.2560320505663,620.0891674645659,0.05
0.0051058189365539,-0.1869935140687441,-0.3066156613980295,3293.5938444263347,1.3232910191782194e-07,3293.5938442940055,1646.7969221470028,1646.796922279332,584.2594701309458,0.05
0.0052687410042263,-0.1867568451498405,-0.3075555624084886,2977.726392067266,1.24025770349046e-07,2977.72639194324,1488.86319597162,1488.863196095646,541.3431742771786,0.05
0.0050258902299928,-0.1860417139639602,-0.3062195172221572,3147.522766202774,1.349044343333769e-07,3147.5227660678697,1573.7613830339349,1573.7613831688393,591.6151528641849,0.05
0.005409327218801,-0.1869199135360549,-0.3082841356978839,2804.233203212368,1.1400206953141045e-07,2804.233203098366,1402.116601549183,1402.116601663185,501.6701193874473,0.05
0.00540475637563,-0.186038671188,-0.308139196697,2609.501795508206,1.1630569223503255e-07,2609.5017953919005,1304.7508976959502,1304.750897812256,506.5335424009094,0.05
0.0052174016266878,-0.186042910656451,-0.3072043160483171,2896.8388281335306,1.269451938430359e-07,2896.8388280065856,1448.4194140032928,1448.4194141302378,550.681090513355,0.05
0.0072606262689441,-0.1931262624006173,-0.3051086441956322,1157.966424163467,1.1137092341746637e-07,1157.966424052096,578.983212026048,578.9832121374191,225.16153013291887,0.05
0.0072080651981556,-0.1928689472872167,-0.3060605548377304,1147.323806306302,1.0620823328677478e-07,1147.3238062000937,573.6619031000469,573.6619032062551,184.62491275730414,0.05
0.006908529914573,-0.1924227940467426,-0.3052270920581776,1009.4658864957468,1.1057995623896617e-07,1009.4658863851668,504.7329431925834,504.7329433031634,198.30224170149526,0.05
0.0068663059598704,-0.1921415935255545,-0.3062304948659938,1198.546162158459,1.0440132514041093e-07,1198.5461620540577,599.2730810270289,599.2730811314302,166.75614701386007,0.05
0.00713059586887,-0.192648809512,-0.306954464828,1203.524304004299,9.306685545355268e-08,1203.5243039112322,601.7621519556161,601.7621520486829,163.44680040277666,0.05
0.006551679350985,-0.1916428860329609,-0.305419588624644,1090.838053793227,1.1451364752481705e-07,1090.8380536787133,545.4190268393567,545.4190269538702,193.69765112264554,0.05
0.0050150166890868,-0.1850449127724624,-0.3056720635349591,3011.8787742180625,1.2702708663474474e-07,3011.878774091035,1505.9393870455176,1505.939387172545,581.1764928906786,0.05
0.0052043371982136,-0.185182125832632,-0.3067040980814742,2762.763440496681,1.1853304216887156e-07,2762.763440378148,1381.381720189074,1381.381720307607,547.2539810758877,0.05
0.005250922567845,-0.1844187248752055,-0.3063141473932087,2593.3785305220563,1.2523449610196325e-07,2593.3785303968216,1296.6892651984108,1296.6892653236455,528.1799528506501,0.05
0.0054299287295225,-0.1843167862021646,-0.3070664111053988,2405.789059621487,1.236327128565251e-07,2405.7890594978544,1202.8945297489272,1202.8945298725598,508.0495271245969,0.05
0.0054675094178576,-0.1850284150425079,-0.3078612165904145,2457.2613678656357,1.1514220455728583e-07,2457.2613677504937,1228.6306838752469,1228.630683990389,501.8328012711982,0.05
0.0055966289974815,-0.1853490598941849,-0.3086990450722308,2298.189232339778,1.07782474670353e-07,2298.1892322319954,1149.0946161159977,1149.0946162237801,470.12690550762903,0.05
0.0055879654824492,-0.186031378146819,-0.3090301205985158,2304.859464527024,1.0262412031049633e-07,2304.8594644244,1152.4297322122,1152.4297323148242,454.666167802209,0.05
0.0051491788503189,-0.1838858815029326,-0.3052945087564224,2628.392887962173,1.283306764156288e-07,2628.3928878338425,1314.1964439169212,1314.1964440452518,532.2848813047561,0.05
0.0054745000324058,-0.1835178182872139,-0.3064065773365323,2321.315759657074,1.2160785528038028e-07,2321.315759535466,1160.657879767733,1160.657879889341,494.4319615869759,0.05
0.0055772882211867,-0.1826585675178544,-0.3057516580982926,2168.157514732905,1.2496455312063838e-07,2168.1575146079404,1084.0787573039702,1084.0787574289348,465.89887025962605,0.05
0.0056468429268423,-0.1836446308266908,-0.3073496497277322,2085.3530961173224,1.1425012223593715e-07,2085.353096003072,1042.676548001536,1042.6765481157863,468.5392593888871,0.05
0.0056395905799386,-0.1841120451777487,-0.3078332713022963,2160.10277338578,1.1386351094266904e-07,2160.1027732719162,1080.0513866359581,1080.0513867498219,473.43251490023437,0.05
0.0082543365406935,-0.1774961974105822,-0.3055005387801416,1518.2582772167104,1.2130536113333352e-07,1518.258277095405,759.1291385477025,759.129138669008,225.45110389999317,0.05
0.0069670907665839,-0.1859862483110607,-0.3150958092932677,2184.3138200351414,1.8351909950307723e-08,2184.3138200167896,1092.1569100083948,1092.1569100267466,277.79836897481727,0.05
0.00713204936406,-0.185993672742,-0.315731325635,3273.2390334572437,2.383353496712104e-08,3273.2390334334104,1636.6195167167052,1636.6195167405385,365.71652571794476,0.05
0.0071560177125182,-0.1854372840655244,-0.3153297574037063,2079.2923473943306,1.7434769758370398e-08,2079.292347376896,1039.646173688448,1039.6461737058826,267.34952004378454,0.05
0.00699312660531,-0.1853730152379511,-0.31467394402258,1455.1932440886735,2.9232475632460383e-08,1455.193244059441,727.5966220297205,727.596622058953,231.76442824599715,0.05
0.0067963053113028,-0.1859817739162704,-0.3144064843480159,1428.9665974206357,2.8896595058897722e-08,1428.966597391739,714.4832986958695,714.4832987247662,230.49087907842735,0.05
0.0057950067932534,-0.1852033855971135,-0.3095151813780632,1982.760231288129,9.857085943495733e-08,1982.7602311895582,991.3801155947791,991.3801156933499,422.48417432421434,0.05
0.0057893454737039,-0.1860211448251302,-0.3099845827868543,1980.6703402718167,8.835062236186293e-08,1980.6703401834661,990.3351700917331,990.3351701800837,397.5346702206027,0.05
0.0057988715363335,-0.184328382333461,-0.3087770727319701,1983.4573930643369,1.118481563720643e-07,1983.4573929524888,991.7286964762444,991.7286965880925,445.02280045627094,0.05
0.0060095824407376,-0.186008714203808,-0.3109998431536821,1595.2530120748663,8.163389513929644e-08,1595.2530119932323,797.6265059966162,797.6265060782501,338.1685890556655,0.05
0.0060265980468999,-0.1851098208945941,-0.3104842430182873,1683.426748959375,8.28096444775153e-08,1683.4267488765652,841.7133744382826,841.7133745210923,375.5740948579813,0.05
0.0059961942858625,-0.1817264159026216,-0.3061652034011555,1864.0838696068247,1.223129944962744e-07,1864.0838694845118,932.0419347422559,932.0419348645688,412.8265553053781,0.05
0.0059137460711065,-0.1825582196290973,-0.3071176761111505,1936.1167700741405,1.1532572370229153e-07,1936.1167699588148,968.0583849794074,968.0583850947331,439.53159933365066,0.05
0.0059408661774373,-0.1832532527072388,-0.3081934438284716,1894.217617417164,1.1248754877033134e-07,1894.2176173046767,947.1088086523383,947.1088087648258,439.30457172307496,0.05
0.0065078491094915,-0.1803814477659528,-0.3058208787242947,1617.7269055764075,1.234074374170204e-07,1617.726905453,808.8634527265,808.8634528499075,348.8080668149907,0.05
0.0064427905336035,-0.1812361546972473,-0.307225134889698,1678.217625055966,1.2013898434958538e-07,1678.217624935827,839.1088124679135,839.1088125880525,385.0816368126619,0.05
0.0062000334850826,-0.1832011157890336,-0.3092600712648332,1638.8453077530928,1.0425512237022609e-07,1638.8453076488377,819.4226538244188,819.422653928674,402.473201811718,0.05
0.0063096412252546,-0.1822633661580457,-0.3084045031193011,1662.5186272122708,1.1547625803735633e-07,1662.5186270967945,831.2593135483972,831.2593136638735,405.8881905977345,0.05
0.0075194773995747,-0.1788705013576464,-0.3064119776095175,1511.0350629469256,1.2097132078288225e-07,1511.0350628259544,755.5175314129772,755.5175315339484,283.64862570022694,0.05
0.0086182423630876,-0.1776939463151466,-0.3072647707962493,1669.291325107688,1.1490526418227393e-07,1669.2913249927826,834.6456624963913,834.6456626112966,260.96189364586394,0.05
0.0073352223094382,-0.1854383969479452,-0.3159604068529374,3173.375895666119,2.483836514650884e-08,3173.3758956412807,1586.6879478206404,1586.6879478454787,353.2478926025203,0.05
0.0073220537394881,-0.1849913617603138,-0.3155186690992296,2166.206692971474,1.8478038088240303e-08,2166.2066929529956,1083.1033464764978,1083.103346494976,276.6693651320537,0.05
0.0071800228680659,-0.184919725778788,-0.3149602120125321,1526.2919151023816,2.7635818867692066e-08,1526.2919150747457,763.1459575373729,763.1459575650088,236.36847854392917,0.05
