x_mm,y_mm,z_mm,VM_cycle_max_Pa,VM_cycle_min_Pa,VM_stress_range_Pa,VM_stress_amplitude_Pa,VM_midrange_stress_Pa,VM_temporal_mean_Pa,t_VM_max_s
9.193898110331066,1.757732833549721,1665.4742932616457,3425.625829383299,8.03130926979253e-06,3425.6258213519895,1712.8129106759948,1712.812918707304,801.3859088166229,0.05
9.203824995887032,3.926195718160781,1662.5828841702016,3961.732561607707,6.315472901055811e-06,3961.732555292234,1980.866277646117,1980.86628396159,849.6504138294036,0.05
8.83330246115959,4.914863187516724,1663.7816106000096,3652.115457684545,6.6318945193222055e-06,3652.1154510526508,1826.0577255263254,1826.0577321582198,786.2451878100949,0.05
9.065619584767168,5.38808501604536,1661.7566087243613,4095.480677360305,5.6756405488384445e-06,4095.4806716846642,2047.7403358423321,2047.7403415179729,853.630978256482,0.05
9.065079772803909,3.1442535764478614,1664.2329655250776,3685.681709653291,7.217154983440792e-06,3685.6817024361358,1842.8408512180679,1842.840858435223,816.0896287684707,0.05
9.7784499034861,1.3814511299259244,1664.0054632813335,3668.988824468696,7.440484727750153e-06,3668.988817028211,1834.4944085141055,1834.4944159545903,831.1043430642785,0.05
9.727286409253333,2.4723434057250318,1662.3170453997157,4167.375111927225,6.424855232701385e-06,4167.3751055023695,2083.6875527511847,2083.68755917604,891.9534037002047,0.05
9.630823127561545,5.709171353931671,1657.5976885732675,5553.7683114086285,3.6813762405892095e-06,5553.768307727252,2776.884153863626,2776.8841575450024,1084.2569647469254,0.05
9.466444353275412,6.262318693441268,1657.9298686419595,5358.111849446387,3.832582062501428e-06,5358.111845613805,2679.0559228069023,2679.055926639485,1050.3859485427222,0.05
9.606626322219416,6.581638890929886,1656.40955033,5706.574343399498,3.0296806236392296e-06,5706.574340369817,2853.2871701849085,2853.287173214589,1097.3872586200116,0.05
9.688032691653282,3.5832529737141,1660.645260873115,4671.214480343263,5.454663885546912e-06,4671.214474888599,2335.6072374442997,2335.6072428989632,960.0243248197561,0.05
9.28515337874068,5.858650726313678,1659.7304163767328,4797.079979279185,4.681117711046981e-06,4797.079974598068,2398.539987299034,2398.539991980151,967.9487964974109,0.05
9.656383822645491,4.713205263812066,1658.999575331579,5129.987264911598,4.451866473628888e-06,5129.987260459731,2564.9936302298656,2564.993634681732,1024.9244387010874,0.05
9.672836448761249,9.926375366128855,1652.9063860778456,2507.818827233364,9.433962907778162e-07,2507.818826289968,1253.909413144984,1253.9094140883801,524.0172563401493,0.05
9.78797608810548,10.50363135660806,1652.5197227736194,1649.4548727191402,1.2614420740033662e-06,1649.4548714576981,824.7274357288491,824.7274369902912,340.5711866078604,0.05
9.68681189897,9.70332172804,1652.33902884,2084.9146151116984,1.3099368025955766e-06,2084.914613801762,1042.457306900881,1042.4573082108175,400.647652304775,0.05
9.632704882904708,9.270648775230566,1652.9057720110231,3082.306013721703,9.595263434068206e-07,3082.3060127621766,1541.1530063810883,1541.1530073406147,613.4222439567634,0.05
10.170683619097108,11.750391157565751,1653.472288325951,1656.733815124972,1.0404433063941007e-06,1656.7338140845286,828.3669070422643,828.3669080827076,395.9511987782464,0.05
10.58421219236022,12.504754758008614,1652.8583939089615,755.2860993026071,1.276594137961403e-06,755.286098026013,377.6430490130065,377.64305028960064,206.00903374453398,0.05
10.091889322787182,11.511893732012826,1652.710617350882,1174.871819760879,1.2835208392047808e-06,1174.8718184773581,587.4359092386791,587.4359105221998,276.5499028633244,0.05
10.596102889394778,12.54557046707643,1653.5403209554725,1252.44157720502,1.0033263381189906e-06,1252.4415762016936,626.2207881008468,626.2207891041732,326.8542024720405,0.05
11.1012175674,13.2468539961,1652.93781284,619.4662074473553,1.2548773035761704e-06,619.466206192478,309.733103096239,309.73310435111625,182.79088900743608,0.05
10.963491792390794,13.060509473640382,1653.79756434773,1135.533753217403,1.0345741448332378e-06,1135.533752182829,567.7668760914145,567.7668771259886,288.4883634473236,0.05
9.759671810032025,10.57022512168589,1653.4065176287424,2477.606684286752,1.0658266050747808e-06,2477.606683220926,1238.803341610463,1238.8033426762893,526.7509796490572,0.05
10.48945716578688,12.387965031444152,1654.1673816647603,1195.390889726002,1.3237335048029363e-06,1195.3908884022683,597.6954442011341,597.6954455248678,304.41361946732997,0.05
9.845626892907308,10.98591458031769,1654.1639275249338,2629.757090427838,1.4639079031893352e-06,2629.75708896393,1314.878544481965,1314.8785459458732,552.4879163855157,0.05
10.05329375215194,11.558229321626186,1654.4755387063333,2007.4665136565372,1.5849369298753409e-06,2007.4665120716004,1003.7332560358002,1003.733257620737,444.9897351303819,0.05
10.220137574275014,11.940416837297963,1655.0848970179563,1667.119898003847,1.992994480355365e-06,1667.1198960108527,833.5599480054263,833.5599499984207,378.40469896448167,0.05
10.80574528288812,12.833792169780358,1654.8244658174146,1250.1298657105294,1.6107444972296813e-06,1250.129864099785,625.0649320498925,625.0649336606369,269.28335466008457,0.05
8.803916941987099,6.772717512555152,1662.5958721846298,4192.689721738719,6.1722162086866975e-06,4192.689715566503,2096.3448577832514,2096.344863955467,860.9599336430884,0.05
8.836902928072139,8.739639609389942,1665.5158982207276,4905.625830528571,7.68973042991249e-06,4905.625822838841,2452.8129114194203,2452.8129191091507,971.9321553199346,0.05
9.596225523392263,10.449242818576222,1665.0083948603408,5105.350184416821,7.639087200597411e-06,5105.350176777734,2552.675088388867,2552.675096027954,980.0710716903693,0.05
9.762020228307096,10.88386612696424,1663.1769739715205,4790.328326788745,6.638122580593861e-06,4790.328320150622,2395.164160075311,2395.1641667134336,897.7692180529077,0.05
8.929576180127029,8.895291291015916,1663.4373636172568,4710.678588669588,6.665825436927777e-06,4710.678582003762,2355.339291001881,2355.339297667707,922.9983573134931,0.05
9.579973921963148,9.944499310658165,1654.5072948242023,3998.98604945701,1.802849837015032e-06,3998.98604765416,1999.49302382708,1999.49302562993,784.1528408043632,0.05
9.599132102039404,9.59199859462219,1653.5775929817314,3591.9557678629703,1.2756452998258207e-06,3591.955766587325,1795.9778832936624,1795.977884569308,707.098293060559,0.05
9.595908983244302,8.790288050273949,1653.528895676296,4251.452785674294,1.2744142121919511e-06,4251.45278439988,2125.72639219994,2125.726393474354,817.9522161756704,0.05
9.542859801320196,9.101913185275048,1654.1019837433876,4519.229448418018,1.6508941225236383e-06,4519.2294467671245,2259.6147233835623,2259.614725034456,869.5675102403474,0.05
9.57708440347738,8.188756944113141,1654.3055189916372,5119.707827185782,1.7839810498697472e-06,5119.707825401801,2559.8539127009003,2559.8539144848814,975.6708790039486,0.05
9.466876847625189,8.818302502565222,1655.0619010861403,5012.696412646064,2.2757594757232445e-06,5012.696410370305,2506.3482051851524,2506.348207460912,961.7014797270148,0.05
10.622613867551491,12.5577244549041,1656.0483185841426,2185.572030730581,2.456668676272794e-06,2185.572028273912,1092.786014136956,1092.786016593625,411.71702923555654,0.05
9.93199535861037,11.387024944822947,1656.2168711794384,2646.745153738481,2.7365005446857124e-06,2646.7451510019805,1323.3725755009903,1323.3725782374906,537.6243290252917,0.05
10.411037633802271,12.220618125796896,1657.5121693027506,2710.0037783184566,3.4326864930725617e-06,2710.0037748857703,1355.0018874428852,1355.0018908755715,502.2294999587479,0.05
9.48821659941724,9.876335814106096,1655.9139290615992,4169.279898476901,2.6679275241288754e-06,4169.279895808973,2084.6399479044867,2084.639950572414,813.7808305383418,0.05
9.381841617601722,8.258910459406904,1656.2446143153602,5407.980400616311,2.961335513333353e-06,5407.980397654976,2703.990198827488,2703.9902017888235,1035.590986677685,0.05
9.827392683819948,11.032992524399898,1655.0739707793782,2705.225321446064,2.027165868316709e-06,2705.225319418898,1352.612659709449,1352.6126617366149,557.3130888965868,0.05
9.301570746470736,10.012360987432457,1661.5965763572722,4357.477372998112,5.730689319859552e-06,4357.477367267422,2178.738683633711,2178.7386893644007,835.1084405985341,0.05
9.947693890631731,11.32642520478419,1661.313022345257,4117.613211526547,5.620721451457035e-06,4117.613205905825,2058.8066029529127,2058.8066085736345,755.2386785130929,0.05
8.98951097992156,7.222777115509103,1660.657173476205,4427.261309075503,5.2080842008363066e-06,4427.261303867419,2213.6306519337095,2213.6306571417936,896.2320235053753,0.05
9.142244158451009,7.541987942844615,1659.0476813229157,4953.6585663270525,4.434840593446384e-06,4953.658561892212,2476.829280946106,2476.8292853809467,975.2536819516481,0.05
8.945248972373598,8.416562553391476,1661.4803848871102,4362.957531011171,5.548681727693543e-06,4362.95752546249,2181.478762731245,2181.4787682799265,868.0514856442986,0.05
9.620761463465236,10.674976600758272,1657.5728980737092,3346.404862225737,3.561764879501153e-06,3346.404858663972,1673.202429331986,1673.202432893751,656.2373395125164,0.05
10.165563656124448,11.783444327269608,1659.3797299682203,3470.310641831448,4.503673690482098e-06,3470.310637327774,1735.155318663887,1735.1553231675607,629.4028393268694,0.05
9.320688195255231,9.18149670211893,1657.123790491519,4664.512493214155,3.313970973832029e-06,4664.512489900184,2332.256244950092,2332.2562482640633,904.6040036364773,0.05
9.229303894691988,9.17446925271642,1658.4886033888663,4441.192067989614,4.085889348925446e-06,4441.192063903724,2220.596031951862,2220.5960360377517,867.0243087183529,0.05
9.454628773145954,10.348537455912291,1659.623998749701,3894.239553524728,4.751481322297949e-06,3894.2395487732465,1947.1197743866232,1947.1197791381046,745.4664779096867,0.05
9.092516309991463,8.897152092878574,1660.094216656703,4371.870525699025,5.066121293546779e-06,4371.870520632904,2185.935260316452,2185.935265382573,858.351533730972,0.05
9.274319931797612,7.838349470254346,1657.599580785493,5119.115446600014,3.6752403354283936e-06,5119.1154429247745,2559.5577214623872,2559.557725137627,996.9663559213884,0.05
9.582401044151416,7.444325829032753,1655.2705790130674,5633.583730083322,2.418745662452448e-06,5633.583727664576,2816.791863832288,2816.7918662510338,1073.248836784038,0.05
