target,candidate,val_patient,R2,MAE,RMSE,Spearman,Top10_overlap,NMAE
TAWSS_vector_Pa,LGB_smooth,1,-0.7737549646985125,0.8173903203793581,1.4684224795741718,0.30894505334822625,0.19413919413919414,1.2169425049901785
TAWSS_vector_Pa,LGB_smooth,2,0.0076369508103524275,0.8139016453929107,1.9642116323781806,0.7215570742916565,0.23529411764705882,0.9602591897495274
TAWSS_vector_Pa,LGB_smooth,3,-1.9955404346049477,0.34340769235930924,0.6290892290229104,0.19229841947223678,0.0375,1.836956303916242
TAWSS_vector_Pa,LGB_mid,1,-1.0022838002154053,0.8728932469620362,1.5601524202467225,0.33502180240920015,0.19658119658119658,1.2995760630661568
TAWSS_vector_Pa,LGB_mid,2,-0.046304960074248,0.8383032136803765,2.0168896080932157,0.5804108923303198,0.19411764705882353,0.9890487005276117
TAWSS_vector_Pa,LGB_mid,3,-2.0053457048106145,0.3282824065782957,0.6301179833532321,0.17909385020238655,0.040625,1.7560481306802842
TAWSS_vector_Pa,LGB_local,1,-0.6421287621631195,0.7741360769193854,1.4128882592830416,0.41665128072986907,0.2148962148962149,1.1525449631117715
TAWSS_vector_Pa,LGB_local,2,-0.04686135230904109,0.8320798266988181,2.017425796209284,0.5718679321265402,0.21323529411764705,0.981706210714209
TAWSS_vector_Pa,LGB_local,3,-1.7713038422618261,0.3151869308153867,0.6050854756074723,0.1992938653651163,0.04375,1.6859978164599247
OSI,LGB_smooth,1,-0.26387409582455756,0.11186059409373739,0.13734810449252066,0.021389680381643378,0.04395604395604396,0.5351671173151199
OSI,LGB_smooth,2,-0.2810151767179898,0.09467405932628532,0.11665848087938255,0.3937052826991438,0.06911764705882353,0.5642278005714741
OSI,LGB_smooth,3,-0.6379038759128708,0.1028192949190737,0.1254647039121283,-0.07338839062970211,0.05,0.6405302013859069
OSI,LGB_mid,1,-0.3951844130705098,0.11589494055483802,0.14430672536357358,0.015981631450401018,0.07448107448107448,0.5544683697653656
OSI,LGB_mid,2,-0.5456328036009697,0.10506380371172079,0.12814224914692784,0.38536258915071925,0.047058823529411764,0.6261474295047874
