target,zero_R2,zero_Spearman,zero_Top10,affine5_R2,affine5_Spearman,affine5_Top10,local5_R2,local5_Spearman,local5_Top10,full5_R2,full5_Spearman,full5_Top10,full10_R2,full10_Spearman,full10_Top10
TAWSS_vector_Pa,-0.1590862080534243,0.1352886333365087,0.0320197044334975,-0.0366506782621161,0.1369070775186967,0.0311688311688311,0.2322188612665916,0.6494735022386422,0.6,0.2339721614783497,0.6708494679050235,0.587012987012987,0.293844473387679,0.6930041601434483,0.6684931506849315
OSI,-0.3743097043436161,-0.1320605819338309,0.0147783251231527,0.0151118595000595,0.1336797713645722,0.109090909090909,0.5708675272249206,0.7650346102736398,0.6987012987012987,0.6029487801277216,0.8073753934588513,0.6675324675324675,0.6984167472637621,0.8540420437550034,0.673972602739726
RRT_1_per_Pa,-1.6250987295407526e-05,0.0256809642318875,0.2364532019704433,-0.0003083003167061,0.0242100261832234,0.2337662337662337,-0.0004602957480561,0.6781951791082027,0.5506493506493506,-0.0004717401662539,0.7105876992831753,0.5792207792207792,-0.0004605918432611,0.7514823924107872,0.6
peak_WSS_magnitude_Pa,-0.0266327751824833,0.3059610880075498,0.3004926108374384,0.0143094309502845,0.3054058228205615,0.2909090909090909,0.3032588548398423,0.7275191583769359,0.6051948051948052,0.302210666843721,0.7319930834830494,0.6051948051948052,0.3901030069617673,0.7417885551048689,0.663013698630137
VM_cycle_max_Pa,-0.0953222774925415,0.1890076952942367,0.2044334975369458,-0.0572128436169177,0.1861076996753138,0.2025974025974026,0.314297351123624,0.5577749149639828,0.4753246753246753,0.3167489879811023,0.5689549763840062,0.5064935064935064,0.3718115599131496,0.6215106001536707,0.4821917808219178
VM_stress_amplitude_Pa,-0.0953784881017898,0.1891452809440729,0.2044334975369458,-0.0572348528522637,0.1862416938956556,0.2025974025974026,0.3143728745242978,0.5578660098661834,0.4753246753246753,0.3167811264978311,0.5689974639775767,0.5064935064935064,0.3718363099715823,0.6215427931002823,0.4821917808219178
VM_temporal_mean_Pa,-0.0561477084523533,0.16608351972462,0.1280788177339901,-0.0597113913300677,0.1633479552596106,0.1298701298701298,0.402984485856203,0.6664212396316922,0.4831168831168831,0.4101902535136491,0.6727585386110507,0.5064935064935064,0.4591850683922007,0.6924709884684469,0.5424657534246575
