Target,R2,MAE,RMSE,Spearman_rho,Top10_hotspot_overlap,Calibration_nodes,Evaluation_nodes
TAWSS,0.2339721614783497,0.407687685112686,1.17883722567096,0.6708494679050235,0.587012987012987,203,3852
OSI,0.6029487801277216,0.0438467402243458,0.0644499671140704,0.8073753934588513,0.6675324675324675,203,3852
RRT,-0.0004717401662539,5.959429218038227,287.69652736128114,0.7105876992831753,0.5792207792207792,203,3852
Peak WSS,0.302210666843721,2.034979351237952,5.8348239012177805,0.7319930834830494,0.6051948051948052,203,3852
Cycle-max VM,0.3167489879811023,728.6733740564075,1028.9401257217037,0.5689549763840062,0.5064935064935064,203,3852
Stress amplitude,0.3167811264978311,364.3241654410945,514.4579620421353,0.5689974639775767,0.5064935064935064,203,3852
Temporal-mean VM,0.4101902535136491,170.05934002524782,238.5473972999337,0.6727585386110507,0.5064935064935064,203,3852
