variant,calibration_fraction,mean_R2,mean_Spearman,mean_Top10_overlap,mean_MAE
affine_only,0.05,0.011502858883685015,0.2620343387931075,0.1627725606546231,326.053516639692
full,0.05,0.4755868931005094,0.7526819149021567,0.5809317164831025,202.9437799024891
local_only,0.05,0.4612187799953713,0.7347907856473286,0.5693995024609763,207.13507946815255
zero_shot,0.0,-0.6657911891623612,0.18819857681620367,0.14004148668014216,396.9065251068306
