val_patient,target,variant,calibration_fraction,R2,MAE,RMSE,Spearman,Top10_overlap
1,TAWSS_vector_Pa,zero_shot,0.0,-0.6421287621631195,0.7741360769193854,1.4128882592830416,0.41665128072986907,0.2148962148962149
1,TAWSS_vector_Pa,affine_only,0.05,0.0029074040868231066,0.532992260445198,1.0948521062604064,0.41530742106069884,0.2120822622107969
1,TAWSS_vector_Pa,local_only,0.05,0.38512699515430415,0.32629442483410065,0.8597663148535112,0.8124237296334167,0.609254498714653
1,TAWSS_vector_Pa,full,0.05,0.40476318814547174,0.3091309376971467,0.8459264480606692,0.8313345070450696,0.62853470437018
1,OSI,zero_shot,0.0,-0.26387409582455756,0.11186059409373739,0.13734810449252066,0.021389680381643378,0.04395604395604396
1,OSI,affine_only,0.05,0.005764542501926706,0.10375266514882034,0.12209886767946053,0.022553206705928138,0.04498714652956298
1,OSI,local_only,0.05,0.7676001414631747,0.04127204944647601,0.05903165271878428,0.8919308561056999,0.5925449871465296
1,OSI,full,0.05,0.7773236826029385,0.03985931951899526,0.057783524479455575,0.8973048447658964,0.609254498714653
1,RRT_1_per_Pa,zero_shot,0.0,-0.01580989043685288,3.7185409311710163,17.212807807072615,0.3632856963620492,0.20146520146520147
1,RRT_1_per_Pa,affine_only,0.05,-0.0066654119427893566,3.716409248028518,17.47939409012685,0.3644852469095976,0.2069408740359897
1,RRT_1_per_Pa,local_only,0.05,0.06599752971595663,2.3550896833708777,16.83673254312093,0.8558893756844007,0.6298200514138818
1,RRT_1_per_Pa,full,0.05,0.06633515909958199,2.3463923046683464,16.83368914140143,0.8566903757126417,0.6311053984575835
1,peak_WSS_magnitude_Pa,zero_shot,0.0,-0.5931288993724015,3.705325159732249,7.414192636295218,0.7027962907070199,0.25518925518925517
1,peak_WSS_magnitude_Pa,affine_only,0.05,0.009620732501362306,2.750402634395034,5.819335328362498,0.7016436383551153,0.2519280205655527
1,peak_WSS_magnitude_Pa,local_only,0.05,0.46208307556169503,1.7207623909771463,4.288744928582242,0.8337438840423186,0.5951156812339332
1,peak_WSS_magnitude_Pa,full,0.05,0.479327285860909,1.6486731995227202,4.219442011795291,0.8401852427832784,0.6143958868894601
1,VM_cycle_max_Pa,zero_shot,0.0,-0.41782224439648097,2192.379704141238,3494.252081558857,-0.1535279551069718,0.017094017094017096
1,VM_cycle_max_Pa,affine_only,0.05,-0.08939312235677233,1958.6489922551411,3073.8851149968077,0.15526359203735537,0.04627249357326478
1,VM_cycle_max_Pa,local_only,0.05,0.7744421694444941,1015.9122325504917,1398.6990238015537,0.7237812353538388,0.8470437017994858
1,VM_cycle_max_Pa,full,0.05,0.7809017166494393,996.1000655497965,1378.5255021329754,0.7284531752932071,0.8354755784061697
1,VM_stress_amplitude_Pa,zero_shot,0.0,-0.41774538705582853,1096.0566101891195,1747.0786858625438,-0.15237122553223117,0.017094017094017096
1,VM_stress_amplitude_Pa,affine_only,0.05,-0.08959703879357406,979.4258208196641,1537.0863957880056,0.1541030651027021,0.04627249357326478
1,VM_stress_amplitude_Pa,local_only,0.05,0.7744985758479512,507.86817674318337,699.2620614113498,0.72389576940812,0.8470437017994858
1,VM_stress_amplitude_Pa,full,0.05,0.7809046794313278,498.0387193370223,689.258090671702,0.728482662416111,0.8354755784061697
1,VM_temporal_mean_Pa,zero_shot,0.0,-0.2836427690375076,564.1720127668616,873.8084501789974,-0.11057673585818938,0.0
1,VM_temporal_mean_Pa,affine_only,0.05,-0.11028142816206721,512.2801674814501,815.620025716318,0.10924350169602762,0.028277634961439587
1,VM_temporal_mean_Pa,local_only,0.05,0.8033946311936301,241.08884248891735,343.2171883732672,0.8012707477573051,0.8547557840616966
1,VM_temporal_mean_Pa,full,0.05,0.8087895050149959,235.50682411992153,338.475474354361,0.8136074028603206,0.8444730077120822
2,TAWSS_vector_Pa,zero_shot,0.0,-0.04686135230904109,0.8320798266988181,2.017425796209284,0.5718679321265402,0.21323529411764705
2,TAWSS_vector_Pa,affine_only,0.05,0.01089901973766938,0.886704149624857,1.9537413346647734,0.5774970884580422,0.2089783281733746
2,TAWSS_vector_Pa,local_only,0.05,0.5584322423075155,0.438192418397659,1.3054054635021302,0.9200422253012182,0.6424148606811145
2,TAWSS_vector_Pa,full,0.05,0.5567812879127318,0.44336699374793764,1.3078435425380839,0.9176058688115328,0.6362229102167183
2,OSI,zero_shot,0.0,-0.2810151767179898,0.09467405932628532,0.11665848087938255,0.3937052826991438,0.06911764705882353
2,OSI,affine_only,0.05,0.12298259383350962,0.07823300074196765,0.09672255432998414,0.3949752565577531,0.0696594427244582
2,OSI,local_only,0.05,0.7037932257283065,0.036292491437377804,0.05621097833100928,0.8786729011264123,0.4071207430340557
2,OSI,full,0.05,0.720672347158063,0.034416249510279516,0.05458591779073175,0.889836169808695,0.41640866873065013
2,RRT_1_per_Pa,zero_shot,0.0,0.16004702462578435,3.143374737359553,6.121433806919087,0.7056949559503738,0.4102941176470588
2,RRT_1_per_Pa,affine_only,0.05,0.26328278894585155,2.617581761276517,5.644693307324466,0.7076374260531303,0.4071207430340557
2,RRT_1_per_Pa,local_only,0.05,0.3523406434553895,1.5389754629382166,5.292529220676677,0.900876251574542,0.544891640866873
2,RRT_1_per_Pa,full,0.05,0.35580936421705167,1.5116922329186748,5.278337383092952,0.9047274961698826,0.5557275541795665
2,peak_WSS_magnitude_Pa,zero_shot,0.0,0.1389237149869369,4.265930304045395,10.014963003186297,0.841412220409635,0.5823529411764706
2,peak_WSS_magnitude_Pa,affine_only,0.05,0.41357716153039925,3.6690895714626333,8.25750456174099,0.8445190257115565,0.5851393188854489
2,peak_WSS_magnitude_Pa,local_only,0.05,0.6120277734411936,2.4559933162837133,6.716510577475353,0.9424276197962772,0.6253869969040248
2,peak_WSS_magnitude_Pa,full,0.05,0.5826551183517512,2.6062245547338136,6.966119659887473,0.9391547761161527,0.6099071207430341
2,VM_cycle_max_Pa,zero_shot,0.0,-1.6403449791651856,1315.9415543633834,1828.617402888028,-0.18209279801587558,0.08088235294117647
2,VM_cycle_max_Pa,affine_only,0.05,-0.015533691917462233,818.801960565309,1135.936023865397,0.18056520167179801,0.20588235294117646
2,VM_cycle_max_Pa,local_only,0.05,0.4282982728550344,571.3923031286513,852.2979747221727,0.6545031604849394,0.5170278637770898
2,VM_cycle_max_Pa,full,0.05,0.44405731684519123,549.6772477303551,840.4690275595109,0.6681598897669434,0.5309597523219814
2,VM_stress_amplitude_Pa,zero_shot,0.0,-1.6403450172976761,657.9707751900158,914.3087080798543,-0.18209279801587558,0.08088235294117647
2,VM_stress_amplitude_Pa,affine_only,0.05,-0.01553368729306448,409.40098011864114,567.9680106311617,0.18056520167179801,0.20588235294117646
2,VM_stress_amplitude_Pa,local_only,0.05,0.428298278868512,285.696150035332,426.1489851135704,0.6545031604849394,0.5170278637770898
2,VM_stress_amplitude_Pa,full,0.05,0.4440573238812474,274.83862246914055,420.2345111143017,0.6681598671099913,0.5309597523219814
2,VM_temporal_mean_Pa,zero_shot,0.0,-2.5889857763866915,323.8776109990823,461.70790918413127,-0.043044073370951,0.054411764705882354
2,VM_temporal_mean_Pa,affine_only,0.05,-0.02568120770733362,176.07786914188785,247.12407465854233,0.04314742845512148,0.11919504643962849
2,VM_temporal_mean_Pa,local_only,0.05,0.4854441835579516,123.02658495763255,175.03508215319678,0.667535853566168,0.5634674922600619
2,VM_temporal_mean_Pa,full,0.05,0.511557012830903,115.90276648952847,170.5358916089476,0.684696403114994,0.6114551083591331
