target,zero_R2,zero_Spearman,zero_Top10,affine5_R2,affine5_Spearman,affine5_Top10,local5_R2,local5_Spearman,local5_Top10,full5_R2,full5_Spearman,full5_Top10,full10_R2,full10_Spearman,full10_Top10
TAWSS_vector_Pa,-0.15908620805342433,0.1352886333365087,0.03201970443349754,-0.0366506782621161,0.1369070775186967,0.03116883116883117,0.23221886126659164,0.6494735022386422,0.6,0.23397216147834976,0.6708494679050235,0.587012987012987,0.29384447338767905,0.6930041601434483,0.6684931506849315
OSI,-0.3743097043436161,-0.13206058193383094,0.014778325123152709,0.015111859500059555,0.13367977136457224,0.10909090909090909,0.5708675272249206,0.7650346102736398,0.6987012987012987,0.6029487801277216,0.8073753934588513,0.6675324675324675,0.6984167472637621,0.8540420437550034,0.673972602739726
RRT_1_per_Pa,-1.6250987295407526e-05,0.025680964231887538,0.23645320197044334,-0.0003083003167061449,0.02421002618322341,0.23376623376623376,-0.000460295748056172,0.6781951791082027,0.5506493506493506,-0.0004717401662539533,0.7105876992831753,0.5792207792207792,-0.0004605918432611933,0.7514823924107872,0.6
peak_WSS_magnitude_Pa,-0.026632775182483304,0.30596108800754984,0.30049261083743845,0.014309430950284585,0.3054058228205615,0.2909090909090909,0.3032588548398423,0.7275191583769359,0.6051948051948052,0.302210666843721,0.7319930834830494,0.6051948051948052,0.39010300696176736,0.7417885551048689,0.663013698630137
VM_cycle_max_Pa,-0.09532227749254152,0.18900769529423678,0.2044334975369458,-0.0572128436169177,0.18610769967531388,0.2025974025974026,0.314297351123624,0.5577749149639828,0.4753246753246753,0.3167489879811023,0.5689549763840062,0.5064935064935064,0.3718115599131496,0.6215106001536707,0.4821917808219178
VM_stress_amplitude_Pa,-0.09537848810178984,0.18914528094407293,0.2044334975369458,-0.05723485285226371,0.18624169389565562,0.2025974025974026,0.31437287452429785,0.5578660098661834,0.4753246753246753,0.3167811264978311,0.5689974639775767,0.5064935064935064,0.37183630997158235,0.6215427931002823,0.4821917808219178
VM_temporal_mean_Pa,-0.056147708452353395,0.16608351972462007,0.12807881773399016,-0.05971139133006775,0.16334795525961063,0.12987012987012986,0.40298448585620306,0.6664212396316922,0.4831168831168831,0.41019025351364913,0.6727585386110507,0.5064935064935064,0.45918506839220075,0.6924709884684469,0.5424657534246575
