Variant,Mean_R2,Mean_Spearman_rho,Mean_Top10_overlap
5% affine correction only,-0.0259566822753896,0.1622714352453763,0.1714285714285714
5% full V2 personalization,0.3117686051823029,0.6759309461575332,0.5654916512059369
10% full V2 personalization,0.3692480820066972,0.7108345047337867,0.5874755381604696
5% local residual correction only,0.3053628084410604,0.6574692306370399,0.5554730983302412
Zero-shot population prior,-0.1152704875162148,0.125586657086435,0.1600985221674876
