variant,calibration_fraction,mean_R2,mean_Spearman,mean_Top10_overlap
affine_only,0.05,-0.02595668227538961,0.1622714352453763,0.17142857142857143
full,0.05,0.3117686051823029,0.6759309461575332,0.5654916512059369
full,0.1,0.3692480820066972,0.7108345047337867,0.5874755381604696
local_only,0.05,0.30536280844106045,0.6574692306370399,0.5554730983302412
zero_shot,0.0,-0.11527048751621484,0.125586657086435,0.16009852216748768
