Variant,Development_mean_R2,Development_mean_Spearman_rho,Development_mean_Top10_overlap
5% affine correction only,0.011502858883685,0.2620343387931075,0.1627725606546231
5% full V2 personalization,0.4755868931005094,0.7526819149021567,0.5809317164831025
5% local residual correction only,0.4612187799953713,0.7347907856473286,0.5693995024609763
Zero-shot population prior,-0.6657911891623612,0.1881985768162036,0.1400414866801421
