% Model,Patient_1_Carreau_MR_Final(3.mph
% Version,COMSOL 6.4.0.429
% Date,"Aug 20 2026, 08:55"
% Dimension,3
% Nodes,8191
% Expressions,63
% Description,"WSSx_native, WSSy_native, WSSz_native"
% Length unit,m
% x,y,z,fsi1.F_Atx (Pa) @ t=0,fsi1.F_Aty (Pa) @ t=0,fsi1.F_Atz (Pa) @ t=0,fsi1.F_Atx (Pa) @ t=0.05,fsi1.F_Aty (Pa) @ t=0.05,fsi1.F_Atz (Pa) @ t=0.05,fsi1.F_Atx (Pa) @ t=0.1,fsi1.F_Aty (Pa) @ t=0.1,fsi1.F_Atz (Pa) @ t=0.1,fsi1.F_Atx (Pa) @ t=0.15,fsi1.F_Aty (Pa) @ t=0.15,fsi1.F_Atz (Pa) @ t=0.15,fsi1.F_Atx (Pa) @ t=0.2,fsi1.F_Aty (Pa) @ t=0.2,fsi1.F_Atz (Pa) @ t=0.2,fsi1.F_Atx (Pa) @ t=0.25,fsi1.F_Aty (Pa) @ t=0.25,fsi1.F_Atz (Pa) @ t=0.25,fsi1.F_Atx (Pa) @ t=0.3,fsi1.F_Aty (Pa) @ t=0.3,fsi1.F_Atz (Pa) @ t=0.3,fsi1.F_Atx (Pa) @ t=0.35,fsi1.F_Aty (Pa) @ t=0.35,fsi1.F_Atz (Pa) @ t=0.35,fsi1.F_Atx (Pa) @ t=0.4,fsi1.F_Aty (Pa) @ t=0.4,fsi1.F_Atz (Pa) @ t=0.4,fsi1.F_Atx (Pa) @ t=0.45,fsi1.F_Aty (Pa) @ t=0.45,fsi1.F_Atz (Pa) @ t=0.45,fsi1.F_Atx (Pa) @ t=0.5,fsi1.F_Aty (Pa) @ t=0.5,fsi1.F_Atz (Pa) @ t=0.5,fsi1.F_Atx (Pa) @ t=0.55,fsi1.F_Aty (Pa) @ t=0.55,fsi1.F_Atz (Pa) @ t=0.55,fsi1.F_Atx (Pa) @ t=0.6,fsi1.F_Aty (Pa) @ t=0.6,fsi1.F_Atz (Pa) @ t=0.6,fsi1.F_Atx (Pa) @ t=0.65,fsi1.F_Aty (Pa) @ t=0.65,fsi1.F_Atz (Pa) @ t=0.65,fsi1.F_Atx (Pa) @ t=0.7,fsi1.F_Aty (Pa) @ t=0.7,fsi1.F_Atz (Pa) @ t=0.7,fsi1.F_Atx (Pa) @ t=0.75,fsi1.F_Aty (Pa) @ t=0.75,fsi1.F_Atz (Pa) @ t=0.75,fsi1.F_Atx (Pa) @ t=0.8,fsi1.F_Aty (Pa) @ t=0.8,fsi1.F_Atz (Pa) @ t=0.8,fsi1.F_Atx (Pa) @ t=0.85,fsi1.F_Aty (Pa) @ t=0.85,fsi1.F_Atz (Pa) @ t=0.85,fsi1.F_Atx (Pa) @ t=0.9,fsi1.F_Aty (Pa) @ t=0.9,fsi1.F_Atz (Pa) @ t=0.9,fsi1.F_Atx (Pa) @ t=0.95,fsi1.F_Aty (Pa) @ t=0.95,fsi1.F_Atz (Pa) @ t=0.95,fsi1.F_Atx (Pa) @ t=1,fsi1.F_Aty (Pa) @ t=1,fsi1.F_Atz (Pa) @ t=1
0.005409422893477863,-0.18917979072242352,-0.30517829427754767,3.592170178940682E-10,-3.675087256790753E-10,-1.559822072595676E-9,-0.06511070273308898,0.06000954061955355,0.3007971254794075,0.15692662131175142,-0.1583339241979059,-0.6872736952821352,0.3805516560701463,-0.39354319635734186,-1.6438581938479278,0.4595984937402579,-0.45048853885147516,-2.0471537736398475,0.241938710418547,-0.19932893976658805,-1.1773518583953362,-0.03356554860568828,0.09516284786597318,-0.01708468583465213,-0.11105567568821328,0.1472384101952849,0.39211246511978587,-0.08676577802150831,0.11566204840467147,0.3049198523121938,-0.010273297239247414,0.04340038579640915,-0.04331388954772949,0.050910599953252124,-0.030523112912638577,-0.27874216366125903,0.05327532541743877,-0.03572793568068794,-0.28153364176582385,0.03738244053038565,-0.01623447524980008,-0.22116344285428638,0.020634531242562083,0.009035143653990765,-0.17018916250968666,0.0028245869591324024,0.037990118486161094,-0.12152898284629991,-0.01056220154437341,0.05954071865039429,-0.0843783816193609,-0.013719011654195682,0.06075173537648546,-0.06525759323824971,-0.0026495885734842775,0.034195865388272795,-0.0725994101134766,0.013692202787432642,-0.004197564012386024,-0.08563775051351163,0.024928075938734917,-0.030192066738171094,-0.09569030524273407,0.030863614986755245,-0.03973945338175299,-0.11218678212223161
0.005480602880201078,-0.18892514670628802,-0.30634282337706675,4.390522430580347E-10,-4.913837197490024E-10,-1.9084779380264616E-9,-0.06586435101176846,0.0652487231902974,0.307390304426115,0.16633809144540793,-0.18331050829996132,-0.7299014331003043,0.41472098941620317,-0.4829232462824171,-1.7599625944562618,0.5082309588772791,-0.5783570731435085,-2.18491650007657,0.2712095651261294,-0.2734142366073197,-1.2501199139145074,-0.03082973754653177,0.0897526351150278,-4.3550714151045317E-4,-0.11429572235246137,0.16243934809600566,0.41280085449652093,-0.08622510234814484,0.12030628034584012,0.3171570988891285,-0.005362294379651263,0.03271868327915398,-0.04157100770132799,0.05503395925287213,-0.04237562786839292,-0.28595430863397553,0.05646118634722538,-0.046205146927675377,-0.28670792860297384,0.04069919293962879,-0.026291063870263687,-0.2237055604988042,0.02514800723934633,-0.0023206606077952377,-0.1720551301552609,0.008384308366062724,0.025194421281887217,-0.12043707751991105,-0.005924365968945411,0.049229968264373924,-0.07769731159959413,-0.012462998188620733,0.057872385800602895,-0.05247288504975143,-0.007466297402386764,0.04339573630200363,-0.05259456774264524,0.005898420434788425,0.010815879207159812,-0.06789316169895936,0.01712841173057932,-0.016580572512290784,-0.08071346359095301,0.024030404117947043,-0.030250554312964056,-0.09629173532958481
0.005093975580264037,-0.18800697566952987,-0.30560836836638533,3.299739268508095E-10,-3.8874905859782575E-10,-1.555423819278737E-9,-0.061848267479957385,0.06337080725048645,0.3056001149094613,0.14425690719136344,-0.16785162898698852,-0.6831538967594738,0.3471651013799532,-0.4127128819096787,-1.633574074692658,0.4166730274188569,-0.4573318803903789,-2.012644946163469,0.22175875685580948,-0.18387039707531522,-1.1567266556961626,-0.030246797303482658,0.12658453443638537,0.010421683493849405,-0.10128607591429883,0.1634056762992016,0.4134777578996144,-0.07710453008491568,0.12252530663866423,0.3176328209251348,-0.005786775878774186,0.04802454044186479,-0.03245711279951632,0.049615406459578563,-0.031196187520579812,-0.2734511605949705,0.050778971307182355,-0.03573623046163164,-0.27433102659037256,0.036072360798639055,-0.015113159597872895,-0.20976774160381514,0.021972139314170254,0.009610612804702339,-0.15504057576241934,0.00788264389090289,0.03648292897933082,-0.10346443540228144,-0.0030868356224400223,0.057217848613453234,-0.06301106454634707,-0.006621928806754829,0.05953151413785546,-0.04361824407155601,6.359365513843227E-5,0.03701357335265598,-0.05389283360616769,0.01007558943047171,0.003724955631693987,-0.06999793253253903,0.016525761044907144,-0.017413037508300862,-0.08084672313544809,0.020303204770968936,-0.023240827030025422,-0.09668690948781508
0.0052907839520309466,-0.1879944625373979,-0.306880346411966,4.094290191179213E-10,-5.186962094190911E-10,-1.9629922020787855E-9,-0.05945140354247277,0.06415403741223417,0.30138381351601673,0.15064743238240888,-0.18691139248360158,-0.7280317921585976,0.3671145534757632,-0.47023100889733876,-1.7554795225139486,0.447175511805721,-0.54725811076324,-2.1710873513889895,0.23918358680888532,-0.24938123831804912,-1.2219977766835775,-0.02944437934953174,0.10202249187729391,0.049001291532934234,-0.10089050908441166,0.16821350001296156,0.42632154241325443,-0.07500746655636921,0.12193739149128528,0.3216261933171136,-0.0014620887607644424,0.03343840557709846,-0.03792754818164012,0.051859446125921416,-0.04386052615085843,-0.2798176143187762,0.05194557830747174,-0.04667289618739939,-0.27635823677433285,0.037671283551173045,-0.026651832248346375,-0.21064370974580607,0.02479732233501199,-0.003982975177926898,-0.15794253152630264,0.011336949038628178,0.02222398457224653,-0.10638525403698369,-5.176317859599452E-4,0.04630926659108727,-0.06238241647086351,-0.00654562345973871,0.056335200689197285,-0.0368438864589394,-0.004063782402631,0.04530929690461779,-0.0375148098926815,0.004668716734595069,0.016748856685499792,-0.054529572388910375,0.012003421296504132,-0.007758505029537166,-0.06810646961327009,0.01674434376654731,-0.019247597156552086,-0.08307117972159593
0.005552115866034987,-0.188702396429675,-0.3073603736096788,5.223367987983316E-10,-6.30724797668649E-10,-2.3040055126157385E-9,-0.06447984504591393,0.0658717175285742,0.311211034673257,0.17306903759265957,-0.2089713750332994,-0.7632648589873422,0.43090751111703796,-0.5557810868250715,-1.8257369525766212,0.5307860505999654,-0.6820934999365287,-2.249954919606601,0.2880977735649397,-0.34899255918663735,-1.2663174519216203,-0.03159524611016747,0.07730368049924523,0.053610244725401955,-0.11454571240453149,0.16987551259996048,0.4360786139343133,-0.08368958779465648,0.1186264602659352,0.3309432554980978,-4.641183670148763E-4,0.018350231971567172,-0.03684726137470231,0.05842256096933518,-0.055549157943965234,-0.29054368490333277,0.058791565603182584,-0.05797843390675254,-0.2878052027601397,0.042904450123328726,-0.03702817935165822,-0.22158074742669776,0.028442365486371635,-0.013950541976846385,-0.1700701459768302,0.01272372190536497,0.01296617164264218,-0.11808898787895349,-0.0019498586622433238,0.039039962390965584,-0.07161990202254535,-0.010557659830435587,0.053032073701029324,-0.04150800994979715,-0.009783072485243368,0.047721056451500245,-0.035344783486478286,2.0673550837294977E-4,0.022494584295586095,-0.05061523353882105,0.011196239993194848,-0.005900769654970102,-0.06601934400907895,0.018743544046367452,-0.023229905328501176,-0.08135574752266554
0.005426707596832784,-0.18807206754959965,-0.30763029475169706,5.022204108803528E-10,-6.413223036062276E-10,-2.3031456211611914E-9,-0.06305451641949275,0.06842248254728105,0.30564016455594184,0.16515588047514954,-0.21472478267955858,-0.7522368864842265,0.4087726715076414,-0.5781710689440442,-1.8022485622424802,0.5046188871184306,-0.7103378444999487,-2.2257846203299767,0.2684471177358265,-0.34467835485478987,-1.2272349650560679,-0.030373887308132907,0.08387178410450806,0.07925910882795355,-0.10706506850883031,0.176263600285888,0.43836223731179513,-0.07888995931992895,0.1253399482159061,0.3292705566440898,7.486548537338322E-4,0.02366024224464076,-0.03614371467083892,0.05688049118268523,-0.05520345665841866,-0.2840686861721662,0.05637886593739738,-0.05747362549048614,-0.2778781675949149,0.04126469012693955,-0.03625016832299521,-0.2111082707797019,0.02830480420971846,-0.013539532363986941,-0.15986003364993726,0.014596592653257967,0.012529989569811061,-0.10836755028899633,0.001755992588604638,0.038273746577440225,-0.061879129071773654,-0.005937690114135164,0.05243279828827783,-0.03233911814232711,-0.005673645970946817,0.04772363889127103,-0.027726490722343546,0.001901601996852631,0.024109661952208664,-0.04394154377437913,0.01001688634231217,-0.0023289540675935057,-0.05981451639296455,0.0157041927982949,-0.01774174879886162,-0.07508060031774935
0.005625947919960012,-0.188502535076,-0.308269503608,5.739412258188383E-10,-7.592529255604882E-10,-2.6030867067822E-9,-0.061876150135970774,0.06790012237718608,0.3060032563401092,0.17648922612892903,-0.23698805675199258,-0.7940371352126588,0.450423097820751,-0.6596056733105928,-1.9321750129198183,0.566919471050611,-0.8435090759860605,-2.404092889467161,0.2976165212075593,-0.4200299670263307,-1.3013631071114677,-0.03064625307717859,0.07012115845631296,0.08632430210087914,-0.11122649030268685,0.17795783442286828,0.4496826913869572,-0.07972206027875879,0.11953916248956935,0.3368982506230278,0.0016364894685404,0.010149147234702394,-0.02923472172422083,0.059405041832027675,-0.06627237627289176,-0.29131647725473986,0.05905318906571587,-0.06757350381856009,-0.2865711309542366,0.04362535391818467,-0.04585275241515029,-0.21891937173832104,0.030571488089679973,-0.023628647755922445,-0.1685078984477606,0.016409609275141315,0.002368153010408416,-0.11715903215830958,0.002347044230434636,0.029230836756194246,-0.06800752624975137,-0.007382328847291397,0.04735711583458783,-0.03317727791112028,-0.009243534830032278,0.048129713710377504,-0.02172112221011038,-0.002574269672855995,0.02975114614164878,-0.03500160006524916,0.00734793145734669,0.001799294250185653,-0.05371561319258224,0.014680288606221819,-0.01734129021704448,-0.07024078931213237
0.005311654674411447,-0.18748741896100904,-0.30752873538956466,4.350203687443686E-10,-5.827506791566299E-10,-2.147311826958679E-9,-0.05948950957423449,0.07280225226797032,0.298629986410815,0.1494473652238059,-0.21002108427521782,-0.7311182218056652,0.35846205241964907,-0.5479842677908034,-1.7258895694657774,0.4356465240499485,-0.6511137238895076,-2.104787771146493,0.23335230129149634,-0.29547144132667197,-1.1626344223159542,-0.02608592127083753,0.10512018629394963,0.08149412428363778,-0.09597669575889552,0.18642930186787046,0.43490639546671295,-0.07125633817922032,0.1343678301038572,0.3258044012548395,0.0016257892047701894,0.034919755730277745,-0.032959944990322704,0.053410401814284914,-0.050747548268597197,-0.27769314989229804,0.05249534320791116,-0.05283201873073462,-0.27093872980604683,0.03864241363099583,-0.03132537964480358,-0.20451712395373609,0.027137733928358925,-0.008402629076787614,-0.15276104277179686,0.01521843046502075,0.01773609256321283,-0.1007399813386705,0.004241148214865875,0.04318307850843261,-0.05374023675590702,-0.002069721915673265,0.055358435288523515,-0.02506736480929944,-0.001483476953438238,0.04830551569249144,-0.02373736582196911,0.004622609599924925,0.023300292086423303,-0.04258233402212245,0.010159077090242349,-0.0015745998016271998,-0.0582085849203311,0.014143214310516676,-0.014309501169908465,-0.07292355461206698
0.005482332040193325,-0.18770993543836512,-0.3083492813303796,5.258009053443486E-10,-7.314309378474235E-10,-2.4636539841752225E-9,-0.06437797177743221,0.07592727883275192,0.313191229107991,0.16553397186990657,-0.22993705286295896,-0.7756833334630064,0.4009235002249163,-0.6083395656149505,-1.8383460919826773,0.48968632449009303,-0.7396967109033771,-2.244962078350649,0.2613336512999543,-0.36765338589257174,-1.2195155797759647,-0.030612346972463438,0.08709011351758007,0.10667829133926521,-0.1049207211118605,0.18719457689622457,0.4575423342105282,-0.07735144153660183,0.1318959418908734,0.3425855022512823,0.001766574836469174,0.023777026922695194,-0.029867862324468475,0.0581944700411019,-0.06317501840372773,-0.28732353524057525,0.05697862640369052,-0.06468774344327873,-0.2789727357200761,0.04185716248300062,-0.04159982814174833,-0.20981168942854386,0.029786316161053667,-0.018508285502826707,-0.15844404155408495,0.01720728581380922,0.007571458826961267,-0.10656565842666532,0.0047878773734412,0.03488725157446846,-0.056617692435451984,-0.0036015487750541233,0.051873039112304266,-0.021670579269225443,-0.004918868951673094,0.05094942926216859,-0.013215877790049228,4.542948081931268E-4,0.0328010463271537,-0.029594983355032998,0.0077041086990334755,0.006080934725734982,-0.04988490522314044,0.012929882685921448,-0.011048564585010452,-0.06626958029164093
0.004820132802870672,-0.18603129879100017,-0.3051224612953043,2.1556787858561046E-10,-3.039373928341139E-10,-1.2452942882096296E-9,-0.05061780365904648,0.07083776344094395,0.2924197363040643,0.10878952377883049,-0.16966185300544112,-0.6309012094351187,0.2550582009303959,-0.3861604490206056,-1.4778729583013874,0.310545694095671,-0.3796318891993969,-1.783617151928447,0.17837745315767548,-0.10956080159098082,-1.0068759051513556,-0.004016930683648094,0.16066520357459788,0.0483721595005305,-0.06719921902276955,0.18134999879330185,0.4022272863647461,-0.05215563572150709,0.13962631482433996,0.3120551627658041,0.0034864269005601134,0.0679036598184298,-0.008418163658450384,0.044734130233285395,-0.026022121299411245,-0.25243675885384925,0.04484833151976394,-0.030693886068037593,-0.2538166356258419,0.034160060325200615,-0.00766003393920241,-0.19078672966532229,0.024946884755989607,0.019630066239952264,-0.13525597023526895,0.016684743813469183,0.04776151812462939,-0.08485167583213547,0.01052124614022317,0.06510865065207296,-0.04782853466715207,0.009190169730787087,0.05855618612288208,-0.04145640703640619,0.011709696255601254,0.02764668983266424,-0.0604170242532668,0.013245893421366228,-6.448333364710686E-4,-0.07353680508437226,0.014775158879259944,-0.009441393156037,-0.08345922688171177,0.017961059473344004,-0.004103440580175326,-0.10027380959245717
