t_s,spatial_mean_WSS_Pa,spatial_median_WSS_Pa,spatial_p95_WSS_Pa,spatial_max_WSS_Pa
0.0,7.3686802820851294e-09,2.7886195816569557e-09,2.9152145184612146e-08,1.0411507460660092e-07
0.05,0.6604870999742787,0.4377864288822315,1.4890664145789883,11.56236537525116
0.1,1.2282022445208427,1.0662031100928981,2.5461551211348885,11.50524908211249
0.15,3.4787296188814283,2.269327649483027,10.451785866517334,51.30291686761762
0.2,4.394162372838286,2.360320252240355,14.135034673432273,74.73151905254127
0.25,2.8903953080709397,1.3828994812010162,9.307200683134852,57.38933180899783
0.3,1.2129678159844783,0.9058181794006677,3.068667494047335,23.401569096641904
0.35,0.7732385117076765,0.6321649556640584,1.824857485654444,3.0466960745456246
0.4,0.6560843377917029,0.4994787221199526,1.768516481766299,5.525987194623846
0.45,0.3927932113137383,0.3096220924741428,0.9998972717853675,2.1625064924091544
0.5,0.5589629921193677,0.4322899996796751,1.3925092120911906,5.7660843024003965
0.55,0.5542028922870954,0.367590518630755,1.4294423751437817,9.035613391781629
0.6,0.4491801424731888,0.2638838478327564,1.1069719662234423,9.166966768027486
0.65,0.3829148413302382,0.2141143971667084,0.9690902861750357,8.666785264233962
0.7,0.33464870553661596,0.18700728091741498,0.8828104832669996,8.085399851815916
0.75,0.2914614254477022,0.16407141754766577,0.7887733259661835,7.474790527010749
0.8,0.25678767967830096,0.14594274684318856,0.727540578305168,6.88629146776318
0.85,0.23286590997809095,0.133076847050963,0.6659834698953261,6.370492857906309
0.9,0.21685637026270543,0.12559098035827634,0.6194462629562013,5.977402242301063
0.95,0.20966562775465034,0.12460732849881147,0.594430989940994,5.7568203068660235
1.0,0.21129441473076332,0.12955782811749805,0.5835446065774217,5.728054114785361
