% Model,Patient_2_Saccular(4).mph
% Version,COMSOL 6.4.0.429
% Date,"Aug 16 2026, 17:26"
% Dimension,3
% Nodes,6800
% Expressions,21
% Description,von Mises stress
% Length unit,m
% x,y,z,solid.mises (N/m^2) @ t=0,solid.mises (N/m^2) @ t=0.05,solid.mises (N/m^2) @ t=0.1,solid.mises (N/m^2) @ t=0.15,solid.mises (N/m^2) @ t=0.2,solid.mises (N/m^2) @ t=0.25,solid.mises (N/m^2) @ t=0.3,solid.mises (N/m^2) @ t=0.35,solid.mises (N/m^2) @ t=0.4,solid.mises (N/m^2) @ t=0.45,solid.mises (N/m^2) @ t=0.5,solid.mises (N/m^2) @ t=0.55,solid.mises (N/m^2) @ t=0.6,solid.mises (N/m^2) @ t=0.65,solid.mises (N/m^2) @ t=0.7,solid.mises (N/m^2) @ t=0.75,solid.mises (N/m^2) @ t=0.8,solid.mises (N/m^2) @ t=0.85,solid.mises (N/m^2) @ t=0.9,solid.mises (N/m^2) @ t=0.95,solid.mises (N/m^2) @ t=1
-0.02648337696935911,-0.21277404193220295,-0.20848476960376514,1.0902084055331118E-7,2865.7313195983097,1095.3291497719297,2672.082855802467,1725.6808584634898,579.484313806944,864.2482777606416,713.6043011344798,1497.2680050555075,152.97597855038032,298.0438298143732,122.43403285344496,110.66284039220052,67.88053373254522,34.12827875342518,29.0414617984408,34.72562165381031,37.75905585477913,40.14731781248018,43.44942881011682,50.738670239035415
-0.02598931470859654,-0.21390664273683782,-0.20846596113118285,1.2786359623009388E-7,2628.3598310110315,1062.2795630546077,2622.747526470002,1615.1399060922683,594.5568615089932,862.1594867165795,684.5674275169575,1408.7288414767618,160.32023163287695,296.25394224791637,114.66007887806897,89.78732069167057,54.779083427964395,29.99486896618548,22.94494929605223,28.292078162158266,32.86313149754537,36.581878053177974,40.46125875013818,47.42902194763122
-0.025421195317829937,-0.21256700957894226,-0.2089594171650402,1.1473299034466295E-7,3042.257758273077,1193.4851155801348,2920.203553216716,1793.9720983304917,596.5485416690656,941.4829904559539,771.1436334860614,1624.143537177827,164.65442735639456,321.1575118487485,126.54111962195019,113.01053409897123,72.91955619766605,36.97506452865002,30.82438664723291,37.80111650199981,41.738762274857244,45.358363615478375,49.04002829638663,56.347291388244294
-0.02639051387472577,-0.21118768653156997,-0.2086751793806291,9.45750524500641E-8,3089.37505083262,1152.9528856216011,2786.375900410272,1811.4595005993604,577.5224225321138,880.965448357306,752.024997094989,1606.6856055797634,150.2006299802079,310.4306986665115,134.674735960408,130.12375025122753,81.84026161579106,39.455765903763854,35.669863991927365,41.058567194277586,42.315721857677886,44.03518506221547,47.2255743761145,54.92936199593013
-0.024852648042199988,-0.21131887864100002,-0.209354638055,1.0787564226287295E-7,3335.0246400483134,1321.150232675079,3221.0680645977986,1919.523632680939,627.951716163926,1037.1001724026776,858.5117536945312,1803.993146379344,167.05854155522078,339.96479329547884,129.87840694305572,130.20752198500946,89.09549671762225,44.652096094834754,39.79718288734961,47.51821106677944,50.04188105101742,53.01359148426695,56.181957365557544,63.687742688402395
-0.027394504982061155,-0.21232119009333694,-0.20813632391680326,1.0000751329107484E-7,2956.7294263629096,1082.218929452624,2619.4068573181657,1789.6666033910824,548.0688614432806,824.3000310345903,710.4288753818464,1517.4195856512306,140.94127913626826,298.2383886789359,131.80315500151772,116.53604221629746,69.77422294006685,33.40152667294659,29.146960535621606,33.77036770204558,36.17224352886048,38.298196010831866,42.23619043881144,50.393096500850966
-0.028126175976385188,-0.21113220882532188,-0.2078419612735107,7.896801948678435E-8,3129.1800590506277,1096.1471098792204,2629.2567458262633,1884.235535674632,535.4997765874394,792.9015314121299,724.980313944067,1587.3225020852994,128.22395588527294,306.3560100984627,146.75562121727745,129.70010591552403,76.58152156156662,35.46136562037108,31.5785784519166,35.17291499898456,36.36999928489888,38.33117948481499,43.0188568287136,52.15731470982471
-0.027231736591690852,-0.21377338858858894,-0.20799093929929496,1.1755869236032138E-7,2636.3523879509526,1015.7756673895395,2479.1322089091677,1629.7676192608994,542.101841010157,797.6395702054343,656.5504802734632,1377.221053854415,142.61174362573092,281.83729233279297,116.49009958623706,93.87588595605142,55.62212138626193,28.762976501983943,24.054296745650998,28.770333271126578,32.204677796003985,34.574573503385366,38.02624245258482,45.13433102028878
-0.026564691382758243,-0.2153461600505074,-0.20788038457283203,1.4064836581079643E-7,2343.572597800035,981.7450171491427,2433.137801425218,1501.9001979008226,571.3175393291468,800.2424084107597,626.6289915493965,1273.5406770014374,151.93941016954332,279.8739743389471,107.49420415276298,72.11491276677926,42.871626837341644,26.740990701971388,20.66582904193635,23.49695797367632,27.403335334234228,30.236756456996,33.95096122723821,40.758417636525174
-0.028265007715528707,-0.21508052071382516,-0.20726292546295585,1.2362718629830646E-7,2302.393886856167,880.1131371645788,2145.6025026252696,1466.3453189790773,499.4682464835544,684.443127301347,567.4663083993775,1195.7001820743158,119.289857598759,244.31225984908622,102.64412642608268,77.35526743003085,43.63516433627697,24.06417360871815,21.383843393280838,25.40280388276801,28.474333023340506,29.568367697897884,31.970167179263466,37.96554176723888
-0.027146678427942005,-0.21690173750167197,-0.20719470191265482,1.4856441097375266E-7,2188.467530953522,912.6781262231503,2252.0781299421137,1435.836511917746,526.2214890976419,719.8235959270631,575.8696503684549,1188.7983046534277,136.53344359313354,266.1913933741785,104.18068430422913,63.32439939064065,36.70774877372914,27.00760172736813,21.768121199507608,21.856699822950265,24.365814132637443,25.715137954420005,28.711167253813468,35.09967808295551
-0.028858657720006602,-0.21285845036215825,-0.20738372494542587,9.387565221309449E-8,2876.197530176447,1022.3268499328744,2456.709728559149,1783.2558222943082,492.14978990734284,740.6274976199603,668.9932251750218,1462.1481869359511,118.41998027663122,284.1896277645629,131.50490534822137,107.4141667225332,61.75469705374758,29.586872148599813,26.090096957887372,29.86888295325417,32.23748375573434,34.11664916181399,38.3640896412477,46.738247213150125
-0.029786361674549913,-0.2147151144041859,-0.20664329990547106,1.0517623361361546E-7,2398.396534060713,881.6134392624421,2122.001213608976,1539.2941546140792,451.30317303583195,644.3837987961674,569.1307036589823,1230.693866217171,105.34649467384334,246.74808880738328,109.64072501798111,81.25364185716275,45.20506557915623,24.071716950826218,22.6590679575416,26.274478047070765,28.58962813117563,29.34023825972252,32.081449000118596,38.61134604371891
-0.0294984736674741,-0.21895703703145847,-0.20556856544595856,1.5382846378941793E-7,1808.6796692665505,712.6774654535416,1714.700295690399,1213.7845137464217,410.24021200550686,517.1300495111774,443.2587122194632,954.3788107016866,90.88025694858499,201.8048482760471,82.96767929868653,56.243251623467984,31.683018782193173,24.003647655954808,20.974196095270674,22.758136380277204,25.710076769681063,25.971773832285027,26.32955730679426,29.22379139917614
-0.028331507844214197,-0.22047350150841993,-0.2054351024680544,1.7853730336928693E-7,2026.0349568778754,808.4995522002744,1948.7082337658776,1367.573216634854,422.9769452007311,561.445276784937,495.1268598061848,1085.183449397829,101.78617637058156,232.26686983219923,92.1824893321461,56.34411021263678,31.969651674629564,28.334310112782305,24.092135155965583,23.047173023098374,24.8293926835381,24.63664819852334,25.217472168540866,28.690073683447746
-0.027738597613451738,-0.21860727814511874,-0.2063872050895348,1.640171870751968E-7,2101.5952397953074,860.2849171300692,2104.2112961298362,1403.1332620814424,477.03798998226085,639.5677637980818,532.9452052482613,1135.72119960213,119.36215463819941,250.71445775371626,98.6435218520784,58.24855037372036,33.27891325352822,28.136990185427916,23.821621666180096,22.853857466087735,24.369384448272257,24.25716582635352,25.77194550413185,30.87680396535009
-0.030220259157622928,-0.22081453114313246,-0.2045438167805244,1.6916538544971363E-7,1758.127168879153,678.0920416487489,1592.7720941034022,1188.2236888914883,358.3347070674973,442.46670872638214,411.2174691532648,924.9904378824493,76.35813576155061,188.3756815095111,77.90313703433416,51.56013468904482,28.15292962174503,23.765291654892707,19.804821772500983,20.99592317927519,24.643293976661834,25.952088066966482,26.627433302251347,28.654628734544957
-0.02886789172699998,-0.22235293953899998,-0.20439260229299994,1.9554081287215385E-7,2085.100690802069,802.6540849535849,1893.4417762221258,1411.7923778163026,372.35554889932365,503.63916266601757,484.78177128202424,1103.2405681185726,85.87106587216,224.30531790420625,90.13965343758167,54.14954398327458,28.459400366626745,27.588514213102805,22.3335478618403,20.085686616762914,22.543276777710787,24.238734874590467,26.368848887812682,30.07590249655099
-0.03101496740204548,-0.2221527184936784,-0.20361674502623833,1.7707796290733104E-7,1778.7855769559726,675.6623871181226,1559.0389720805035,1208.1893076084252,319.2422632785229,406.3206651695861,407.10285540247645,934.1139225379044,68.51671865095184,183.9882527745451,76.3242842518102,48.86098849073705,25.006317922773988,22.526941532769133,17.7325180840063,18.220098998273368,22.646595378008495,25.52440242261656,27.56412708867472,30.186388162917797
-0.031168240243675788,-0.21931572837511631,-0.20469465589215458,1.4159150647116723E-7,1691.6502415131429,649.5497871891527,1526.3945092526706,1139.6289993444655,353.8201232273104,435.56284878056306,397.83766502220976,884.8243791956886,74.52916861454662,181.04440853665406,76.70590027356711,52.85684982363864,29.073735811414373,22.160970216933038,20.187775684271962,23.231276615416416,26.70960869768058,27.174105729815476,27.09974802832671,28.8995110442027
-0.02951176763016493,-0.2166216762734951,-0.20631213750228353,1.2819926957519757E-7,2016.4183195074056,779.8134259520141,1886.7141135482482,1324.866778259545,436.42190027399556,584.1101042671038,494.1310739639551,1053.2752551283074,100.32473195247448,218.57700550667838,91.86570594655795,64.38762738369316,35.870355857516465,23.260848467836272,21.525776153313725,24.417853790434055,26.770869084238686,26.82166180339592,28.036866047477094,32.64267160040476
-0.03008284996817291,-0.21112833164127037,-0.2068368910367707,5.990804030065786E-8,3248.4887173602615,1132.1496363222432,2703.297246633789,2024.9536182212462,486.68811278150815,769.9295636768235,746.0861833101654,1655.7221306824488,114.86393381107631,324.1033474954667,159.0359076458577,123.80502911292037,71.8391390361159,31.877541327304684,27.5722224679899,29.99595665354717,32.28921176471024,35.831666798818084,42.463933607251526,53.0322298671091
-0.03225360839848948,-0.22043960865612608,-0.2037557434827602,1.4712368324085652E-7,1627.4355817943026,619.8296494976754,1431.6675967344754,1105.4479283128803,308.0230852710119,383.40727173130017,374.86275651468196,853.6563728961155,65.35573760495241,168.25665786659633,71.35183781471969,48.35677160798544,25.4486682055875,20.204453580788982,18.16655795915735,21.686964018066522,26.0430958786385,27.60741299891014,28.090547122478004,29.594095128400046
-0.03313079171926032,-0.2222096508327029,-0.20258620329087296,1.5651833715063055E-7,1580.0182064361204,605.01799801738,1381.165540228703,1083.9559542264108,272.8544047233226,355.5046787142721,366.73734743712026,835.5833635228582,62.59070642448376,162.11654351349978,68.63153547965838,44.5683466615889,21.999050624038716,18.066737657608154,14.992094791284272,17.854057884437005,23.159414807281966,26.475728589966042,28.426283182453687,30.481359033843518
-0.030959948717170966,-0.21768472398331445,-0.2053303236712889,1.2773023153218708E-7,1812.7543377747904,690.8238810977043,1642.7831089075194,1208.9812353781729,386.56769519379884,488.1751918597656,432.03663687057485,942.0197438243027,82.14428617337612,194.41850785134488,84.206895952811,58.86701588136058,32.654674929786054,21.77989927657678,21.301736590860624,25.121416528149418,27.886626317392324,27.556971203019724,27.52996080374005,30.378173799700583
-0.036750530363001924,-0.22090515270563998,-0.201086561317223,1.0524023463151055E-7,1343.6357478926464,533.3392570123516,1228.0166221662803,940.3003852588269,235.77373820586658,330.7242281340542,330.68637003502744,722.1418791004565,68.30730147620821,149.82379691300812,66.82419947857154,42.96100866335803,20.704451662538006,15.772426023639815,18.140701094119624,22.923059123730244,27.499003053540207,29.86677281320492,30.79900185729146,31.821768499828124
-0.03530370860215277,-0.22242954978979387,-0.20131943647116443,1.3821531333552579E-7,1390.7879342112228,541.6516851981004,1237.7273379600695,966.1525700342204,242.29225230883415,324.2699455857624,333.4073845195549,742.9967699815029,63.99917264273994,147.24652462737689,64.51212149669205,42.202031235467736,19.997750429714703,14.808140447298053,13.930193655497334,18.064109803327334,23.343046707597015,26.81101774299054,28.9419930328058,30.9406337657029
-0.03227372292267639,-0.21115328804934536,-0.2056319485826849,3.555546837868842E-8,3253.877337917385,1169.8077909600006,2785.281421711929,2099.35939972217,447.78083126046766,767.109730388162,759.9051230866444,1684.2808738419562,115.76485474367367,338.9720584007776,161.7527159080649,114.21998093772923,67.477602245649,30.82984297190528,26.966142665378555,28.710937506611327,31.722071989425512,36.114740778114204,43.29589066403249,54.09774368798728
-0.030997556356501737,-0.21329696247359026,-0.20624752396103016,7.551536035793405E-8,2796.8080067821525,991.9342479686994,2367.980673067325,1789.22644994889,432.603296861246,675.6822112234976,642.8791894097344,1428.3622380030447,100.20354813574501,279.46638094940596,130.85351555598524,96.35020349127619,54.289963901807276,26.756083347903473,24.801892458526883,27.952412680567416,30.27197791261968,32.2438835359845,36.75651721291929,45.080535902723796
-0.03329391550516283,-0.21323689067748938,-0.20498076630934287,5.03898632406022E-8,2809.24374992446,1027.0287629280094,2423.8106569890697,1845.5102049137686,383.4970368776185,657.9752894656452,650.7505770625638,1456.4121380518948,102.39872594160336,293.13890461013506,132.50739080177433,89.92223152368827,52.728916619650924,28.082946428948755,28.014665331887755,30.546324668536595,32.144833203650315,33.7422506720425,37.881939636563224,45.88591750027248
-0.03323544696379466,-0.2179645580117197,-0.204091711133326,1.1220652174986448E-7,1759.8456977170804,661.9699483542175,1536.0068665666945,1186.2548662490958,313.83829233372313,414.67217589142103,403.8427081899289,916.8855429551803,69.7867425518101,183.59928728107977,80.04050570381722,54.17363404495535,29.150401198079816,20.9975869088436,22.177187311888197,26.786843281170068,29.760361331788854,29.672566704387204,29.45621906102404,31.436527806520733
