t_s,native_mean_WSS_Pa,gradient_mean_WSS_Pa,native_p95_WSS_Pa,gradient_p95_WSS_Pa,native_max_WSS_Pa,gradient_max_WSS_Pa
0.0,2.330450125788758e-09,2.3285011609413673e-09,8.429114249085565e-09,8.427023461102117e-09,4.9913668016313186e-08,4.9912321420936177e-08
0.05,0.659264467690851,0.658550671433853,1.5897313062340153,1.5881175578583115,5.440219270293536,5.43923726992611
0.1,0.856529582868846,0.8554880737078644,1.5431386844212036,1.5425649297620665,5.497816374099308,5.497048467394366
0.15,2.1049069880022633,2.102427935417397,3.828898320984514,3.8305336624185964,23.369936733518806,23.368183606448127
0.2,2.5087136626178435,2.5059526872829454,5.043054686872241,5.044087051388861,33.31296387393146,33.31057965860145
0.25,1.7323914134615188,1.7309289862361446,4.001020397899919,4.015543120625681,25.953162949933805,25.950630851953495
0.3,0.875535597243874,0.8753000945639664,1.7304836854180383,1.7311514752181865,10.970741536396845,10.969277721290954
0.35,0.6846897738568801,0.6841632878749302,1.21892181635982,1.2168782839966732,2.0239942063286693,2.0245266351334332
0.4,0.6794824964474141,0.6788733719779163,1.1339395337906526,1.133116910721801,2.6219309306994067,2.621326969827177
0.45,0.44599870051725565,0.4457060091133925,0.930624807109384,0.9300341724900828,1.1647067659949901,1.1647067659949824
0.5,0.5160621813851534,0.5156068943285462,1.072744520195554,1.071821972347645,2.770938975745099,2.7703700464234706
0.55,0.5087446513499575,0.5083072650265472,1.0546883992681475,1.0543313355835087,4.310387261350328,4.309640226050502
0.6,0.42536051476693326,0.4250212492580741,0.9486713235525286,0.9477535982470955,4.370636178151049,4.369878356897681
0.65,0.36390483249023464,0.3636409358282557,0.8389272116644959,0.8378915183223629,4.134633840328812,4.133900071286296
0.7,0.31949652199579676,0.31928500980626734,0.7424165271024262,0.7418405199219382,3.8601355302934213,3.8594305964044047
0.75,0.28505813019774573,0.28488317049303863,0.6565841591554162,0.6545410837447434,3.57158465177307,3.5709109135909265
0.8,0.25770337170824076,0.2575585687667024,0.5774860505593729,0.5729597633379592,3.293248602741405,3.2926058543472094
0.85,0.23628635949191437,0.2361728234231114,0.5163975370516115,0.516253472568893,3.049153762039713,3.0485390037555775
0.9,0.22007738332205687,0.21998994084933635,0.4684668446957419,0.4680170265203302,2.8631030556539083,2.8625102625487964
0.95,0.20896731588484654,0.20889598938194934,0.43304758290607953,0.4332908635147739,2.758807030427772,2.758226968904485
1.0,0.2029650973592867,0.20289820340127962,0.41416268768082454,0.4144551249339449,2.741505236095353,2.7409268650474345
