% Model,Patient_2_Saccular(4).mph
% Version,COMSOL 6.4.0.429
% Date,"Aug 16 2026, 16:15"
% Dimension,3
% Nodes,6800
% Expressions,3
% Description,"Apparent_Viscosity, Carreau_Shear_Stress_Proxy, TAWSS_Carreau"
% Length unit,m
% x,y,z,spf.mu_app (Pa*s) @ t=0,spf.mu_app*spf.sr (Pa) @ t=0,timeavg(0[s];1[s];spf.mu_app*spf.sr) (Pa) @ t=0
-0.02648337696935911,-0.21277404193220295,-0.20848476960376514,0.055999999999999286,3.4932536789591966E-9,0.5243584554914181
-0.02598931470859654,-0.21390664273683782,-0.20846596113118285,0.055999999999999266,3.5298044277767656E-9,0.5340049201287989
-0.025421195317829937,-0.21256700957894226,-0.2089594171650402,0.05599999999999874,4.6166447649172976E-9,0.5979016015708255
-0.02639051387472577,-0.21118768653156997,-0.2086751793806291,0.055999999999998974,4.173822885994824E-9,0.5643820920488262
-0.024852648042199988,-0.21131887864100002,-0.209354638055,0.055999999999998114,5.650389094021486E-9,0.6583514322948414
-0.027394504982061155,-0.21232119009333694,-0.20813632391680326,0.05599999999999945,3.064980318144603E-9,0.47934430926086546
-0.028126175976385188,-0.21113220882532188,-0.2078419612735107,0.0559999999999995,2.8805370916540425E-9,0.4665029966598999
-0.027231736591690852,-0.21377338858858894,-0.20799093929929496,0.055999999999999515,2.841855582617929E-9,0.4865321097437496
-0.026564691382758243,-0.2153461600505074,-0.20788038457283203,0.05599999999999953,2.8317931574190056E-9,0.4883644278156687
-0.028265007715528707,-0.21508052071382516,-0.20726292546295585,0.05599999999999972,2.2051708102303775E-9,0.4368193812641746
-0.027146678427942005,-0.21690173750167197,-0.20719470191265482,0.05599999999999971,2.2354033187860023E-9,0.4380275279826151
-0.028858657720006602,-0.21285845036215825,-0.20738372494542587,0.0559999999999997,2.307233068849288E-9,0.43732523431057624
-0.029786361674549913,-0.2147151144041859,-0.20664329990547106,0.055999999999999814,1.78141409963234E-9,0.4107697755881259
-0.0294984736674741,-0.21895703703145847,-0.20556856544595856,0.055999999999999876,1.4678700119494596E-9,0.3756418199124037
-0.028331507844214197,-0.22047350150841993,-0.2054351024680544,0.05599999999999987,1.495564517709492E-9,0.35794242922814207
-0.027738597613451738,-0.21860727814511874,-0.2063872050895348,0.055999999999999814,1.8341733066406908E-9,0.3986405369948628
-0.030220259157622928,-0.22081453114313246,-0.2045438167805244,0.05599999999999989,1.3259085387338615E-9,0.3439159642004552
-0.02886789172699998,-0.22235293953899998,-0.20439260229299994,0.05599999999999989,1.3616677758522254E-9,0.3243136884105443
-0.03101496740204548,-0.2221527184936784,-0.20361674502623833,0.05599999999999992,1.1978874700409421E-9,0.3089883178532115
-0.031168240243675788,-0.21931572837511631,-0.20469465589215458,0.055999999999999904,1.3110668388421784E-9,0.3650126186393017
-0.02951176763016493,-0.2166216762734951,-0.20631213750228353,0.05599999999999983,1.7148092323887037E-9,0.40766833848689643
-0.03008284996817291,-0.21112833164127037,-0.2068368910367707,0.05599999999999975,2.067894293487803E-9,0.43062429825620746
-0.03225360839848948,-0.22043960865612608,-0.2037557434827602,0.05599999999999993,1.1309822820311068E-9,0.32845271335069964
-0.03313079171926032,-0.2222096508327029,-0.20258620329087296,0.05599999999999993,1.0706793095499363E-9,0.288363642433477
-0.030959948717170966,-0.21768472398331445,-0.2053303236712889,0.0559999999999999,1.3691834187594238E-9,0.3902664448193559
-0.036750530363001924,-0.22090515270563998,-0.201086561317223,0.055999999999999946,9.603897243803453E-10,0.2606131202274153
-0.03530370860215277,-0.22242954978979387,-0.20131943647116443,0.055999999999999946,9.905773140744077E-10,0.2557709043253755
-0.03227372292267639,-0.21115328804934536,-0.2056319485826849,0.055999999999999876,1.512066745057984E-9,0.4145241746674582
-0.030997556356501737,-0.21329696247359026,-0.20624752396103016,0.055999999999999835,1.6943220928605219E-9,0.4257019860212506
-0.03329391550516283,-0.21323689067748938,-0.20498076630934287,0.05599999999999992,1.2649160201167086E-9,0.41439260932748373
-0.03323544696379466,-0.2179645580117197,-0.204091711133326,0.055999999999999925,1.143086771702671E-9,0.36422679956444287
-0.03451823915405416,-0.22039140581117445,-0.2025876135470126,0.05599999999999994,1.0312714726914478E-9,0.30029478559850836
-0.031822772096548296,-0.21561981777030634,-0.20543313264567228,0.05599999999999989,1.3832863883068123E-9,0.41661252751291505
-0.034580124237993594,-0.21556211236039335,-0.2039102460396565,0.05599999999999993,1.0961520661342282E-9,0.3804367420719908
-0.03565423279568736,-0.21337033525754026,-0.20354308125610543,0.05599999999999993,1.0585382289618022E-9,0.3859454975140389
-0.03457212854008304,-0.21116821935832206,-0.2042700910550252,0.05599999999999992,1.1571001437201758E-9,0.3910061919809313
-0.03634231861959362,-0.21813024958046096,-0.20225541623555873,0.055999999999999946,9.817636501541239E-10,0.31412549864462375
-0.03892104905938731,-0.21676459952932767,-0.20087832034023378,0.055999999999999946,9.147440119197469E-10,0.2817420607443637
-0.03692117658408759,-0.21111315384885015,-0.2027442830499151,0.055999999999999946,9.957140116832862E-10,0.35884217484057107
-0.03927824294964131,-0.2141182326348193,-0.2009970310861365,0.055999999999999946,9.107977412144405E-10,0.2944367316100254
-0.03925548122921327,-0.2109119889253588,-0.20103480791284326,0.055999999999999946,9.121307670890887E-10,0.3155926602028964
-0.03718230912286199,-0.21530242095355842,-0.2023307389404125,0.055999999999999946,9.686712443499462E-10,0.34014612729489047
-0.037600851505042686,-0.21310864986208805,-0.20227159764434494,0.05599999999999995,9.57297112599529E-10,0.3320551209613464
-0.025373924891374387,-0.20983675205529206,-0.20910905835877958,0.055999999999998475,5.093296465002009E-9,0.6445785025579552
-0.027156803552389478,-0.20962880978380694,-0.20822562298556344,0.05599999999999916,3.767959347566594E-9,0.5381090106628101
-0.02588338830900575,-0.20829957793270848,-0.20861178529629726,0.05599999999999863,4.812501190698265E-9,0.644915256098531
-0.02906813927477285,-0.20929556861555615,-0.20720903017865727,0.05599999999999959,2.6883747881752854E-9,0.45390371184682404
-0.027433641399795598,-0.20794473959209356,-0.20775924525772788,0.05599999999999922,3.6368800608873777E-9,0.5557306599250665
-0.02860839913703986,-0.20764410407202127,-0.20708181595283365,0.05599999999999944,3.0856900686150507E-9,0.4856380807649589
-0.029946984998908157,-0.20731690023182453,-0.20629072616264243,0.05599999999999962,2.506104452472631E-9,0.44341488787127314
-0.029481131029262066,-0.20545857142463136,-0.20583350176715215,0.05599999999999954,2.8122900601396404E-9,0.4652914681498416
-0.028130911618939762,-0.20626272199812645,-0.20684816605065368,0.055999999999999335,3.3429203474107013E-9,0.5362937909394967
-0.026341047661522118,-0.20664230941506398,-0.2078787881758345,0.05599999999999878,4.5323584287201325E-9,0.6567305198979961
-0.03073896404365726,-0.20595309747736415,-0.20539906773920225,0.05599999999999971,2.2042779459723128E-9,0.4202899123024661
-0.03040614889466657,-0.20476251645784377,-0.20504997412532971,0.05599999999999965,2.453060381796638E-9,0.44780237644934917
-0.031608040608329946,-0.2049562598492694,-0.20452828988933458,0.055999999999999765,2.004744303417686E-9,0.41244957718086284
-0.03185066821880598,-0.20622878722052784,-0.204912046654528,0.05599999999999981,1.872285845082852E-9,0.403258060601989
-0.03139788139344227,-0.20702053363652917,-0.20542389611980816,0.05599999999999976,2.032544668312313E-9,0.40649332932793836
-0.03150996751677091,-0.20881887208464966,-0.2058106386378415,0.055999999999999814,1.866482575326076E-9,0.41121142274699446
-0.03066912687190796,-0.20374478590114453,-0.20440668898368963,0.05599999999999964,2.475429397632935E-9,0.4535541150474581
-0.031843329888520656,-0.20357918935160899,-0.20374502215051019,0.055999999999999765,1.986377864046292E-9,0.40138775183847747
-0.029440708813529278,-0.20404785947518309,-0.20515881644452802,0.0559999999999995,2.9144832801708333E-9,0.5087051532988859
-0.028117060711006257,-0.20423665592073326,-0.2058942390797282,0.05599999999999927,3.518024970897847E-9,0.5781255975892492
-0.02662218477400967,-0.2049849274599562,-0.20701010241267864,0.05599999999999883,4.4465243527341154E-9,0.6504189599042712
-0.032651322917763466,-0.20743811663726325,-0.20484817897962967,0.05599999999999985,1.5786961263390199E-9,0.3966761347990681
-0.03362802420122181,-0.2090864251153235,-0.20463600578776392,0.05599999999999989,1.3390501787289146E-9,0.3944680770939574
-0.03381085998789295,-0.2027146806191102,-0.20228498610819876,0.05599999999999987,1.422296512664636E-9,0.3719634508139857
-0.03417589211237941,-0.20396775706372547,-0.2027002326725633,0.05599999999999989,1.3231170090296005E-9,0.37879787991463054
-0.0329289986336674,-0.2031534274623502,-0.202976373009994,0.055999999999999835,1.6826031120378187E-9,0.38689926606337627
-0.032876673267073955,-0.2044631619727019,-0.2036390550841937,0.055999999999999835,1.6442508116679198E-9,0.38185059283102835
-0.03378376987011668,-0.20529761133121702,-0.20348810866651149,0.05599999999999987,1.4252385137549944E-9,0.3722452776219661
-0.034821728521978505,-0.20542824961956413,-0.20292808052822975,0.05599999999999992,1.1897082513775277E-9,0.3657539557586782
-0.03288162990390082,-0.20593167088651218,-0.2042373798370545,0.05599999999999985,1.5762886843660405E-9,0.394808908912259
-0.03506109648805073,-0.20298697735085314,-0.2017224293345272,0.05599999999999992,1.1942163044297003E-9,0.37108770688381615
-0.03591570804403352,-0.20458729559985758,-0.20192247367112243,0.05599999999999993,1.0993865923182336E-9,0.37422837579973783
-0.03438410995745301,-0.20690848360397718,-0.20368346097910545,0.055999999999999925,1.2537983152077044E-9,0.39176674407621614
-0.036373180704220465,-0.20681765954034637,-0.20239524196908112,0.05599999999999994,1.044417939118772E-9,0.37303222995120494
-0.03567809201682327,-0.2089812299311968,-0.20334395719165205,0.05599999999999993,1.069373999537891E-9,0.3834720203401472
-0.03657193282843234,-0.20336801239850014,-0.2009619841439508,0.05599999999999994,1.0388081448163952E-9,0.3602057828682175
-0.03292575411219285,-0.20190441990582658,-0.2022943517530678,0.055999999999999835,1.6468049267781404E-9,0.38231409732176425
-0.03561525414906284,-0.20184143114856407,-0.2007877167288885,0.05599999999999992,1.1406874906072464E-9,0.3635212239775251
-0.03417715396364886,-0.20149093519045516,-0.20140905044734245,0.05599999999999989,1.3585045550798427E-9,0.3716186612999028
-0.03187004131821548,-0.20230146485803546,-0.2030336131516962,0.055999999999999765,2.030332433078646E-9,0.41225850292676386
-0.03078885152188082,-0.2025678437978564,-0.20369175392264474,0.05599999999999964,2.4862942122695235E-9,0.4486234640328545
-0.030816724670100014,-0.201495046775,-0.20302782283500004,0.05599999999999965,2.4710841743966758E-9,0.45155342082214905
-0.028546073295451682,-0.2029793572188664,-0.20496380710871354,0.05599999999999929,3.441088367438302E-9,0.5665308490154767
-0.029682801411519754,-0.20284939763674398,-0.20436437418528527,0.055999999999999474,2.992223246435752E-9,0.49946989827479227
-0.02976172566300295,-0.2017358983824544,-0.20363963470954582,0.055999999999999474,2.984532858780865E-9,0.4982339323071662
-0.027453099746774248,-0.20287114022248426,-0.20540547298928089,0.055999999999999085,3.934577540555844E-9,0.6232794873133545
-0.026655732623923293,-0.2034835455981432,-0.2061671581468711,0.05599999999999878,4.524655689777831E-9,0.668388309882951
-0.02872015158318203,-0.20190696167169414,-0.20420445193163272,0.05599999999999929,3.4540343155789505E-9,0.5530962235298359
-0.027609595778663492,-0.20204750638747723,-0.20479632916919366,0.05599999999999907,3.944222101868238E-9,0.6120763108819713
-0.026443827552300007,-0.202179780676,-0.205442210379,0.055999999999998766,4.583553585074055E-9,0.6668887727115633
-0.03744011567697862,-0.20518218526252988,-0.20112368532930017,0.055999999999999946,9.765083765916265E-10,0.3541417385726422
-0.03782600640940474,-0.2091627738177633,-0.2019018112482703,0.055999999999999946,9.617775519493049E-10,0.35155100111842136
-0.0385327896085855,-0.20725011153941228,-0.20096593370572435,0.055999999999999946,9.336774438139433E-10,0.3442046005140167
-0.03182471547151362,-0.20116609769433308,-0.20237167390134167,0.055999999999999765,2.0291327870343166E-9,0.41218236432335575
-0.03274476611170424,-0.20074021032244835,-0.20167323759365188,0.055999999999999835,1.645079888623037E-9,0.39077224186398324
-0.03363513692946469,-0.20015420450827145,-0.20085242597852837,0.05599999999999988,1.3967210823681186E-9,0.3695857879493401
-0.03149507712917828,-0.22572431700200193,-0.20152628314384333,0.05599999999999993,1.0563767575531812E-9,0.23474213173353006
-0.02990996425328043,-0.22689241831060386,-0.20139275771918613,0.05599999999999993,1.0798469062714406E-9,0.2305225920634749
-0.029414090779703916,-0.2245600874338206,-0.20303396100822008,0.055999999999999925,1.2072825017012702E-9,0.2741972452584742
-0.03160965310900802,-0.22387418100771847,-0.20251645883274472,0.05599999999999993,1.0987213681359562E-9,0.2669536053811857
-0.030366358444853844,-0.22328071867132157,-0.2033526137273427,0.05599999999999991,1.206102824665317E-9,0.28416972978386895
-0.0336999249581914,-0.2243245197374459,-0.20128223241344945,0.055999999999999946,1.0133540047699021E-9,0.2406722296135504
-0.023877716631067393,-0.19594413577595907,-0.20084147284661608,0.05599999999999916,3.776641103850061E-9,0.546607276773567
-0.022373528809379976,-0.19588406593952815,-0.2011964470630067,0.05599999999999893,4.260877821551812E-9,0.5838149326972207
-0.020918481316800006,-0.19592812928499997,-0.201712510511,0.055999999999998586,4.881549430382724E-9,0.659048597910827
-0.030981638171858856,-0.2003745281602005,-0.20222504870933825,0.05599999999999968,2.3176738908630634E-9,0.4286281490294883
-0.03181697953620261,-0.2003377182268507,-0.201835696607366,0.05599999999999977,1.972070198661937E-9,0.4071850147592405
-0.03245221810615789,-0.1998644976244059,-0.20122297846684992,0.05599999999999982,1.7536040884908553E-9,0.3963408125494969
-0.030025974412406148,-0.20054232007712472,-0.20274110953374272,0.05599999999999956,2.725751380745584E-9,0.47952377864675816
-0.030271959703933704,-0.1995789564171451,-0.20195443165480004,0.0559999999999996,2.6204168485359765E-9,0.4510603955429601
-0.03140768125708739,-0.19966329678386668,-0.201543200241203,0.055999999999999724,2.1155584331876723E-9,0.41427855481427334
-0.03192663872491465,-0.19880907069599332,-0.20068064822438683,0.055999999999999814,1.8142836123477735E-9,0.40879886198627835
-0.029192627125236608,-0.19977878848558228,-0.2025327030530799,0.05599999999999944,3.0931308311587876E-9,0.5087771147943948
-0.029134966243095882,-0.19906880743434677,-0.20201072355453267,0.05599999999999945,3.061885927405755E-9,0.4897990129630241
-0.028321489384600013,-0.19913895014099997,-0.20237434225700002,0.055999999999999266,3.5282976275150786E-9,0.5350837680629129
-0.03080243812856889,-0.19897295088057898,-0.20127812018361096,0.0559999999999997,2.2426706639831837E-9,0.43488400960921664
-0.029681026712712534,-0.19848602546824656,-0.20133097601164276,0.05599999999999959,2.6437569617393264E-9,0.4692559834584178
-0.028540953208964777,-0.1983764352724146,-0.20166574738529672,0.055999999999999404,3.167363217131702E-9,0.49921485353909617
-0.02874722770951374,-0.1976080161192556,-0.2009196911950122,0.05599999999999955,2.755687406183286E-9,0.491108114444267
-0.029662396411704012,-0.2010595766753147,-0.2032405292434024,0.05599999999999945,3.0537473487071855E-9,0.5014080302006908
-0.02884032116785534,-0.2012017286035828,-0.20368213408024058,0.055999999999999266,3.523319027730297E-9,0.5487510502740146
-0.029027769407595518,-0.2004515051910262,-0.20308420148788425,0.055999999999999335,3.3512439672676655E-9,0.5290340008837296
-0.026853696557633706,-0.2013708638265964,-0.2046817073440177,0.05599999999999885,4.4044288049680686E-9,0.6549738290395133
-0.027615708106528993,-0.2011334047059309,-0.20416347979424807,0.05599999999999907,3.972417928781825E-9,0.6183146298697902
-0.026020672594098834,-0.2010989385693348,-0.20489071125064298,0.0559999999999986,4.871695301533585E-9,0.6716892454730997
-0.027809298385009704,-0.20041371990012907,-0.2035546431766606,0.0559999999999991,3.9292324368369885E-9,0.591466920940399
-0.028079530854491913,-0.19974274824815372,-0.20293676150221182,0.05599999999999922,3.647473974816059E-9,0.5666314133492135
-0.026511443843271074,-0.2002162286249993,-0.20396743887137414,0.055999999999998815,4.509745429251831E-9,0.6470995752749648
-0.02543093331629387,-0.20016255200592364,-0.20444729783624194,0.05599999999999845,5.121788773453495E-9,0.661171439376563
-0.02562732548596505,-0.19972138480546867,-0.2039680394233984,0.0559999999999986,4.8707427540754E-9,0.639983847100113
-0.027165487407453386,-0.19972331867655352,-0.20328754611512576,0.05599999999999904,4.024015978793614E-9,0.614796615875895
-0.02466436595880001,-0.19925618034599998,-0.20402485829300002,0.05599999999999832,5.346941219488776E-9,0.6505674342216713
-0.0271745726574315,-0.19913127841142117,-0.20280067716507263,0.05599999999999907,3.9471217312244895E-9,0.6041151674559667
-0.02591208800380055,-0.19916358396935555,-0.2033464198896527,0.05599999999999879,4.524767000619193E-9,0.6292811469815326
-0.023324094256952747,-0.22699835835562135,-0.20263368786371683,0.05599999999999987,1.4197637778398546E-9,0.27394479857614285
-0.022277936325932887,-0.22837615619347654,-0.2014719175727071,0.055999999999999876,1.4574743072413079E-9,0.26509985084532467
-0.02146120679740001,-0.22638281653899994,-0.20289071442199996,0.055999999999999835,1.6886569348112807E-9,0.3012290455281799
