x_mm,y_mm,z_mm,TAWSS_native_Pa,TAWSS_gradient_Pa,TAWSS_abs_diff_Pa,OSI_native,OSI_gradient,OSI_abs_diff,RRT_native_1_per_Pa,RRT_gradient_1_per_Pa,RRT_abs_diff_1_per_Pa
9.193898110331066,1.757732833549721,1665.4742932616457,0.6927245886741691,0.6902245918951061,0.002499996779062985,0.10498896379709483,0.10512240118986504,0.00013343739277021927,1.827259259619207,1.8344973069786807,0.007238047359473754
9.203824995887032,3.926195718160781,1662.5828841702016,0.6585679592102446,0.6574551682295823,0.0011127909806623038,0.14358043244194368,0.14361708790293487,3.665546099118622e-05,2.1301386277244956,2.1339635076489123,0.003824879924416713
8.83330246115959,4.914863187516724,1663.7816106000096,0.6529784510393805,0.6523092220378492,0.000669229001531213,0.15601484113455977,0.15604889524496085,3.405411040108275e-05,2.2260322374972206,2.228536631586427,0.002504394089206219
9.065619584767168,5.38808501604536,1661.7566087243613,0.6538987158709917,0.6531022082726844,0.0007965075983072945,0.15675608243367423,0.15679993663823527,4.385420456104461e-05,2.227699819972406,2.230701671887366,0.003001851914960163
9.065079772803909,3.1442535764478614,1664.2329655250776,0.6926329282629891,0.6903328794576978,0.0023000488052912216,0.12568396808744825,0.125806854335139,0.00012288624769074552,1.9285390702912644,1.9356000190558413,0.007060948764576969
9.7784499034861,1.3814511299259244,1664.0054632813335,0.705670854740205,0.7038174833996708,0.0018533713405342045,0.10367337543992833,0.10373408565755832,6.071021762998896e-05,1.7877820605624353,1.792764469074148,0.0049824085117127215
9.727286409253333,2.4723434057250318,1662.3170453997157,0.6809350385535632,0.6791878126757318,0.001747225877831382,0.13000587628201088,0.13006314514136336,5.7268859352477275e-05,1.9845840456575066,1.989997450708359,0.005413405050852527
9.630823127561545,5.709171353931671,1657.5976885732675,0.6596630007436105,0.6593952738904085,0.0002677268532019772,0.19907103677317117,0.19907553115809806,4.494384926889694e-06,2.5187431910239777,2.519803481373768,0.0010602903497902716
9.466444353275412,6.262318693441268,1657.9298686419595,0.6587567334799723,0.658324906215931,0.0004318272640413401,0.19854897269153648,0.19855147370173182,2.5010101953326647e-06,2.517840231819136,2.5195127087734357,0.0016724769542997286
9.606626322219416,6.581638890929886,1656.40955033,0.6813144840183499,0.680797032228521,0.0005174517898289821,0.1976624122480362,0.19766834067097588,5.9284229396716626e-06,2.427337911498355,2.4292304863408267,0.0018925748424716282
