t_s,native_mean_WSS_Pa,gradient_mean_WSS_Pa,native_p95_WSS_Pa,gradient_p95_WSS_Pa,native_max_WSS_Pa,gradient_max_WSS_Pa
0.0,8.847368157940294e-09,8.84466764063406e-09,4.7259037362422484e-08,4.7253891574855754e-08,3.4069772250421645e-07,3.406915779290437e-07
0.05,0.8958532001604077,0.8951955737217906,2.3725635753310788,2.3782770528098953,16.197702935222424,16.19552111778639
0.1,1.3093763787214034,1.3085186892636242,2.523228935478855,2.521705644689687,15.757916647243952,15.756482627031344
0.15,3.6129842838136277,3.6104375355637455,10.161611308931276,10.162059602038559,69.81344439731954,69.80777205518993
0.2,4.733815706248664,4.730502200053628,15.549262511321082,15.55077680129255,101.80232639115576,101.79307725254785
0.25,3.3517985684488316,3.3497099703213427,11.3395170681014,11.339442263238203,78.03647355736861,78.02785197227998
0.3,1.506133539503625,1.5054767135521725,4.023732432974338,4.021728012053409,31.98596139157307,31.9820819361325
0.35,0.8199814132357859,0.8197589658023687,1.7603746678962073,1.7598880831366832,2.4847081790539334,2.4844021600790462
0.4,0.7861702675457324,0.7857711423171764,1.4700121126157726,1.469543021802966,7.693903603851576,7.692928169047617
0.45,0.5583763634498876,0.5581796292270288,1.1105863593200551,1.1105556825209384,2.437602598275342,2.4373127489672775
0.5,0.668821313264184,0.6684596614865856,1.3692448740895524,1.3709311467673706,7.911216367533158,7.910353331702684
0.55,0.6970362534457346,0.6966147493108077,1.5753350101144576,1.5770989992095332,12.399383826298738,12.39800933332441
0.6,0.6334222348982775,0.6330438260358813,1.4854881560534163,1.4853736256755272,12.580007590529375,12.578599475798905
0.65,0.575111754352532,0.5747600788918042,1.3290042527354315,1.328692450484103,11.895772391356216,11.894435914161013
0.7,0.5234014412419288,0.523075911896574,1.2192918295396722,1.2178608041980066,11.099728381054428,11.098477447186657
0.75,0.47602811679084484,0.47573091142916996,1.1163330128406113,1.1170296923961487,10.262961353444807,10.261801818815545
0.8,0.4356483725210295,0.43537730089846066,1.0212613364994694,1.0206882449988666,9.45579820294553,9.45472777993074
0.85,0.4042345089052001,0.4039871829339721,0.9383925954844995,0.9392148180055128,8.747715343947151,8.746723615178585
0.9,0.37999695641601744,0.37977121647360174,0.916838063974799,0.9167059085083555,8.20767517052361,8.206743824613394
0.95,0.36053661349258687,0.36032888421707415,0.9023204885275201,0.904077534355423,7.904362258102223,7.903465142507499
1.0,0.348907306610583,0.3487083907392788,0.8945340135553379,0.8944350774658967,7.906678143370949,7.905781511484413
