% Model,Patient_1_Carreau_MR_Final(3.mph
% Version,COMSOL 6.4.0.429
% Date,"Aug 20 2026, 09:06"
% Dimension,3
% Nodes,8191
% Expressions,21
% Description,Von_Mises
% Length unit,m
% x,y,z,solid.mises (Pa) @ t=0,solid.mises (Pa) @ t=0.05,solid.mises (Pa) @ t=0.1,solid.mises (Pa) @ t=0.15,solid.mises (Pa) @ t=0.2,solid.mises (Pa) @ t=0.25,solid.mises (Pa) @ t=0.3,solid.mises (Pa) @ t=0.35,solid.mises (Pa) @ t=0.4,solid.mises (Pa) @ t=0.45,solid.mises (Pa) @ t=0.5,solid.mises (Pa) @ t=0.55,solid.mises (Pa) @ t=0.6,solid.mises (Pa) @ t=0.65,solid.mises (Pa) @ t=0.7,solid.mises (Pa) @ t=0.75,solid.mises (Pa) @ t=0.8,solid.mises (Pa) @ t=0.85,solid.mises (Pa) @ t=0.9,solid.mises (Pa) @ t=0.95,solid.mises (Pa) @ t=1
0.005409422893477863,-0.18917979072242352,-0.30517829427754767,1.2223144360308918E-7,2160.911708787143,493.17981600369916,1214.665290838562,250.3973838515515,955.850516077421,849.6524500584588,410.29736297972295,1067.4605029313886,200.56947590212997,142.44641958412,26.751740306919405,42.21646397614328,46.298638774237105,46.41025923662597,43.34876416472688,38.90134278404175,34.548215839833624,29.910932138853696,23.817744093515916,15.690229097172244
0.005480602880201078,-0.18892514670628802,-0.30634282337706675,1.238898435844267E-7,2321.2980292813827,456.7622969763218,1135.2658489935309,249.10972768749093,906.6547662427424,789.7521937390326,383.64466912400894,1149.8123672397787,191.43983331330045,130.7988118215836,26.92214713143,43.323501816215106,47.21329114113635,47.21156213080628,44.108494590790905,39.55220268397539,35.0267189701857,30.402001863961292,24.559431027063283,16.791328067995753
0.005093975580264037,-0.18800697566952987,-0.30560836836638533,1.34440248422395E-7,2910.5150808075327,624.561417357276,1540.3162952027653,352.77950810638765,1185.1250598602905,1064.4631201274346,532.9501072181573,1475.7536543604388,223.33910633018672,180.68992060050437,32.895779046571356,46.78751055569474,52.93226525137688,55.24638682439057,53.752454386855085,49.535631186253006,44.342117933724126,38.30426568803133,30.38855043494522,19.962762183120685
0.0052907839520309466,-0.1879944625373979,-0.306880346411966,1.2833548167082295E-7,2983.9147439731064,585.8420799923096,1437.0889329959339,334.2995226566048,1101.0164761607073,984.7581284892394,499.45674843775987,1514.5291346112042,207.60656020631896,167.17082240165598,33.0494202412376,46.80263271649307,52.613613653251086,54.678470957111024,53.11459484045711,48.84032921437932,43.52157906009978,37.59049335736676,30.154504407761838,20.42874952491671
0.005552115866034987,-0.188702396429675,-0.3073603736096788,1.1474332915356399E-7,2522.1841408389832,443.83490544885484,1019.4972836603657,255.2173934208054,801.4016927321833,697.4751006658429,349.0941970423242,1253.9008268684768,174.58526002291566,117.41956006293356,29.69567669115771,42.54774484940035,45.84111967581344,45.610259628644705,42.6146301105528,38.22209977366301,33.73169245519926,29.2868962958544,23.96923803727017,17.052485168262894
0.005426707596832784,-0.18807206754959965,-0.30763029475169706,1.1652493537558118E-7,2796.49279342701,521.0941693948635,1253.5687228337897,294.3045929761828,968.717732301702,856.0066710826688,434.07791589363904,1412.6227284846548,189.02698312286438,144.86612894396694,32.35291983801337,45.279085830638664,50.03784593364661,51.26983178344341,49.31726104111043,45.118527638955086,40.139826570438856,34.8014490218947,28.28211190193622,19.7899794869644
0.005625947919960012,-0.188502535076,-0.308269503608,1.0583283290635295E-7,2579.0354196733647,449.2191367455574,958.3792974027905,251.1993314397098,726.7842327020653,643.7657157675404,334.71075605240355,1291.583890625461,158.08861448589212,111.29488913924956,32.109059896584,41.85531088783563,44.90134127710799,44.7189860756781,41.99984733021127,37.835808138243294,33.36288952395669,28.93788180607783,23.852644964759513,17.386876691073898
0.005311654674411447,-0.18748741896100904,-0.30752873538956466,1.219325886410176E-7,2991.0161802558778,586.591498272233,1452.3173730659046,322.1082173947277,1118.689268416271,996.3070042018059,503.85619144857463,1524.5664710805095,204.40131501848285,169.1361217702839,34.75836136649004,46.60100481898149,52.596933056612876,55.11978157494152,54.115072155218094,50.175410341422605,44.925476503936444,38.955710783194945,31.48861074700039,21.690962118132617
0.005482332040193325,-0.18770993543836512,-0.3083492813303796,1.1167614425589401E-7,2732.9404022822887,524.1132485251827,1265.2703630639605,280.1556164212543,973.467795207221,863.4925287570345,438.05287419060215,1391.6239119899035,182.9398547054344,146.82398025171162,33.590810003884734,44.54076477725108,49.571927244179285,51.292444480636284,49.87351567136317,45.980996743275476,41.03797324798452,35.636297083360994,29.097800533034018,20.584017129314212
0.004820132802870672,-0.18603129879100017,-0.3051224612953043,1.324627304859601E-7,3329.317421007096,740.7413281028797,1868.5216830072732,404.09898058259233,1403.7738220247754,1283.80555829624,645.2046441142604,1710.5859651345875,237.60981632345815,220.00665860402344,40.40994355377705,46.55850053815791,54.837011425397975,60.047579101925464,61.17285243986968,58.225866655176304,52.97065013800498,45.834407779501625,36.067310419370166,23.222095073209854
0.004910137539605913,-0.1868328856239464,-0.30556436380197904,1.4088045254092302E-7,3400.5120639602524,741.3481591193803,1856.1022316882088,414.47470419472137,1392.3512835855488,1273.4769060450467,644.7068579275698,1747.7915114748296,240.1587706884361,218.55980371789852,39.62387654101045,48.43686510342957,56.788283382716614,61.56586700109816,61.985722324783204,58.39005296199607,52.70452999666175,45.454703427522745,35.79816773654792,23.105976686437856
0.005105818936553986,-0.1869935140687441,-0.30661566139802954,1.3232910191782194E-7,3293.5938444263347,680.8423772130358,1705.9995142166954,374.71041345219425,1294.4577228989074,1170.9102247260314,594.643463853443,1689.2451405567408,224.51384158680756,199.98451405057253,37.42019461813679,48.23118110298119,55.76719522467475,59.731285908377394,59.62304299325463,55.82557274785275,50.19956815213953,43.39594460525312,34.59522659003601,22.99826725856746
0.00526874100422636,-0.18675684514984053,-0.3075555624084886,1.2402577034904599E-7,2977.726392067266,621.600788367818,1606.1530224985759,318.51110759523465,1255.9288639983854,1113.671010009656,553.4064686232125,1529.4650734415425,218.3217690356731,187.98132137959666,36.21305526012806,46.91043462519915,53.9885624570334,57.68692036059516,57.62115247122411,54.087057885453454,48.84607193492647,42.54923335085101,34.41655112526023,23.557257987858016
0.005025890229992885,-0.18604171396396021,-0.30621951722215723,1.349044343333769E-7,3147.522766202774,698.3558651365269,1813.0363655042092,354.28169406233206,1398.6925761127548,1258.2350595897678,624.4627600162992,1620.773689997386,235.9348669982077,213.49429630131067,39.03647859362141,47.0816936067869,55.22972049313773,60.1220887429831,60.9932399074159,57.910465034639735,52.690826039304454,45.84164159640198,36.549130464239916,24.11566563228563
0.005409327218801013,-0.18691991353605492,-0.30828413569788393,1.1400206953141043E-7,2804.233203212368,573.4836690908962,1469.3755096463683,287.3283592636099,1143.2918083167567,1013.0434511756645,506.29601054908227,1442.6453618444293,198.9217745768939,171.18731479502722,35.05028840256854,45.42110250051269,51.82452683592816,55.0119732917159,54.71976758473372,51.22453915009468,46.12780588691778,40.16125608207192,32.675590323773555,22.758150325060228
0.005404756375630014,-0.186038671188,-0.308139196697,1.1630569223503254E-7,2609.501795508206,582.9357916839563,1581.5276071013159,255.30978919894224,1267.2891554653372,1108.8495480124327,537.7164410221425,1351.8630305201764,212.49479916569825,185.1475958090779,35.473689957472665,44.78924691222966,51.966491666643925,56.12280076811727,56.72699218450515,53.77639185333778,48.96052518615469,42.95875211434958,35.07785558929394,24.36509648128818
0.005217401626687868,-0.18604291065645107,-0.3072043160483171,1.2694519384303587E-7,2896.8388281335306,636.5217190228715,1697.4356614446515,300.14380024796895,1341.9122117935224,1187.1276605230057,581.8169960372437,1493.5046582316918,225.2780782758047,199.36915463014338,37.168265977037954,46.12974981791882,53.700163704254045,58.14415704113693,58.87562213062744,55.90701398729174,50.958735634535635,44.58031730950018,36.00379085243784,24.410450816899537
0.007260626268944103,-0.19312626240061734,-0.3051086441956322,1.1137092341746635E-7,1157.966424163467,273.5515685362548,723.3477068950727,350.5805135012209,344.8851386625375,410.4214529058002,246.9031734825517,635.414299386171,90.74687050535967,73.79687977169753,3.418050792914569,28.62774082659889,32.86938738435136,32.48442869158938,28.739012458917117,23.888889988470265,19.12390442615699,14.603972948393706,9.78373800324149,4.154898543849097
0.007208065198155684,-0.19286894728721674,-0.3060605548377304,1.0620823328677476E-7,1147.323806306302,143.64204209918822,504.0202905670214,265.4423658506431,258.56670902897633,280.0537850099703,184.93774490125654,606.5333083874422,69.33831306238221,45.477651367710806,6.449104248083084,27.974080838205733,30.920548870342575,30.00291266490653,26.31469618286753,21.88850079630298,17.675896177615122,13.775571359694721,9.685455954839652,4.950942838453922
