% Model,Patient_3_Carreau_Final.mph
% Version,COMSOL 6.4.0.429
% Date,"Aug 21 2026, 22:59"
% Dimension,3
% Nodes,3203
% Expressions,21
% Description,von Mises stress
% Length unit,mm
% x,y,z,solid.mises (N/m^2) @ t=0,solid.mises (N/m^2) @ t=0.05,solid.mises (N/m^2) @ t=0.1,solid.mises (N/m^2) @ t=0.15,solid.mises (N/m^2) @ t=0.2,solid.mises (N/m^2) @ t=0.25,solid.mises (N/m^2) @ t=0.3,solid.mises (N/m^2) @ t=0.35,solid.mises (N/m^2) @ t=0.4,solid.mises (N/m^2) @ t=0.45,solid.mises (N/m^2) @ t=0.5,solid.mises (N/m^2) @ t=0.55,solid.mises (N/m^2) @ t=0.6,solid.mises (N/m^2) @ t=0.65,solid.mises (N/m^2) @ t=0.7,solid.mises (N/m^2) @ t=0.75,solid.mises (N/m^2) @ t=0.8,solid.mises (N/m^2) @ t=0.85,solid.mises (N/m^2) @ t=0.9,solid.mises (N/m^2) @ t=0.95,solid.mises (N/m^2) @ t=1
9.193898110331066,1.7577328335497213,1665.4742932616457,8.03130926979253E-6,3425.625829383299,2272.58306610598,2522.189427986251,1067.9064636221954,1405.267319905194,1622.1731749201863,1143.8941040482107,1694.4061135007892,163.57068479505892,388.2261596612458,121.44029223757789,59.45471100306736,42.39839022260777,26.616125932026648,15.594110029170139,10.919861526606466,8.5756809484291,7.905102323684233,16.890652249079018,24.161803832284004
9.203824995887032,3.9261957181607814,1662.5828841702016,6.315472901055811E-6,3961.732561607707,2327.022007547147,2598.956384922278,1076.3880740489046,1388.7450844243933,1641.5931689242657,1214.9186693312681,1944.8838610480307,150.0897568448835,394.9948995384941,114.22575728124045,47.6088580207015,36.26606802641132,24.0960413483789,17.014094254928267,15.760431123393625,13.435541617165262,6.81085969782518,9.441102841962831,18.05010196190899
8.83330246115959,4.914863187516724,1663.7816106000096,6.6318945193222055E-6,3652.115457684545,2111.83301588854,2338.6793736669897,1041.0781512442843,1347.0253428578742,1512.569692447171,1130.368654391077,1809.6804118872312,132.25422071403443,351.5262579949997,101.82488811339822,50.7921011991051,39.3379715273153,27.275825988151567,20.176653869036038,18.208475116648955,15.520970691666383,9.147004408870188,7.797174395937947,15.3842175981477
9.065619584767168,5.38808501604536,1661.7566087243613,5.6756405488384445E-6,4095.480677360305,2293.4667739132456,2568.333677142084,1078.593302798486,1363.8469661051656,1615.0282842772597,1227.3839289196237,2014.7491360892582,144.3644951634359,384.10115342532663,106.554981456162,43.583613293410686,34.2405570622401,24.476631397622956,19.487398822227117,18.87652062688689,16.502696226341502,9.362252916784547,6.659705849127797,15.053618893643327
9.065079772803907,3.1442535764478614,1664.2329655250776,7.217154983440792E-6,3685.681709653291,2248.719206730783,2476.8413482326696,1049.1578115615744,1425.6167448451865,1610.223117214362,1168.1228127181462,1823.2857149668835,147.72749064209574,378.56514734909575,112.99423764640906,56.854596547460005,42.071844844387265,26.933416815243923,16.877018596339386,13.411256233806215,10.669060049880157,5.836350764435126,12.13221528391261,20.142942129755237
9.778449903486099,1.3814511299259244,1664.0054632813335,7.440484727750153E-6,3668.9888244686954,2364.3072831453774,2639.9879748866974,1053.214773025874,1388.6876405578817,1667.3025281378398,1180.5854534403695,1790.6450204760458,168.15188743754732,411.4587323723728,125.21615564100169,49.96628872016817,35.52439124768706,20.904533074588734,10.179954973940909,6.619848137743403,5.362858100321336,5.838510043490724,16.863051972777182,24.56229540981666
9.727286409253333,2.4723434057250313,1662.3170453997157,6.424855232701385E-6,4167.375111927225,2469.8915489714764,2743.775218309958,1058.2111541513175,1466.1430137268983,1747.7983551750347,1272.9060034930799,2033.2751723629951,167.78733263675562,425.41423930247294,123.0892575482797,45.99385085217855,34.34430764664471,21.332903542459345,13.000645840248666,11.803527884282287,9.977992224054722,4.2459960104498435,12.209731706087007,20.985414959523236
9.630823127561543,5.709171353931671,1657.5976885732675,3.6813762405892095E-6,5553.7683114086285,2879.2181109624557,3167.567049468473,1015.6507836424755,1731.3691210784023,2077.6476548655587,1583.1009116513967,2711.8451109951416,173.82123488620437,483.92541503651546,120.22739205698618,31.396695404607094,27.366422474942475,24.842641280728788,26.19375361272581,27.743508602558727,24.767692538996805,14.980867969319615,3.152872832941463,13.107484657514442
9.466444353275412,6.262318693441268,1657.9298686419595,3.832582062501428E-6,5358.111849446387,2792.0204978850466,3101.064647255658,1050.422408763086,1628.3984696906512,1994.1373874806866,1536.9002909208227,2618.243048314325,159.70469891268806,468.9010446038529,117.67483997854815,30.682472055024814,26.22150860738728,23.6652220426184,25.248555711935705,27.040432785204143,24.311979233234908,14.907760888961414,3.593027782249422,12.937653159574333
9.606626322219416,6.581638890929886,1656.40955033,3.0296806236392296E-6,5706.574343399498,2897.841931539465,3185.124020324046,974.3833816090157,1737.3741507467903,2095.1864351991435,1614.0926967489306,2786.0138603829582,159.25609167556698,485.64420080357246,117.26762663816851,27.606215732699468,25.669134811934647,25.472166044772436,28.177808039662892,29.965076423015724,26.839584824012178,16.80021486868008,2.612070003175662,11.688322140554995
