% Model,Patient_4_Carreau_Main_Final.mph
% Version,COMSOL 6.4.0.429
% Date,"Aug 22 2026, 00:05"
% Dimension,3
% Nodes,4055
% Expressions,21
% Description,von Mises stress
% Length unit,mm
% x,y,z,solid.mises (N/m^2) @ t=0,solid.mises (N/m^2) @ t=0.05,solid.mises (N/m^2) @ t=0.1,solid.mises (N/m^2) @ t=0.15,solid.mises (N/m^2) @ t=0.2,solid.mises (N/m^2) @ t=0.25,solid.mises (N/m^2) @ t=0.3,solid.mises (N/m^2) @ t=0.35,solid.mises (N/m^2) @ t=0.4,solid.mises (N/m^2) @ t=0.45,solid.mises (N/m^2) @ t=0.5,solid.mises (N/m^2) @ t=0.55,solid.mises (N/m^2) @ t=0.6,solid.mises (N/m^2) @ t=0.65,solid.mises (N/m^2) @ t=0.7,solid.mises (N/m^2) @ t=0.75,solid.mises (N/m^2) @ t=0.8,solid.mises (N/m^2) @ t=0.85,solid.mises (N/m^2) @ t=0.9,solid.mises (N/m^2) @ t=0.95,solid.mises (N/m^2) @ t=1
-21.609682720884937,177.84178399631455,-239.2833522556361,7.432553489008816E-7,1523.6503794180205,458.0561265409791,617.779055993955,580.9678231667103,401.9953614548268,228.65970919578777,67.12144138762878,612.3170600723513,198.2329726301918,52.03539612896731,54.13572051112719,68.07948291741015,59.482722061271986,43.49805919188837,26.269928509719847,12.179469493984225,8.469213246357516,12.803648016862052,15.405870034765766,16.33133885971182
-21.13202155330008,176.608153916,-238.56887728399994,8.077035094404427E-7,1486.7823016254335,662.289689358037,826.7242084555758,574.9036550825082,295.40093733601213,324.2935977639536,101.27205627012276,599.0881418200375,180.3574670527848,46.083860685556374,60.04863827340613,82.12533540536985,70.46362153285027,50.89841590554687,30.196126842936046,12.77541067355747,7.281763272007281,13.192966973965452,16.570959247910533,18.303431534277504
-21.22410305611573,178.14527707655492,-238.20609415284306,8.831907469223857E-7,1522.8381137743602,480.54128584880164,628.9205999264389,552.8646786301888,407.7610956082699,248.06914581016247,51.43359940940246,618.2986153410731,180.59259364248828,56.82466879976661,48.7181100785371,62.38189943848653,54.42206640937015,39.945736742787965,24.094325315014334,11.225639355851087,8.998706189543094,13.2638368795379,15.547153661738284,16.476434223864445
-21.75598619573492,176.9006196658584,-240.0143550775405,6.476500859049414E-7,1490.7429593374889,530.0350667829746,702.4375073517944,601.6207542175262,324.35373136108547,227.95413012806196,56.301184285694376,591.0999055538337,202.12708634603658,48.834606645183136,60.55232283299204,77.69058761033209,67.69961093450057,49.3635715783657,29.697321369025854,13.160639597243138,7.217831644255345,12.421684112173564,15.715328120966063,17.04621957807019
-20.74426481453768,181.90762238929457,-237.6265963407071,1.3314574760595614E-6,1816.3124698688778,161.99746809370984,264.3485674198863,448.061024114268,615.4005691896081,411.25962699439253,253.53578608555705,806.4442120833402,209.20492301818814,76.61720910224838,58.441065716466866,45.80874032734194,35.98624964645044,26.59613846843569,18.32078473758986,12.730363217728508,10.321530248412367,9.954266759994434,9.881202233747842,9.618565827783652
-20.770843410919767,180.8637167134351,-237.15054697684212,1.3571916961309672E-6,1762.1954823670412,237.6312368006245,361.9329024871531,484.86088125638224,553.5414926703263,327.66023863609865,175.34071077521511,764.9868399497653,192.98800676641284,79.07771469961514,53.272282859914526,43.82831872308163,36.82381579699021,28.223634126545893,18.927857408556623,11.958464009936804,9.994225010742467,11.149889670599125,11.947759115168603,12.196757734994776
-20.297674251700116,182.00076181600002,-236.51353586099992,1.4502010879604713E-6,1771.9404724866815,179.006318771502,297.4484668893305,414.48267902550714,542.1917209320758,371.7121369022907,237.34388356332363,801.1160405946189,196.86183856028677,81.42225984556983,60.34333566282731,46.19617658484474,35.94799652362179,26.939614153229073,18.757703155960964,12.536084642511918,9.402710020539997,9.027061378697555,9.255910347693174,9.389504477370101
-20.310178003595606,182.89131731475294,-237.23992031190585,1.2889824993946403E-6,1877.710569453971,218.66645772683833,302.53171689495537,388.94804721075826,610.6501262426974,465.7406011907019,311.2409476928425,859.5733709851995,217.50407750126615,75.46110426951556,61.5460199869486,47.76164514288838,35.3108714523536,25.429357665826515,18.00479937689009,13.063585989303075,10.038749462470737,8.457057194450893,7.697217757362589,7.289615873373087
-21.307852209427914,181.07136013392721,-238.63301423743107,1.1985542053536137E-6,1866.8593987513486,150.03148963265525,279.46102930985927,539.1828616800598,660.7297979112935,398.1504317145063,235.78846902207235,803.9846109804943,217.74297292175203,70.73995278520216,53.532150174302174,44.70199428508598,36.85966823463773,27.26382933741647,18.071863373416527,12.403659459987383,11.259137368406641,11.928244892383884,12.07289193302346,11.572801979946107
-21.104002250452016,179.55060677776243,-237.73558707809576,9.66243272510715E-7,1679.5547922566568,338.95576141586423,473.44224064184056,523.9441782298783,499.3546669849354,270.20827375845676,111.33738314922994,704.4408327758089,187.2364515758928,69.45134512857346,47.6654935221867,48.9824180253324,43.010418111477584,32.54296126244857,20.57676739489411,11.351005833790603,9.898866478630929,12.516101366832567,13.921996165583636,14.396925262726024
