t_s,spatial_mean_VM_Pa,spatial_median_VM_Pa,spatial_p95_VM_Pa,spatial_max_VM_Pa
0.0,1.2465441176041055e-06,2.1884981342607109e-07,5.2797446229620735e-06,2.594084698155148e-05
0.05,2292.7944286509032,1833.343918315981,5336.597725353215,9619.587708805086
0.1,2829.6355579214774,1854.3771251202108,9023.140777246845,14996.755236453362
0.15,3546.754660881702,2488.4711484470317,10552.417858870238,17285.97126311597
0.2,679.2534369193785,607.409573006351,1330.1216545186082,3264.384897152389
0.25,2827.790256066962,1885.1150997650716,8891.61764254652,14806.963921940587
0.3,2718.4123608114432,1864.6995070839296,8179.839482486515,13673.724868663088
0.35,1372.2666572308224,972.1257458436822,3954.1864510321157,6649.857721428566
0.4,1438.0033584699643,1157.0724874986429,3347.4587974956526,5463.155480144264
0.45,573.4425384946909,363.32704186068815,1915.8064388921673,3114.7316277264263
0.5,571.0966229283109,371.678256324592,1830.8166208361354,2984.0116304305225
0.55,148.83398129537838,99.47669258940068,491.2844673373627,778.7396735181577
0.6,43.966069294170815,39.372478221151376,99.5167993534159,163.28425835478666
0.65,49.02864213303375,43.794507117122485,104.17566744244381,162.9764917346867
0.7,54.915368246822084,47.066158301332905,123.09588031525514,200.9784324393994
0.75,56.71805393527033,47.106672476252,133.78838083317623,226.96224016730844
0.8,53.395354967103685,43.38602589374897,128.3341633031165,221.76329297720812
0.85,44.5880242130112,36.018336307001086,107.19983435360186,184.9015228689831
0.9,30.726143054344536,25.845602304496072,70.80840160048365,118.0746628633937
0.95,15.019443602258383,14.026988936116744,29.000667133340574,55.36165685155074
1.0,22.27827124959517,16.25555878413293,67.00486949643873,101.30290630700463
