t_s,spatial_mean_WSS_Pa,spatial_median_WSS_Pa,spatial_p95_WSS_Pa,spatial_max_WSS_Pa,spatial_mean_mu_app_Pa_s,spatial_median_mu_app_Pa_s
0.0,8.84466764063406e-09,1.3575165352425453e-09,4.7253891574855754e-08,3.406915779290437e-07,0.05599999999996986,0.0559999999999998
0.05,0.8951955737217906,0.6302352997590291,2.3782770528098953,16.19552111778639,0.004469224354467118,0.0044818358931914
0.1,1.3085186892636242,1.1051067615342651,2.521705644689687,15.756482627031344,0.004186753398966434,0.00415280130835
0.15,3.6104375355637455,2.4391935162173892,10.162059602038559,69.80777205518993,0.003893361909192269,0.0038769072769254
0.2,4.730502200053628,3.0511279922735355,15.55077680129255,101.79307725254785,0.003916243037063167,0.0038218925541436
0.25,3.3497099703213427,1.797952322252548,11.339442263238203,78.02785197227998,0.00397676401327937,0.0039626895375468
0.3,1.5054767135521725,1.0994501694173142,4.021728012053409,31.9820819361325,0.004294058109377467,0.0041474349502317
0.35,0.8197589658023687,0.7588377253181874,1.7598880831366832,2.4844021600790462,0.0046161717917238484,0.004373397885367
0.4,0.7857711423171764,0.7161630035934353,1.469543021802966,7.692928169047617,0.004532262239885486,0.0043960218032579
0.45,0.5581796292270288,0.5183815194113754,1.1105556825209384,2.4373127489672775,0.004875084302808942,0.0046533744980603
0.5,0.6684596614865856,0.6076689931630974,1.3709311467673706,7.910353331702684,0.0049732132639267596,0.0044966973261382
0.55,0.6966147493108077,0.5818034692246695,1.5770989992095332,12.39800933332441,0.004863916752549137,0.0045344483936104
0.6,0.6330438260358813,0.44181068421489295,1.4853736256755272,12.578599475798905,0.005046617599808467,0.0047783780227463
0.65,0.5747600788918042,0.37263140499677155,1.328692450484103,11.894435914161013,0.005218874382737175,0.0049408492375942
0.7,0.523075911896574,0.35145750141950916,1.2178608041980066,11.098477447186657,0.005410785873751565,0.0050157035603925
0.75,0.47573091142916996,0.330817316064348,1.1170296923961487,10.261801818815545,0.005654358236281077,0.0050900584395995
0.8,0.43537730089846066,0.320550837526318,1.0206882449988666,9.45472777993074,0.005864484753614319,0.0051282425916311
0.85,0.4039871829339721,0.3032163252101845,0.9392148180055128,8.746723615178585,0.005982213201546197,0.0051957361628065
0.9,0.37977121647360174,0.2799721116322554,0.9167059085083555,8.206743824613394,0.006044883147243541,0.0053215872125549
0.95,0.36032888421707415,0.26006817686615225,0.904077534355423,7.903465142507499,0.006084894403558646,0.0054508551542351
1.0,0.3487083907392788,0.24925269863271568,0.8944350774658967,7.905781511484413,0.006057367274622505,0.0055231165660572
