t_s,spatial_mean_WSS_Pa,spatial_median_WSS_Pa,spatial_p95_WSS_Pa,spatial_max_WSS_Pa,spatial_mean_mu_app_Pa_s,spatial_median_mu_app_Pa_s
0.0,2.3285011609413673e-09,1.1471686735094177e-09,8.427023461102117e-09,4.9912321420936177e-08,0.05599999999999931,0.0559999999999998
0.05,0.658550671433853,0.5774388104190342,1.5881175578583115,5.43923726992611,0.004630258858481654,0.0045692131254999
0.1,0.8554880737078644,0.8285284966981407,1.5425649297620665,5.497048467394366,0.004379697450326257,0.0043180150526559
0.15,2.102427935417397,2.013262738028211,3.8305336624185964,23.368183606448127,0.003992275860795512,0.0039350436896356
0.2,2.5059526872829454,2.355264236203826,5.044087051388861,33.31057965860145,0.0039668415091585404,0.0038902426345405
0.25,1.7309289862361446,1.4460317408313825,4.015543120625681,25.950630851953495,0.0041117816525630835,0.0040484447215133
0.3,0.8753000945639664,0.7531915685415926,1.7311514752181865,10.969277721290954,0.004524810698140499,0.004373379230905
0.35,0.6841632878749302,0.6790524693961285,1.2168782839966732,2.0245266351334332,0.004769868792957669,0.0044534296176659
0.4,0.6788733719779163,0.6604657071454189,1.133116910721801,2.621326969827177,0.004611589231857957,0.0044641681866138
0.45,0.4457060091133925,0.3897852509578289,0.9300341724900828,1.1647067659949824,0.005548507474622691,0.0049353274561981
0.5,0.5156068943285462,0.44593849315536493,1.071821972347645,2.7703700464234706,0.005028466875344267,0.0047827849941225
0.55,0.5083072650265472,0.41822347392627734,1.0543313355835087,4.309640226050502,0.004962245188607412,0.0048633788692186
0.6,0.4250212492580741,0.3274128426080884,0.9477535982470955,4.369878356897681,0.005315188026669206,0.0051525652062622
0.65,0.3636409358282557,0.27694348089494464,0.8378915183223629,4.133900071286296,0.005814772056955373,0.0053836741676542
0.7,0.31928500980626734,0.24455539425823541,0.7418405199219382,3.8594305964044047,0.006344170415478506,0.0055935594942885
0.75,0.28488317049303863,0.22463962165879817,0.6545410837447434,3.5709109135909265,0.006838907163181726,0.0057521104210991
0.8,0.2575585687667024,0.20654675333959804,0.5729597633379592,3.2926058543472094,0.0071865101642912205,0.005927338827043
0.85,0.2361728234231114,0.19387348952337888,0.516253472568893,3.0485390037555775,0.007405371626529973,0.0060645099310002
0.9,0.21998994084933635,0.18277576209337507,0.4680170265203302,2.8625102625487964,0.007456478423508959,0.006216330698601
0.95,0.20889598938194934,0.17691982705285064,0.4332908635147739,2.758226968904485,0.007425294458392622,0.0063120594664506
1.0,0.20289820340127962,0.1756801711087777,0.4144551249339449,2.7409268650474345,0.007437538286830416,0.0063296994574031
